,sample_1A,sample_1B,sample_1C,sample_2A,sample_2B,sample_2C,sample_3A,sample_3B,sample_3C,sample_4A,sample_4B,sample_4C,sample_5A,sample_5B,sample_5C,sample_6A,sample_6B,sample_6C
OG2261,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0
OG2262,10.0,1.0,3.0,0.0,1.0,2.0,0.0,1.0,2.0,3.0,0.0,6.0,8.0,2.0,9.0,1.0,5.0,5.0
OG2263,103.0,92.0,94.0,51.0,63.0,56.0,8.0,11.0,21.0,152.0,95.0,137.0,183.0,389.0,410.0,83.0,168.0,196.0
OG2264,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0,1.0,0.0,0.0
OG2265,5.0,8.0,1.0,14.0,8.0,8.0,19.0,11.0,17.0,7.0,1.0,5.0,6.0,5.0,4.0,2.0,4.0,4.0
OG2266,436.0,728.0,388.0,686.0,874.0,467.0,1169.0,873.0,986.0,482.0,230.0,647.0,231.0,278.0,203.0,410.0,249.0,548.0
OG2267,37.0,35.0,16.0,40.0,30.0,25.0,32.0,26.0,24.0,21.0,9.0,28.0,92.0,55.0,67.0,0.0,0.0,0.0
OG2268,5.0,14.0,14.0,13.0,8.0,10.0,15.0,9.0,5.0,10.0,4.0,20.0,42.0,30.0,33.0,0.0,0.0,0.0
OG2269,5.0,10.0,5.0,16.0,10.0,13.0,22.0,15.0,12.0,5.0,4.0,5.0,21.0,20.0,14.0,13.0,9.0,8.0
OG2270,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
OG2271,7.0,5.0,6.0,4.0,14.0,12.0,6.0,7.0,1.0,8.0,4.0,10.0,13.0,16.0,11.0,1.0,1.0,0.0
OG2272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OG2273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
OG2274,41.0,45.0,26.0,50.0,79.0,41.0,54.0,53.0,56.0,40.0,11.0,42.0,13.0,13.0,13.0,24.0,29.0,29.0
OG2275,8.0,1.0,1.0,3.0,5.0,1.0,7.0,5.0,1.0,4.0,0.0,4.0,3.0,5.0,6.0,4.0,2.0,1.0
OG2276,8.0,8.0,8.0,13.0,14.0,5.0,14.0,10.0,14.0,6.0,4.0,9.0,15.0,22.0,19.0,4.0,4.0,7.0
OG2277,28.0,41.0,37.0,28.0,55.0,26.0,31.0,29.0,32.0,50.0,13.0,68.0,118.0,101.0,89.0,6.0,10.0,8.0
OG2278,1.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
OG2279,6.0,5.0,4.0,3.0,4.0,5.0,4.0,1.0,7.0,7.0,7.0,14.0,6.0,9.0,7.0,0.0,0.0,0.0
OG2280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OG2281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
OG2282,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0
OG2283,16.0,20.0,13.0,28.0,27.0,21.0,38.0,37.0,32.0,10.0,7.0,24.0,13.0,23.0,11.0,10.0,14.0,17.0
OG2284,191.0,248.0,157.0,299.0,279.0,213.0,384.0,294.0,417.0,194.0,79.0,303.0,107.0,99.0,71.0,132.0,92.0,164.0
OG2285,78.0,87.0,31.0,84.0,88.0,69.0,58.0,64.0,82.0,78.0,26.0,95.0,190.0,132.0,95.0,0.0,0.0,0.0
OG2286,7.0,3.0,0.0,7.0,1.0,1.0,4.0,1.0,3.0,1.0,1.0,1.0,3.0,0.0,0.0,4.0,1.0,1.0
OG2287,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OG2288,11.0,3.0,5.0,7.0,7.0,1.0,6.0,8.0,5.0,6.0,2.0,3.0,1.0,1.0,3.0,2.0,3.0,2.0
OG2289,13.0,8.0,4.0,6.0,7.0,5.0,8.0,5.0,5.0,2.0,0.0,2.0,15.0,16.0,11.0,12.0,6.0,7.0
OG2290,3.0,4.0,0.0,3.0,4.0,1.0,4.0,2.0,3.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0
OG2291,3.0,5.0,3.0,11.0,10.0,10.0,14.0,12.0,7.0,5.0,3.0,4.0,2.0,3.0,8.0,6.0,12.0,12.0
OG2292,27.0,22.0,16.0,12.0,32.0,17.0,48.0,33.0,49.0,14.0,2.0,23.0,8.0,12.0,10.0,13.0,24.0,22.0
OG2293,69.0,64.0,34.0,71.0,122.0,76.0,113.0,89.0,88.0,47.0,9.0,60.0,18.0,15.0,4.0,33.0,24.0,43.0
OG2294,4.0,8.0,8.0,10.0,11.0,8.0,8.0,5.0,12.0,2.0,0.0,2.0,4.0,2.0,3.0,1.0,2.0,1.0
OG2295,82.0,100.0,60.0,157.0,150.0,113.0,168.0,128.0,160.0,54.0,24.0,81.0,22.0,30.0,28.0,51.0,28.0,62.0
OG2296,32.0,35.0,23.0,72.0,51.0,43.0,66.0,59.0,86.0,27.0,11.0,42.0,11.0,8.0,14.0,29.0,33.0,41.0
OG2297,116.0,227.0,107.0,164.0,204.0,135.0,261.0,182.0,211.0,86.0,30.0,117.0,105.0,106.0,104.0,112.0,88.0,139.0
OG2298,24.0,18.0,9.0,17.0,12.0,10.0,12.0,23.0,21.0,4.0,1.0,13.0,8.0,5.0,12.0,7.0,9.0,12.0
OG2299,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OG2300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OG2301,17.0,16.0,9.0,20.0,28.0,5.0,9.0,6.0,12.0,14.0,4.0,12.0,15.0,19.0,18.0,0.0,0.0,0.0
OG2302,7.0,23.0,10.0,16.0,18.0,9.0,15.0,10.0,4.0,39.0,6.0,19.0,31.0,18.0,24.0,0.0,0.0,0.0
OG2303,2.0,3.0,2.0,2.0,3.0,1.0,2.0,0.0,3.0,3.0,0.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0
OG2304,18.0,12.0,14.0,8.0,17.0,13.0,11.0,2.0,10.0,27.0,9.0,22.0,18.0,20.0,16.0,0.0,0.0,0.0
OG2305,44.0,101.0,47.0,114.0,115.0,96.0,148.0,105.0,130.0,66.0,18.0,74.0,23.0,43.0,32.0,52.0,44.0,72.0
OG2306,8.0,3.0,2.0,0.0,2.0,1.0,7.0,5.0,5.0,2.0,1.0,4.0,0.0,1.0,0.0,0.0,1.0,4.0
OG2307,8.0,16.0,14.0,19.0,21.0,13.0,26.0,19.0,25.0,5.0,5.0,8.0,13.0,7.0,12.0,15.0,4.0,11.0
OG2308,2.0,0.0,2.0,1.0,2.0,1.0,1.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0
OG2309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OG2310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OG2311,7.0,4.0,2.0,0.0,2.0,1.0,2.0,0.0,3.0,2.0,0.0,1.0,10.0,6.0,9.0,4.0,1.0,4.0
OG2312,1.0,1.0,3.0,4.0,4.0,5.0,2.0,1.0,8.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0
OG2313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OG2314,16.0,9.0,3.0,36.0,35.0,16.0,24.0,19.0,22.0,13.0,8.0,12.0,12.0,6.0,14.0,20.0,15.0,23.0
OG2315,43.0,39.0,24.0,45.0,76.0,32.0,91.0,77.0,74.0,34.0,15.0,59.0,35.0,33.0,25.0,36.0,17.0,41.0
OG2316,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
OG2317,81.0,90.0,47.0,111.0,127.0,93.0,163.0,114.0,184.0,62.0,22.0,85.0,22.0,23.0,10.0,40.0,55.0,58.0
OG2318,7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OG2319,20.0,5.0,2.0,4.0,21.0,8.0,12.0,9.0,10.0,6.0,2.0,5.0,4.0,4.0,5.0,5.0,2.0,12.0
OG2320,21.0,27.0,10.0,36.0,55.0,27.0,33.0,33.0,47.0,10.0,2.0,19.0,12.0,16.0,11.0,28.0,19.0,38.0
OG2321,35.0,18.0,15.0,46.0,37.0,33.0,40.0,32.0,42.0,25.0,2.0,20.0,15.0,14.0,10.0,22.0,13.0,17.0
OG2322,7.0,6.0,2.0,7.0,19.0,7.0,9.0,4.0,22.0,10.0,1.0,8.0,3.0,3.0,2.0,6.0,2.0,9.0
OG2323,1553.0,2430.0,1203.0,1045.0,1385.0,959.0,2957.0,2117.0,2451.0,1134.0,378.0,1487.0,1380.0,1733.0,1079.0,1192.0,894.0,1647.0
OG2324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OG2325,254.0,357.0,180.0,456.0,506.0,287.0,647.0,436.0,531.0,256.0,81.0,319.0,142.0,182.0,132.0,206.0,153.0,300.0
OG2326,54.0,59.0,49.0,68.0,65.0,47.0,101.0,83.0,115.0,36.0,7.0,66.0,17.0,18.0,16.0,29.0,15.0,38.0
OG2327,9.0,9.0,2.0,9.0,6.0,10.0,14.0,12.0,10.0,2.0,2.0,5.0,4.0,3.0,4.0,5.0,1.0,1.0
OG2328,70.0,68.0,41.0,144.0,142.0,81.0,135.0,84.0,126.0,54.0,17.0,64.0,33.0,43.0,41.0,74.0,74.0,80.0
OG2329,169.0,276.0,162.0,372.0,364.0,254.0,442.0,353.0,331.0,199.0,47.0,224.0,123.0,138.0,113.0,152.0,148.0,217.0
OG2330,40.0,66.0,42.0,92.0,106.0,63.0,104.0,94.0,113.0,48.0,23.0,60.0,40.0,48.0,23.0,50.0,53.0,64.0
OG2331,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
OG2332,11.0,3.0,6.0,8.0,14.0,5.0,4.0,6.0,7.0,7.0,0.0,6.0,0.0,1.0,1.0,6.0,4.0,4.0
OG2333,40.0,52.0,22.0,42.0,55.0,37.0,44.0,48.0,51.0,15.0,14.0,24.0,6.0,9.0,3.0,28.0,10.0,32.0
OG2334,20.0,20.0,12.0,36.0,43.0,27.0,30.0,21.0,31.0,22.0,5.0,12.0,13.0,12.0,6.0,14.0,8.0,11.0
OG2335,1.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0
OG2336,24.0,34.0,18.0,31.0,38.0,30.0,31.0,26.0,48.0,24.0,3.0,15.0,6.0,13.0,11.0,12.0,12.0,11.0
OG2337,7.0,2.0,2.0,16.0,22.0,6.0,14.0,13.0,16.0,5.0,0.0,3.0,2.0,2.0,9.0,7.0,8.0,7.0
OG2338,3923.0,5263.0,2767.0,7147.0,7460.0,5384.0,9560.0,7457.0,7760.0,4782.0,1673.0,5662.0,4.0,14.0,9.0,3591.0,2799.0,5094.0
OG2339,25.0,6.0,5.0,15.0,10.0,6.0,21.0,9.0,18.0,10.0,3.0,5.0,8.0,6.0,9.0,4.0,11.0,10.0
OG2340,19.0,8.0,5.0,8.0,8.0,2.0,11.0,4.0,10.0,2.0,1.0,6.0,3.0,1.0,2.0,6.0,4.0,11.0
OG2341,2.0,2.0,1.0,0.0,1.0,1.0,3.0,4.0,1.0,2.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0
OG2342,33.0,34.0,17.0,31.0,47.0,33.0,61.0,41.0,47.0,18.0,10.0,25.0,25.0,30.0,28.0,20.0,29.0,22.0
OG2343,38.0,39.0,36.0,66.0,66.0,66.0,87.0,78.0,92.0,22.0,8.0,29.0,37.0,46.0,27.0,34.0,48.0,58.0
OG2344,19.0,28.0,23.0,48.0,28.0,32.0,57.0,37.0,57.0,16.0,4.0,33.0,30.0,38.0,18.0,19.0,23.0,32.0
OG2345,88.0,122.0,60.0,128.0,120.0,97.0,186.0,124.0,144.0,54.0,17.0,78.0,97.0,106.0,103.0,70.0,84.0,130.0
OG2346,38.0,41.0,36.0,58.0,72.0,34.0,58.0,60.0,66.0,23.0,7.0,37.0,21.0,40.0,25.0,26.0,24.0,37.0
OG2347,65.0,107.0,44.0,125.0,95.0,92.0,165.0,124.0,140.0,50.0,16.0,55.0,37.0,35.0,38.0,63.0,51.0,73.0
OG2348,439.0,546.0,312.0,934.0,617.0,523.0,924.0,670.0,954.0,335.0,117.0,359.0,257.0,335.0,414.0,483.0,467.0,697.0
OG2349,1682.0,2018.0,1048.0,2031.0,2169.0,1743.0,3058.0,2199.0,2747.0,1370.0,472.0,1888.0,134.0,154.0,126.0,754.0,697.0,1178.0
OG2350,3.0,0.0,1.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,1.0,2.0,4.0
OG2351,35.0,30.0,15.0,40.0,58.0,45.0,58.0,51.0,51.0,14.0,9.0,14.0,21.0,26.0,22.0,12.0,22.0,40.0
OG2352,14.0,12.0,10.0,16.0,15.0,13.0,18.0,21.0,28.0,11.0,6.0,11.0,4.0,6.0,7.0,9.0,5.0,20.0
OG2353,38.0,3.0,5.0,17.0,12.0,12.0,15.0,19.0,25.0,6.0,0.0,6.0,0.0,1.0,0.0,2.0,13.0,4.0
OG2354,41.0,32.0,26.0,37.0,29.0,26.0,57.0,45.0,35.0,30.0,9.0,33.0,19.0,18.0,14.0,24.0,16.0,30.0
OG2355,72.0,105.0,54.0,101.0,137.0,92.0,146.0,108.0,147.0,55.0,18.0,64.0,45.0,52.0,30.0,71.0,42.0,70.0
OG2356,111.0,165.0,94.0,166.0,237.0,126.0,243.0,162.0,200.0,69.0,20.0,80.0,168.0,208.0,118.0,92.0,74.0,124.0
OG2357,311.0,392.0,264.0,554.0,746.0,416.0,727.0,524.0,731.0,313.0,100.0,329.0,157.0,184.0,148.0,259.0,269.0,406.0
OG2358,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OG2359,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OG2360,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OG2361,23.0,18.0,6.0,24.0,19.0,12.0,21.0,11.0,17.0,4.0,8.0,13.0,5.0,3.0,0.0,8.0,8.0,10.0
OG2362,38.0,48.0,19.0,111.0,117.0,70.0,67.0,55.0,70.0,29.0,11.0,34.0,38.0,41.0,33.0,49.0,42.0,59.0
OG2363,122.0,238.0,88.0,167.0,222.0,125.0,331.0,250.0,265.0,161.0,54.0,166.0,3.0,3.0,2.0,73.0,38.0,87.0
OG2364,452.0,664.0,403.0,819.0,1030.0,566.0,1113.0,880.0,957.0,412.0,146.0,536.0,461.0,493.0,331.0,458.0,288.0,562.0
OG2365,165.0,210.0,126.0,322.0,351.0,207.0,348.0,234.0,271.0,129.0,55.0,136.0,96.0,94.0,86.0,102.0,111.0,183.0
OG2366,57.0,88.0,48.0,188.0,70.0,159.0,133.0,128.0,220.0,63.0,37.0,75.0,27.0,44.0,76.0,112.0,77.0,144.0
OG2367,1671.0,1802.0,1048.0,1722.0,2287.0,1415.0,3127.0,2130.0,2744.0,1243.0,452.0,1618.0,639.0,645.0,450.0,956.0,797.0,1307.0
OG2368,956.0,1396.0,795.0,1330.0,1521.0,1009.0,2055.0,1435.0,1889.0,759.0,290.0,1068.0,393.0,428.0,394.0,575.0,486.0,841.0
OG2369,107.0,136.0,73.0,202.0,247.0,135.0,202.0,111.0,210.0,77.0,26.0,92.0,71.0,80.0,38.0,73.0,88.0,126.0
OG2370,124.0,213.0,117.0,141.0,170.0,103.0,218.0,109.0,207.0,20.0,7.0,30.0,224.0,257.0,189.0,91.0,82.0,148.0
OG2371,13.0,32.0,16.0,15.0,22.0,8.0,25.0,17.0,20.0,1.0,0.0,0.0,42.0,29.0,23.0,13.0,9.0,16.0
OG2372,17.0,17.0,11.0,18.0,22.0,12.0,19.0,13.0,25.0,0.0,0.0,1.0,26.0,35.0,39.0,13.0,15.0,23.0
OG2373,40.0,71.0,46.0,40.0,49.0,23.0,93.0,45.0,54.0,3.0,1.0,3.0,78.0,98.0,95.0,36.0,23.0,46.0
OG2374,18.0,8.0,7.0,12.0,19.0,13.0,22.0,13.0,23.0,0.0,0.0,0.0,21.0,19.0,11.0,3.0,9.0,13.0
OG2375,242.0,354.0,190.0,382.0,427.0,286.0,502.0,368.0,454.0,173.0,56.0,202.0,186.0,236.0,144.0,215.0,157.0,231.0
OG2376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OG2377,6.0,6.0,6.0,12.0,16.0,7.0,13.0,14.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,3.0,4.0,10.0
OG2378,11.0,29.0,11.0,27.0,30.0,10.0,18.0,20.0,30.0,8.0,1.0,8.0,43.0,42.0,42.0,20.0,7.0,18.0
OG2379,21.0,22.0,13.0,44.0,32.0,25.0,38.0,27.0,38.0,13.0,5.0,13.0,39.0,52.0,65.0,34.0,24.0,50.0
OG2380,3.0,0.0,2.0,3.0,0.0,0.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
OG2381,34.0,52.0,29.0,32.0,39.0,31.0,61.0,28.0,41.0,5.0,0.0,2.0,76.0,82.0,59.0,31.0,22.0,52.0
OG2382,7.0,6.0,2.0,1.0,8.0,2.0,7.0,4.0,7.0,0.0,0.0,0.0,12.0,3.0,6.0,0.0,0.0,8.0
OG2383,62.0,101.0,62.0,162.0,151.0,99.0,188.0,135.0,144.0,65.0,25.0,87.0,56.0,47.0,36.0,74.0,38.0,86.0
OG2384,11.0,16.0,4.0,26.0,36.0,18.0,32.0,24.0,26.0,18.0,4.0,14.0,2.0,9.0,9.0,13.0,19.0,24.0
OG2385,50.0,62.0,27.0,96.0,85.0,78.0,91.0,69.0,84.0,40.0,16.0,53.0,11.0,19.0,19.0,40.0,42.0,78.0
OG2386,2.0,3.0,7.0,8.0,4.0,4.0,6.0,2.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
OG2387,7.0,11.0,1.0,5.0,12.0,3.0,13.0,6.0,6.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,9.0
OG2388,6.0,5.0,3.0,12.0,15.0,7.0,11.0,6.0,10.0,12.0,2.0,8.0,2.0,0.0,2.0,4.0,2.0,5.0
OG2389,16.0,17.0,6.0,25.0,24.0,22.0,35.0,26.0,23.0,12.0,6.0,30.0,4.0,6.0,4.0,11.0,5.0,12.0
OG2390,17.0,25.0,15.0,23.0,33.0,28.0,49.0,24.0,34.0,23.0,2.0,21.0,9.0,8.0,8.0,10.0,11.0,21.0
OG2391,3.0,6.0,3.0,2.0,4.0,1.0,5.0,7.0,3.0,4.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,0.0
OG2392,15.0,9.0,6.0,14.0,16.0,12.0,17.0,12.0,13.0,2.0,1.0,6.0,11.0,17.0,7.0,12.0,7.0,2.0
OG2393,1.0,7.0,1.0,9.0,6.0,6.0,7.0,8.0,7.0,7.0,0.0,2.0,1.0,2.0,3.0,4.0,2.0,3.0
OG2394,1.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
OG2395,10.0,2.0,3.0,4.0,3.0,7.0,10.0,5.0,7.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0
OG2396,13.0,15.0,12.0,8.0,19.0,16.0,30.0,20.0,28.0,5.0,4.0,12.0,13.0,13.0,13.0,14.0,12.0,17.0
OG2397,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OG2398,3.0,0.0,0.0,2.0,2.0,4.0,5.0,6.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0
OG2399,2.0,2.0,4.0,4.0,4.0,2.0,4.0,5.0,5.0,2.0,0.0,4.0,2.0,0.0,1.0,0.0,2.0,2.0
OG2400,10.0,13.0,12.0,10.0,15.0,5.0,18.0,12.0,11.0,1.0,2.0,9.0,4.0,6.0,6.0,7.0,5.0,4.0
OG2401,2.0,2.0,0.0,9.0,4.0,4.0,6.0,1.0,4.0,2.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0
OG2402,991.0,1698.0,841.0,1279.0,1421.0,1109.0,2449.0,1829.0,2045.0,1198.0,339.0,1878.0,196.0,224.0,187.0,952.0,502.0,1032.0
OG2403,1.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,2.0,5.0,0.0,0.0,0.0
OG2404,11.0,15.0,4.0,16.0,27.0,18.0,29.0,17.0,25.0,7.0,8.0,21.0,1.0,1.0,2.0,10.0,11.0,13.0
OG2405,22.0,29.0,14.0,12.0,24.0,15.0,21.0,11.0,9.0,24.0,10.0,53.0,31.0,32.0,22.0,0.0,0.0,0.0
OG2406,729.0,1309.0,656.0,952.0,1150.0,721.0,1648.0,1114.0,1396.0,366.0,162.0,540.0,1204.0,1496.0,1106.0,737.0,500.0,985.0
OG2407,57.0,80.0,40.0,69.0,120.0,46.0,118.0,66.0,101.0,27.0,10.0,47.0,86.0,71.0,66.0,55.0,30.0,76.0
OG2408,20.0,46.0,29.0,44.0,36.0,43.0,58.0,54.0,44.0,13.0,5.0,23.0,31.0,50.0,33.0,36.0,17.0,52.0
OG2409,63.0,77.0,74.0,120.0,132.0,68.0,156.0,92.0,117.0,61.0,15.0,74.0,33.0,35.0,19.0,64.0,53.0,82.0
OG2410,7.0,4.0,3.0,8.0,5.0,4.0,4.0,3.0,5.0,0.0,0.0,1.0,7.0,9.0,9.0,0.0,4.0,4.0
OG2411,15.0,6.0,1.0,0.0,3.0,3.0,10.0,5.0,3.0,0.0,0.0,0.0,2.0,5.0,3.0,0.0,1.0,3.0
OG2412,6.0,7.0,2.0,1.0,1.0,2.0,1.0,6.0,9.0,0.0,0.0,0.0,3.0,7.0,1.0,2.0,1.0,0.0
OG2413,177.0,199.0,104.0,175.0,204.0,102.0,319.0,235.0,284.0,80.0,28.0,120.0,126.0,124.0,97.0,136.0,83.0,154.0
OG2414,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OG2415,3.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OG2416,1.0,4.0,0.0,4.0,4.0,1.0,8.0,3.0,1.0,2.0,1.0,5.0,0.0,0.0,0.0,2.0,1.0,2.0
OG2417,72.0,106.0,55.0,259.0,303.0,161.0,212.0,148.0,218.0,84.0,28.0,108.0,67.0,37.0,45.0,105.0,94.0,119.0
OG2418,1.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
OG2419,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OG2420,336.0,580.0,349.0,575.0,585.0,378.0,786.0,591.0,695.0,223.0,85.0,243.0,567.0,757.0,564.0,370.0,255.0,462.0
OG2421,214.0,249.0,183.0,350.0,431.0,247.0,502.0,348.0,446.0,161.0,58.0,200.0,151.0,161.0,135.0,171.0,172.0,277.0
OG2422,12.0,8.0,8.0,25.0,19.0,12.0,23.0,18.0,34.0,5.0,3.0,12.0,16.0,18.0,10.0,13.0,10.0,19.0
OG2423,0.0,2.0,0.0,2.0,4.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,4.0,2.0,2.0,1.0,2.0,4.0
OG2424,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
OG2425,6.0,8.0,2.0,9.0,8.0,9.0,6.0,6.0,20.0,2.0,0.0,5.0,13.0,18.0,13.0,11.0,7.0,13.0
OG2426,12.0,5.0,2.0,5.0,12.0,12.0,10.0,5.0,5.0,6.0,0.0,3.0,1.0,3.0,1.0,4.0,4.0,3.0
OG2427,67.0,51.0,35.0,178.0,216.0,104.0,204.0,154.0,222.0,97.0,26.0,101.0,0.0,0.0,0.0,57.0,28.0,50.0
OG2428,2.0,0.0,0.0,7.0,1.0,1.0,0.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OG2429,3.0,4.0,2.0,2.0,8.0,0.0,8.0,8.0,3.0,6.0,2.0,4.0,0.0,3.0,1.0,5.0,2.0,4.0
OG2430,6.0,8.0,2.0,3.0,5.0,3.0,5.0,4.0,8.0,1.0,0.0,4.0,1.0,5.0,2.0,1.0,1.0,2.0
OG2431,6.0,8.0,3.0,11.0,9.0,6.0,16.0,6.0,10.0,5.0,1.0,4.0,3.0,6.0,1.0,4.0,4.0,8.0
OG2432,5.0,4.0,1.0,8.0,3.0,3.0,3.0,3.0,5.0,3.0,0.0,4.0,0.0,1.0,1.0,1.0,1.0,2.0
OG2433,261.0,350.0,180.0,505.0,570.0,438.0,600.0,464.0,602.0,266.0,93.0,305.0,130.0,162.0,159.0,242.0,237.0,349.0
OG2434,40.0,46.0,29.0,78.0,81.0,61.0,99.0,66.0,108.0,37.0,8.0,47.0,15.0,20.0,23.0,42.0,38.0,53.0
OG2435,1.0,1.0,3.0,18.0,4.0,7.0,3.0,2.0,5.0,6.0,1.0,1.0,13.0,19.0,10.0,6.0,3.0,6.0
OG2436,139.0,210.0,107.0,295.0,335.0,189.0,295.0,219.0,286.0,135.0,31.0,107.0,94.0,110.0,90.0,132.0,113.0,175.0
OG2437,99.0,84.0,66.0,163.0,175.0,122.0,157.0,143.0,175.0,63.0,20.0,67.0,48.0,59.0,57.0,62.0,60.0,100.0
OG2438,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,4.0,1.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0
OG2439,12.0,6.0,8.0,8.0,9.0,9.0,8.0,8.0,7.0,8.0,1.0,4.0,4.0,2.0,1.0,3.0,6.0,4.0
