,sample_1A,sample_1B,sample_1C,sample_2A,sample_2B,sample_2C,sample_3A,sample_3B,sample_3C,sample_4A,sample_4B,sample_4C,sample_5A,sample_5B,sample_5C,sample_6A,sample_6B,sample_6C
OG40,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,2.0,0.0,0.0,3.0,1.0,3.0,4.0,0.0,0.0,0.0
OG41,270.0,356.0,194.0,400.0,425.0,352.0,618.0,464.0,577.0,257.0,106.0,332.0,15.0,10.0,12.0,156.0,114.0,200.0
OG42,1.0,3.0,3.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,5.0,4.0,0.0,5.0,7.0
OG43,79.0,104.0,52.0,206.0,122.0,123.0,120.0,94.0,169.0,51.0,49.0,61.0,132.0,125.0,162.0,120.0,154.0,169.0
OG44,384.0,415.0,227.0,564.0,577.0,441.0,636.0,490.0,535.0,301.0,80.0,455.0,34.0,74.0,51.0,210.0,163.0,296.0
OG45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
OG46,11.0,10.0,13.0,19.0,15.0,8.0,17.0,17.0,18.0,0.0,0.0,0.0,21.0,22.0,16.0,8.0,7.0,7.0
OG47,42.0,65.0,41.0,87.0,107.0,59.0,78.0,61.0,78.0,54.0,19.0,69.0,39.0,88.0,60.0,72.0,47.0,66.0
OG48,148.0,216.0,102.0,141.0,153.0,113.0,135.0,131.0,128.0,211.0,68.0,263.0,250.0,210.0,165.0,1.0,1.0,0.0
OG49,15.0,13.0,6.0,25.0,32.0,14.0,41.0,19.0,26.0,15.0,6.0,11.0,0.0,0.0,0.0,6.0,4.0,13.0
OG50,112.0,173.0,122.0,138.0,149.0,83.0,211.0,162.0,203.0,0.0,0.0,0.0,273.0,318.0,243.0,108.0,85.0,129.0
OG51,5.0,5.0,4.0,9.0,7.0,4.0,0.0,0.0,0.0,15.0,8.0,25.0,19.0,19.0,23.0,12.0,11.0,20.0
OG52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OG53,5.0,9.0,7.0,13.0,6.0,10.0,7.0,9.0,15.0,0.0,0.0,0.0,7.0,12.0,15.0,7.0,10.0,4.0
OG54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OG55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OG56,31.0,14.0,8.0,9.0,11.0,14.0,3.0,7.0,10.0,20.0,8.0,36.0,32.0,19.0,10.0,6.0,4.0,8.0
OG57,20.0,19.0,4.0,16.0,24.0,10.0,8.0,10.0,20.0,19.0,9.0,23.0,35.0,37.0,26.0,0.0,0.0,1.0
OG58,433.0,507.0,283.0,405.0,465.0,305.0,584.0,370.0,476.0,442.0,167.0,620.0,238.0,354.0,341.0,227.0,188.0,336.0
OG59,13.0,14.0,6.0,23.0,15.0,15.0,25.0,18.0,11.0,8.0,2.0,11.0,16.0,29.0,25.0,16.0,17.0,19.0
OG60,23.0,14.0,4.0,8.0,4.0,5.0,11.0,7.0,7.0,7.0,4.0,5.0,15.0,6.0,5.0,2.0,4.0,6.0
OG61,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
OG62,2.0,5.0,4.0,10.0,3.0,9.0,1.0,1.0,5.0,7.0,5.0,8.0,2.0,6.0,4.0,0.0,0.0,0.0
OG63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OG64,6.0,3.0,6.0,9.0,7.0,5.0,5.0,13.0,2.0,0.0,0.0,6.0,9.0,9.0,1.0,4.0,2.0,4.0
OG65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
OG66,2.0,0.0,2.0,1.0,1.0,0.0,6.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0
OG67,13.0,14.0,6.0,11.0,13.0,5.0,24.0,12.0,9.0,7.0,3.0,17.0,0.0,0.0,0.0,6.0,2.0,7.0
