0,sample_1A,sample_1B,sample_1C,sample_2A,sample_2B,sample_2C,sample_3A,sample_3B,sample_3C,sample_4A,sample_4B,sample_4C,sample_5A,sample_5B,sample_5C,sample_6A,sample_6B,sample_6C
NLANBGKA_00180,194,268,11,0,0,0,15,90,37,136,27,29,361,55,116,17,13,27
NLANBGKA_00181,424,583,30,0,0,0,10,128,49,200,52,39,864,144,140,5,19,41
NLANBGKA_00182,33,60,3,0,0,0,0,13,5,20,1,2,98,6,15,0,1,2
NLANBGKA_00183,4010,4805,297,0,0,0,118,1599,408,2460,331,298,5760,703,580,33,79,184
NLANBGKA_00184,37,80,2,0,0,0,1,16,2,27,2,8,134,13,10,0,0,2
NLANBGKA_00185,5,10,0,0,0,0,0,2,1,0,2,0,9,1,7,0,0,1
NLANBGKA_00186,4,1,0,0,0,0,0,1,0,0,0,0,4,0,2,0,0,0
NLANBGKA_00187,144,191,10,0,0,0,6,65,11,62,15,16,269,31,70,3,5,16
NLANBGKA_00188,10,13,1,0,0,0,0,3,0,4,0,1,42,1,4,0,0,1
NLANBGKA_00189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NLANBGKA_00190,6,5,0,0,0,0,0,0,2,1,1,0,11,0,0,0,0,1
NLANBGKA_00191,592,857,58,0,0,0,50,243,94,357,73,59,1145,169,246,18,50,90
NLANBGKA_00192,14,11,0,0,0,0,1,5,1,5,1,2,27,5,11,1,1,1
