Id	sample_1A	sample_1B	sample_1C	sample_3A	sample_3B	sample_3C	sample_4A	sample_4B	sample_4C	sample_5A	sample_5B	sample_5C	sample_6A	sample_6B	sample_6C	norm.sample_1A	norm.sample_1B	norm.sample_1C	norm.sample_3A	norm.sample_3B	norm.sample_3C	norm.sample_4A	norm.sample_4B	norm.sample_4C	norm.sample_5A	norm.sample_5B	norm.sample_5C	norm.sample_6A	norm.sample_6B	norm.sample_6C	baseMean	All	minus 5614	minus 6086	minus 10675	minus SICO	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
NLANBGKA_01670	29702	47384	2454	1092	8848	2149	13381	3203	2754	31384	4241	3102	187	265	883	5138	5542	5393	4010	3930	3063	4313	5523	4642	3261	3342	2302	2086	1612	1853	3734.01	5358	3668	4826	2968	1850	0.382	-1.39	-9.09	9.89520350574982e-20	1.15575976947158e-16	0.0182	0.0101	0.0151	0.0151	TRUE	0.1868
NLANBGKA_01672	15375	28100	1537	640	5635	1553	8146	1499	1662	20469	2505	1705	102	89	445	2659	3286	3378	2350	2503	2214	2626	2585	2801	2127	1974	1265	1138	541	934	2158.77	3108	2356	2671	1789	871	0.322	-1.634	-8.329	8.12684501068256e-17	4.74607748623862e-14	0.0409	0.0104	0.024	0.024	TRUE	0.4338
NLANBGKA_00561	2864	4548	246	101	897	317	1487	310	277	2358	332	345	21	37	102	495	532	541	371	398	452	479	535	467	245	262	256	234	225	214	380.4	523	407	494	254	224	0.448	-1.159	-7.262	3.80758546365894e-13	1.48241994051788e-10	0	0.0135	0.0067	0.0067	TRUE	0.0361
NLANBGKA_00667	167607	240861	11694	5518	51138	13953	79787	13579	15000	190845	24742	21876	1344	2055	7785	28991	28170	25700	20263	22715	19889	25718	23417	25284	19828	19495	16232	14992	12503	16341	21302.39	27620	20956	24806	18518	14612	0.59	-0.762	-6.826	8.73979924243452e-12	2.55202137879088e-09	0.0081	0.0098	0.0087	0.0087	TRUE	0.0784
NLANBGKA_01669	20720	36610	1484	729	6833	1703	11151	1775	2415	27827	3576	2905	170	156	803	3584	4282	3261	2677	3035	2427	3594	3061	4071	2891	2818	2155	1896	949	1685	2825.85	3709	2713	3575	2621	1510	0.42	-1.251	-6.671	2.53351277057849e-11	5.91828583207134e-09	0.0364	0.0102	0.0231	0.0231	TRUE	0.3304
NLANBGKA_01559	2745	3613	193	93	830	219	1245	209	250	3719	370	386	12	23	86	475	423	424	342	369	312	401	360	421	386	292	286	134	140	181	329.71	441	341	394	321	152	0.408	-1.293	-6.45	1.11875766001455e-10	2.17784824482833e-08	0.0116	0.0141	0.0127	0.0127	TRUE	0.1637
NLANBGKA_00229	2380	3364	169	63	682	185	996	200	191	2740	308	283	7	21	72	412	393	371	231	303	264	321	345	322	285	243	210	78	128	151	270.45	392	266	329	246	119	0.404	-1.308	-6.201	5.61125802036804e-10	8.19243670973733e-08	0.0105	0.015	0.0126	0.0126	TRUE	0.2024
NLANBGKA_00830	1433	2057	75	42	376	95	670	105	97	1332	156	130	4	6	27	248	241	165	154	167	135	216	181	164	138	123	96	45	37	57	144.4	218	152	187	119	46	0.262	-1.935	-6.202	5.57493215306026e-10	8.19243670973733e-08	0.0235	0.0197	0.0216	0.0216	TRUE	0.1712
NLANBGKA_00831	1296	2048	101	41	375	95	586	77	94	1353	150	108	5	6	16	224	240	222	151	167	135	189	133	158	141	118	80	56	37	34	138.87	229	151	160	113	42	0.231	-2.115	-6.118	9.46095936450854e-10	1.22782228197177e-07	0.0262	0.0201	0.0234	0.0234	TRUE	0.1741
NLANBGKA_00666	2069	5065	204	81	666	218	1059	285	327	2531	352	469	17	21	91	358	592	448	297	296	311	341	491	551	263	277	348	190	128	191	338.89	466	301	461	296	170	0.375	-1.414	-5.857	4.71322077653874e-09	5.00458351545204e-07	0.0359	0.014	0.0256	0.0256	TRUE	0.0837
NLANBGKA_01838	2759	3595	195	80	797	246	1101	190	232	4627	431	531	14	22	83	477	420	429	294	354	351	355	328	391	481	340	394	156	134	174	338.45	442	333	358	405	155	0.447	-1.162	-5.775	7.69239202049275e-09	6.41765277138252e-07	0.0116	0.014	0.0126	0.0126	TRUE	0.1122
NLANBGKA_01031	12946	21001	973	523	4012	982	6452	1352	1307	11443	1577	1478	129	207	646	2239	2456	2138	1920	1782	1400	2080	2331	2203	1189	1243	1097	1439	1259	1356	1742.19	2278	1701	2205	1176	1351	0.611	-0.711	-5.749	8.9654941556009e-09	6.98113144916123e-07	0.0074	0.0106	0.0086	0.0086	TRUE	0.1148
NLANBGKA_00545	2718	4451	180	92	945	258	1452	217	242	4085	559	375	16	13	105	470	521	396	338	420	368	468	374	408	424	440	278	178	79	220	358.86	462	375	417	381	159	0.404	-1.308	-5.459	4.77532608285377e-08	3.48598804048325e-06	0.0401	0.0137	0.0248	0.0248	TRUE	0.6791
NLANBGKA_00749	2225	3581	181	89	770	243	1218	245	244	3128	308	299	25	25	99	385	419	398	327	342	346	393	422	411	325	243	222	279	152	208	324.76	401	338	409	263	213	0.502	-0.993	-5.199	2.00074414040191e-07	1.29826064221635e-05	0.0119	0.0142	0.0129	0.0129	TRUE	0.1571
NLANBGKA_01487	1641	2072	113	61	460	120	718	153	133	2011	200	195	3	12	60	284	242	248	224	204	171	231	264	224	209	158	145	33	73	126	189.13	258	200	240	171	77	0.399	-1.327	-5.111	3.20633011161872e-07	1.78333027160508e-05	0.0267	0.0173	0.0211	0.0211	TRUE	0.5279
NLANBGKA_00465	2089	3030	186	97	853	235	1147	224	220	2536	362	330	18	34	102	361	354	409	356	379	335	370	386	371	263	285	245	201	207	214	315.78	375	357	376	264	207	0.56	-0.836	-5.062	4.15745461883729e-07	2.11126391078346e-05	0	0.0143	0.0071	0.0071	TRUE	0.0214
NLANBGKA_00912	25465	31191	1386	729	7852	2137	11313	2172	2084	26656	3360	3655	171	402	1145	4405	3648	3046	2677	3488	3046	3647	3746	3513	2769	2647	2712	1907	2446	2403	3073.32	3700	3070	3635	2709	2252	0.626	-0.676	-4.989	6.08177825351766e-07	2.63093222226245e-05	0.0136	0.0102	0.0118	0.0118	TRUE	0.0696
NLANBGKA_00825	1059	1881	97	51	393	109	625	101	107	1178	142	122	6	11	42	183	220	213	187	175	155	201	174	180	122	112	91	67	67	88	149.09	205	172	185	108	74	0.423	-1.241	-4.931	8.17093635572376e-07	3.40844773695905e-05	0.0096	0.0194	0.0141	0.0141	TRUE	0.1261
NLANBGKA_01840	1379	1908	95	53	387	111	563	67	111	1506	164	164	3	9	35	239	223	209	195	172	158	181	116	187	156	129	122	33	55	73	149.89	224	175	161	136	54	0.381	-1.393	-4.902	9.46536292483521e-07	3.81225651593363e-05	0.0172	0.0193	0.0184	0.0184	TRUE	0.2879
