Id	sample_1A	sample_1B	sample_1C	sample_3A	sample_3B	sample_3C	sample_4A	sample_4B	sample_4C	sample_5A	sample_5B	sample_5C	sample_6A	sample_6B	sample_6C	norm.sample_1A	norm.sample_1B	norm.sample_1C	norm.sample_3A	norm.sample_3B	norm.sample_3C	norm.sample_4A	norm.sample_4B	norm.sample_4C	norm.sample_5A	norm.sample_5B	norm.sample_5C	norm.sample_6A	norm.sample_6B	norm.sample_6C	baseMean	All	minus 5614	minus 6086	minus 10675	minus SICO	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
NLANBGKA_01614	4502	7165	341	269	1755	537	2516	514	566	5193	793	673	91	179	461	779	838	749	988	780	765	811	886	954	540	625	499	1015	1089	968	819.05	789	844	884	555	1024	1.839	0.879	6.713	1.91142089878099e-11	2.96270239311053e-09	0.0078	0.0115	0.0091	0.0091	TRUE	0.0823
NLANBGKA_01793	872	1247	76	64	362	116	476	95	125	1076	206	186	33	64	108	151	146	167	235	161	165	153	164	211	112	162	138	368	389	227	196.61	155	187	176	137	328	2.292	1.197	5.46	4.76785387567955e-08	3.11165200307508e-06	0.0299	0.017	0.0239	0.0239	TRUE	0.4708
NLANBGKA_00275	1512	2151	107	76	508	200	797	134	172	1430	199	260	20	68	144	262	252	235	279	226	285	257	231	290	149	157	193	223	414	302	250.22	250	263	259	166	313	1.943	0.958	5.329	9.88331418762312e-08	5.83586171078698e-06	0.0118	0.0155	0.0137	0.0137	TRUE	0.0492
NLANBGKA_00116	2664	3442	189	100	761	270	1165	198	204	2316	299	364	32	67	215	461	403	415	367	338	385	376	341	344	241	236	270	357	408	451	359.45	426	363	354	249	405	1.694	0.76	5.282	1.27911637166562e-07	7.2095650039335e-06	0.0041	0.0137	0.008	0.008	TRUE	0.0522
NLANBGKA_01029	9992	12766	638	309	3039	895	4473	778	880	7085	942	907	86	174	618	1728	1493	1402	1135	1350	1276	1442	1342	1483	736	742	673	959	1059	1297	1207.8	1541	1254	1422	717	1105	1.584	0.664	5.237	1.63513257210609e-07	8.44818495588144e-06	0.0073	0.0109	0.0087	0.0087	TRUE	0.1261
NLANBGKA_00480	779	1156	74	35	306	90	441	79	87	782	104	83	20	27	65	135	135	163	129	136	128	142	136	147	81	82	62	223	164	136	133.26	144	131	142	75	174	2.102	1.072	5.081	3.75743909664285e-07	1.72563869623597e-05	0.0064	0.0205	0.0139	0.0139	TRUE	0.1144
NLANBGKA_01394	992	1343	87	45	368	114	523	93	125	1353	180	180	31	46	96	172	157	191	165	163	162	169	160	211	141	142	134	346	280	202	186.26	173	163	180	139	276	1.819	0.863	4.622	3.80228281587918e-06	0.000142873657323945	0.0086	0.0174	0.0134	0.0134	TRUE	0.0676
NLANBGKA_00418	177	201	16	39	74	39	91	14	27	219	40	36	13	21	28	31	24	35	143	33	56	29	24	46	23	32	27	145	128	59	55.5	30	77	33	27	111	3.828	1.937	4.565	4.98738249402131e-06	0.000181892773311365	0.1612	0.0356	0.0927	0.0927	TRUE	0.2871
NLANBGKA_00042	494	786	32	22	188	59	288	63	56	459	66	67	10	16	49	85	92	70	81	84	84	93	109	94	48	52	50	112	97	103	83.54	82	83	99	50	104	2.083	1.059	4.421	9.82443810640428e-06	0.000320586927682666	0	0.0269	0.0142	0.0142	TRUE	0.033
NLANBGKA_00323	570	762	41	21	235	105	352	67	66	669	113	211	10	51	136	99	89	90	77	104	150	113	116	111	70	89	157	112	310	285	131.44	93	110	113	105	236	2.41	1.269	4.413	1.02060032382675e-05	0.000324498564498762	0.0793	0.0206	0.0457	0.0457	TRUE	0.4149
