Id	sample_1A	sample_1B	sample_1C	sample_3A	sample_3B	sample_3C	sample_4A	sample_4B	sample_4C	sample_5A	sample_5B	sample_5C	sample_6A	sample_6B	sample_6C	norm.sample_1A	norm.sample_1B	norm.sample_1C	norm.sample_3A	norm.sample_3B	norm.sample_3C	norm.sample_4A	norm.sample_4B	norm.sample_4C	norm.sample_5A	norm.sample_5B	norm.sample_5C	norm.sample_6A	norm.sample_6B	norm.sample_6C	baseMean	All	minus 5614	minus 6086	minus 10675	minus SICO	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
NLANBGKA_00876	469	647	35	18	195	58	218	41	43	1156	150	240	10	24	63	81	76	77	66	87	83	70	71	72	120	118	178	112	146	132	99.25	78	79	71	139	130	1.688	0.755	3.725	0.000195035251014752	0.00264749979037047	0.0151	0.0242	0.0193	0.0193	TRUE	0.2505
NLANBGKA_01628	2772	3833	189	139	1087	300	1423	220	271	5662	795	939	45	80	234	479	448	415	510	483	428	459	379	457	588	626	697	502	487	491	496.67	447	474	432	637	493	1.35	0.433	3.662	0.000250607583526313	0.00333099246437057	0.0048	0.0126	0.008	0.008	TRUE	0.0439
NLANBGKA_01513	4979	9013	482	317	2522	755	3106	616	653	14235	1836	2028	67	115	450	861	1054	1059	1164	1120	1076	1001	1062	1101	1479	1447	1505	747	700	945	1088.08	991	1120	1055	1477	797	1.322	0.402	3.581	0.000341673472995613	0.00444872807696329	0.0073	0.0111	0.0082	0.0082	TRUE	0.1611
NLANBGKA_01627	87	162	9	2	28	7	41	19	12	283	43	47	0	0	5	15	19	20	7	12	10	13	33	20	29	34	35	0	0	10	17.23	18	10	22	33	3	2.976	1.573	3.568	0.000360136030833253	0.00464175328629526	0.0526	0.0929	0.0756	0.0756	TRUE	0.5359
NLANBGKA_00990	230	355	35	14	114	44	132	28	37	846	137	165	3	14	34	40	42	77	51	51	63	43	48	62	88	108	122	33	85	71	65.63	53	55	51	106	63	1.918	0.94	3.5	0.000464496950757671	0.00586829811056226	0.042	0.0316	0.0365	0.0365	TRUE	0.1717
NLANBGKA_00851	594	990	44	23	236	65	309	69	61	1412	231	175	11	17	43	103	116	97	84	105	93	100	119	103	147	182	130	123	103	90	112.9	105	94	107	153	105	1.569	0.65	3.484	0.000494147755278233	0.00613654771762941	0.0105	0.0224	0.0164	0.0164	TRUE	0.1068
NLANBGKA_00882	170	222	5	6	48	12	93	10	8	472	80	58	6	2	10	29	26	11	22	21	17	30	17	13	49	63	43	67	12	21	29.51	22	20	20	52	33	2.566	1.359	3.483	0.000495348287551591	0.00613654771762941	0.0935	0.0583	0.0711	0.0711	TRUE	0.2484
NLANBGKA_00111	189	424	20	9	49	24	100	21	29	509	68	90	2	8	15	33	50	44	33	22	34	32	36	49	53	54	67	22	49	31	40.55	42	30	39	58	34	2.08	1.057	3.46	0.000541054440389373	0.00657509967558895	0.0337	0.0451	0.0394	0.0394	TRUE	0.2061
NLANBGKA_01895	45	71	4	0	15	3	27	9	1	190	28	28	0	1	8	8	8	9	0	7	4	9	16	2	20	22	21	0	6	17	9.81	8	4	9	21	8	4.144	2.051	3.419	0.000628512861224567	0.0075658718011561	0.0019	0.1558	0.1282	0.1282	TRUE	0.1429
NLANBGKA_00805	180	227	15	4	73	33	105	20	22	558	73	146	0	10	18	31	27	33	15	32	47	34	34	37	58	58	108	0	61	38	40.84	30	31	35	75	33	2.186	1.128	3.414	0.0006398146440871	0.0076299391201415	0.0698	0.0448	0.0544	0.0544	TRUE	0.0546
NLANBGKA_01448	1100	1776	94	28	319	93	511	91	68	2213	268	211	24	32	95	190	208	207	103	142	133	165	157	115	230	211	157	268	195	199	178.49	202	126	146	199	221	1.54	0.623	3.353	0.00079837551370238	0.00926115595894761	0.018	0.0178	0.018	0.018	TRUE	0.1506
NLANBGKA_01356	1361	2031	98	65	514	127	737	133	143	2757	383	384	18	31	111	235	238	215	239	228	181	238	229	241	286	302	285	201	189	233	235.99	229	216	236	291	208	1.354	0.437	3.341	0.000834850929950583	0.00951133738050842	0.001	0.0158	0.0082	0.0082	TRUE	0.0776
NLANBGKA_00745	2686	5519	229	122	1233	367	1566	357	395	6439	818	1445	48	56	232	465	645	503	448	548	523	505	616	666	669	645	1072	535	341	487	577.81	538	506	596	795	454	1.557	0.638	3.322	0.000892787565081244	0.00990606028733623	0.0377	0.0122	0.0246	0.0246	TRUE	0.4409
NLANBGKA_00360	4081	6017	325	209	2123	569	2537	455	388	10307	1571	1400	85	166	542	706	704	714	767	943	811	818	785	654	1071	1238	1039	948	1010	1138	889.67	708	840	752	1116	1032	1.312	0.391	3.319	0.000903022445839115	0.00993324690423026	0.0069	0.0114	0.0088	0.0088	TRUE	0.0602
