Id	sample_1A	sample_1B	sample_1C	sample_3A	sample_3B	sample_3C	sample_4A	sample_4B	sample_4C	sample_5A	sample_5B	sample_5C	sample_6A	sample_6B	sample_6C	norm.sample_1A	norm.sample_1B	norm.sample_1C	norm.sample_3A	norm.sample_3B	norm.sample_3C	norm.sample_4A	norm.sample_4B	norm.sample_4C	norm.sample_5A	norm.sample_5B	norm.sample_5C	norm.sample_6A	norm.sample_6B	norm.sample_6C	baseMean	All	minus 5614	minus 6086	minus 10675	minus SICO	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
NLANBGKA_01272	581	839	48	46	462	133	349	75	53	2002	227	198	8	9	27	100	98	105	169	205	190	112	129	89	208	179	147	89	55	57	128.9	101	188	110	178	67	1.79	0.84	4.962	6.97210003078949e-07	1.03056353580107e-05	0.0123	0.0209	0.0166	0.0166	TRUE	0.0492
NLANBGKA_01270	187	243	10	18	167	54	130	25	27	813	77	77	8	0	15	32	28	22	66	74	77	42	43	46	84	61	57	89	0	31	50.23	27	72	44	67	40	2.367	1.243	4.959	7.06782111471343e-07	1.03394207853385e-05	0.0267	0.0383	0.0338	0.0338	TRUE	0.1194
NLANBGKA_00719	1338	2017	99	47	525	159	728	127	140	3395	399	571	26	48	148	231	236	218	173	233	227	235	219	236	353	314	424	290	292	311	266.03	228	211	230	364	298	1.578	0.658	4.943	7.69883284239307e-07	1.114759571771e-05	0.0072	0.0151	0.0108	0.0108	TRUE	0.0899
NLANBGKA_00102	5484	8376	492	240	2145	779	2974	675	561	14585	1755	3402	115	244	663	949	980	1081	881	953	1110	959	1164	946	1515	1383	2524	1283	1485	1392	1240.23	1003	981	1023	1807	1387	1.805	0.852	4.899	9.61566042205198e-07	1.3583823679754e-05	0.0303	0.0109	0.0212	0.0212	TRUE	0.581
NLANBGKA_00812	36	49	3	4	27	8	21	4	7	183	29	37	1	2	10	6	6	7	15	12	11	7	7	12	19	23	27	11	12	21	13.05	6	13	9	23	15	3.757	1.91	4.898	9.66854257685097e-07	1.3583823679754e-05	0	0.1196	0.0701	0.0701	TRUE	0.1506
NLANBGKA_01462	1770	2443	140	100	964	313	999	168	167	4387	558	568	30	70	230	306	286	308	367	428	446	322	290	281	456	440	421	335	426	483	372.97	300	414	298	439	415	1.474	0.56	4.886	1.02673047070098e-06	1.42836327247518e-05	0.0031	0.0136	0.0079	0.0079	TRUE	0.0929
NLANBGKA_00225	17609	24408	1408	882	7052	2474	9064	1948	1815	38920	5588	8961	375	963	2230	3046	2855	3094	3239	3132	3526	2922	3359	3059	4044	4403	6649	4183	5859	4681	3870.07	2998	3299	3113	5032	4908	1.678	0.747	4.818	1.44643459784074e-06	1.99270941197671e-05	0.0236	0.0101	0.0171	0.0171	TRUE	0.3856
NLANBGKA_01706	120	167	13	9	132	39	114	37	19	604	74	59	2	3	6	21	20	29	33	59	56	37	64	32	63	58	44	22	18	13	37.78	23	49	44	55	18	2.598	1.377	4.804	1.55169260862886e-06	2.11716520350418e-05	0.0394	0.0477	0.0442	0.0442	TRUE	0.3103
NLANBGKA_00503	741	1182	91	52	364	137	523	141	105	2282	343	382	19	47	124	128	138	200	191	162	195	169	243	177	237	270	283	212	286	260	210.13	155	183	196	263	253	1.769	0.823	4.729	2.25815227095731e-06	2.93965185334296e-05	0.0218	0.0166	0.0188	0.0188	TRUE	0.1676
NLANBGKA_01605	147	223	21	14	105	35	114	45	17	795	89	89	5	14	28	25	26	46	51	47	50	37	78	29	83	70	66	56	85	59	53.81	32	49	48	73	67	2.506	1.326	4.654	3.25004990170437e-06	4.04545685133202e-05	0.06	0.0364	0.0464	0.0464	TRUE	0.6626
