Id	sample_1A	sample_1B	sample_1C	sample_3A	sample_3B	sample_3C	sample_4A	sample_4B	sample_4C	sample_5A	sample_5B	sample_5C	sample_6A	sample_6B	sample_6C	norm.sample_1A	norm.sample_1B	norm.sample_1C	norm.sample_3A	norm.sample_3B	norm.sample_3C	norm.sample_4A	norm.sample_4B	norm.sample_4C	norm.sample_5A	norm.sample_5B	norm.sample_5C	norm.sample_6A	norm.sample_6B	norm.sample_6C	baseMean	All	minus 5614	minus 6086	minus 10675	minus SICO	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
NLANBGKA_01572	265	326	15	4	93	18	90	16	17	6465	788	739	4	4	9	46	38	33	15	41	26	29	28	29	672	621	548	45	24	19	147.51	39	27	29	614	29	0.039	-4.689	-11.736	8.33926433652554e-32	1.03406877772917e-28	0.0321	0.0195	0.0235	0.0235	TRUE	0.1542
NLANBGKA_00258	888	1300	72	53	379	136	489	127	107	7326	844	828	14	33	87	154	152	158	195	168	194	158	219	180	761	665	614	156	201	183	277.18	155	186	186	680	180	0.268	-1.898	-10.151	3.27024035478586e-24	2.02754901996723e-21	0.0091	0.0149	0.0117	0.0117	TRUE	0.0711
NLANBGKA_01212	29176	45072	2418	1488	11916	3350	15712	2795	2925	79354	10576	11314	443	725	2462	5047	5271	5314	5464	5293	4775	5064	4820	4930	8244	8333	8395	4942	4411	5168	5698.11	5211	5177	4938	8324	4840	0.583	-0.778	-9.409	4.99939798374742e-21	2.06641783328227e-18	0.0023	0.01	0.0043	0.0043	TRUE	0.0299
NLANBGKA_01573	308	429	23	12	124	34	156	58	43	3625	382	372	6	5	20	53	50	51	44	55	48	50	100	72	377	301	276	67	30	42	107.82	51	49	74	318	46	0.134	-2.899	-8.591	8.64836976145662e-18	2.68099462605155e-15	0.0337	0.023	0.028	0.028	TRUE	0.2221
NLANBGKA_00259	582	824	48	34	196	61	254	58	62	3392	395	450	7	24	51	101	96	105	125	87	87	82	100	105	352	311	334	78	146	107	147.77	101	100	96	332	110	0.339	-1.563	-7.122	1.06150596875785e-12	2.63253480251947e-10	0.0065	0.0194	0.0134	0.0134	TRUE	0.0696
NLANBGKA_01838	2759	3595	195	80	797	246	1101	190	232	4627	431	531	14	22	83	477	420	429	294	354	351	355	328	391	481	340	394	156	134	174	338.45	442	333	358	405	155	0.392	-1.351	-6.833	8.29916782855896e-12	1.71516135123552e-09	0.0116	0.014	0.0126	0.0126	TRUE	0.1122
NLANBGKA_01705	516	796	54	55	538	156	450	97	92	2664	289	269	7	6	38	89	93	119	202	239	222	145	167	155	277	228	200	78	37	80	155.34	100	221	156	235	65	0.288	-1.796	-6.776	1.23661146173718e-11	2.1905688750773e-09	0.0139	0.019	0.0163	0.0163	TRUE	0.2146
NLANBGKA_01513	4979	9013	482	317	2522	755	3106	616	653	14235	1836	2028	67	115	450	861	1054	1059	1164	1120	1076	1001	1062	1101	1479	1447	1505	747	700	945	1088.08	991	1120	1055	1477	797	0.557	-0.844	-6.648	2.97187522990815e-11	4.09458365009568e-09	0.0073	0.0111	0.0082	0.0082	TRUE	0.1611
NLANBGKA_01561	96	111	10	5	54	7	42	7	8	1243	172	256	1	1	4	17	13	22	18	24	10	14	12	13	129	136	190	11	6	8	41.55	17	17	13	152	8	0.054	-4.2	-6.433	1.25036002841036e-10	1.42892469770426e-08	0	0.0442	0.0454	0.0454	TRUE	0.6
NLANBGKA_01704	1527	2567	119	171	1792	503	1430	306	259	6790	1093	1382	42	65	186	264	300	262	628	796	717	461	528	437	705	861	1025	469	395	390	549.23	275	714	475	864	418	0.475	-1.075	-6.431	1.26759448989894e-10	1.42892469770426e-08	0.0141	0.0124	0.0134	0.0134	TRUE	0.0325
