Id	sample_1A	sample_1B	sample_1C	sample_3A	sample_3B	sample_3C	sample_4A	sample_4B	sample_4C	sample_5A	sample_5B	sample_5C	sample_6A	sample_6B	sample_6C	norm.sample_1A	norm.sample_1B	norm.sample_1C	norm.sample_3A	norm.sample_3B	norm.sample_3C	norm.sample_4A	norm.sample_4B	norm.sample_4C	norm.sample_5A	norm.sample_5B	norm.sample_5C	norm.sample_6A	norm.sample_6B	norm.sample_6C	baseMean	All	minus 5614	minus 6086	minus 10675	minus SICO	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
NLANBGKA_01572	265	326	15	4	93	18	90	16	17	6465	788	739	4	4	9	46	38	33	15	41	26	29	28	29	672	621	548	45	24	19	147.51	39	27	29	614	29	21.479	4.425	18.655	1.1468246730686e-77	1.50348714639293e-74	0.0321	0.0195	0.0235	0.0235	TRUE	0.1542
NLANBGKA_00258	888	1300	72	53	379	136	489	127	107	7326	844	828	14	33	87	154	152	158	195	168	194	158	219	180	761	665	614	156	201	183	277.18	155	186	186	680	180	3.766	1.913	13.207	8.04046150621332e-40	5.27052251732283e-37	0.0091	0.0149	0.0117	0.0117	TRUE	0.0711
NLANBGKA_00259	582	824	48	34	196	61	254	58	62	3392	395	450	7	24	51	101	96	105	125	87	87	82	100	105	352	311	334	78	146	107	147.77	101	100	96	332	110	3.61	1.852	11.192	4.45958996775812e-29	1.9488408159103e-26	0.0065	0.0194	0.0134	0.0134	TRUE	0.0696
NLANBGKA_01561	96	111	10	5	54	7	42	7	8	1243	172	256	1	1	4	17	13	22	18	24	10	14	12	13	129	136	190	11	6	8	41.55	17	17	13	152	8	11.43	3.515	10.379	3.10491715379558e-25	1.0176365971565e-22	0	0.0442	0.0454	0.0454	TRUE	0.6
NLANBGKA_00679	5581	7889	500	296	2269	677	3056	599	577	20940	2617	3492	126	308	686	965	923	1099	1087	1008	965	985	1033	973	2176	2062	2591	1406	1874	1440	1372.34	996	1020	997	2276	1573	2.284	1.191	10.138	3.74900446587973e-24	9.82988970953666e-22	0.0082	0.0108	0.0092	0.0092	TRUE	0.1212
NLANBGKA_01560	73	110	5	4	19	6	40	6	4	1099	136	132	1	2	4	13	13	11	15	8	9	13	10	7	114	107	98	11	12	8	29.94	12	11	10	106	10	9.617	3.266	9.839	7.64855817585226e-23	1.67120996142372e-20	0	0.0576	0.037	0.037	TRUE	0.1693
NLANBGKA_01573	308	429	23	12	124	34	156	58	43	3625	382	372	6	5	20	53	50	51	44	55	48	50	100	72	377	301	276	67	30	42	107.82	51	49	74	318	46	4.548	2.185	9.693	3.22181456613592e-22	6.03399842314884e-20	0.0337	0.023	0.028	0.028	TRUE	0.2221
NLANBGKA_01212	29176	45072	2418	1488	11916	3350	15712	2795	2925	79354	10576	11314	443	725	2462	5047	5271	5314	5464	5293	4775	5064	4820	4930	8244	8333	8395	4942	4411	5168	5698.11	5211	5177	4938	8324	4840	1.685	0.752	9.586	9.15393278799074e-22	1.50010073563198e-19	0.0023	0.01	0.0043	0.0043	TRUE	0.0299
NLANBGKA_00389	259	365	24	17	170	43	134	18	22	1515	211	205	6	1	24	45	43	53	62	76	61	43	31	37	157	166	152	67	6	50	70	47	66	37	158	41	4.073	2.026	9.307	1.31428704494569e-20	1.91447812880422e-18	0.0052	0.0302	0.02	0.02	TRUE	0.2702
NLANBGKA_01337	713	956	55	49	276	94	362	70	64	2797	412	422	16	41	75	123	112	121	180	123	134	117	121	108	291	325	313	178	249	157	176.77	119	146	115	310	195	2.673	1.419	8.877	6.89516718059724e-19	9.03956417376298e-17	0.0073	0.0178	0.013	0.013	TRUE	0.2493
NLANBGKA_00257	66	108	4	5	36	9	34	10	8	931	105	183	2	6	5	11	13	9	18	16	13	11	17	13	97	83	136	22	37	10	33.75	11	16	14	105	23	8.108	3.019	8.682	3.87377831352946e-18	4.23210280753094e-16	0.042	0.0522	0.0482	0.0482	TRUE	0.3333
NLANBGKA_00388	259	352	10	9	91	25	130	32	21	2138	265	202	5	7	20	45	41	22	33	40	36	42	55	35	222	209	150	56	43	42	71.38	36	36	44	194	47	4.457	2.156	8.688	3.67704317105383e-18	4.23210280753094e-16	0.0325	0.0298	0.031	0.031	TRUE	0.1219
NLANBGKA_00260	351	522	28	30	150	52	195	34	48	2166	284	432	19	25	48	61	61	62	110	67	74	63	59	81	225	224	321	212	152	101	124.72	61	84	68	257	155	3.833	1.938	8.587	8.92852823623333e-18	7.95953778750376e-16	0.0355	0.0212	0.0276	0.0276	TRUE	0.0842
NLANBGKA_00960	1541	2318	125	106	976	293	935	136	139	5662	688	644	32	71	240	267	271	275	389	434	418	301	235	234	588	542	478	357	432	504	381.59	271	414	257	536	431	2.05	1.036	7.558	4.09183428421789e-14	3.15552632153509e-12	0.0089	0.0135	0.0109	0.0109	TRUE	0.0769
NLANBGKA_00877	574	825	39	25	231	56	305	55	43	2071	244	318	18	20	62	99	96	86	92	103	80	98	95	72	215	192	236	201	122	130	127.82	94	92	88	214	151	2.368	1.244	7.139	9.40397839275454e-13	6.84923092938955e-11	0.0074	0.021	0.0149	0.0149	TRUE	0.0768
