ID	sample_4C
NLANBGKA_00001	25
NLANBGKA_00002	8
NLANBGKA_00003	12
NLANBGKA_00004	30
NLANBGKA_00005	88
NLANBGKA_00006	1
NLANBGKA_00007	14
NLANBGKA_00008	3
NLANBGKA_00009	0
NLANBGKA_00010	0
NLANBGKA_00011	0
NLANBGKA_00012	94
NLANBGKA_00013	22
NLANBGKA_00014	930
NLANBGKA_00015	618
NLANBGKA_00016	27
NLANBGKA_00017	55
NLANBGKA_00018	82
NLANBGKA_00019	58
NLANBGKA_00020	81
NLANBGKA_00021	0
NLANBGKA_00022	0
NLANBGKA_00023	1
NLANBGKA_00024	1
NLANBGKA_00025	0
NLANBGKA_00026	0
NLANBGKA_00027	121
NLANBGKA_00028	0
NLANBGKA_00029	156
NLANBGKA_00030	40
NLANBGKA_00031	43
NLANBGKA_00032	19
NLANBGKA_00035	27
NLANBGKA_00036	14
NLANBGKA_00037	6
NLANBGKA_00038	96
NLANBGKA_00039	75
NLANBGKA_00040	31
NLANBGKA_00041	10
NLANBGKA_00042	56
NLANBGKA_00043	2
NLANBGKA_00044	48
NLANBGKA_00045	205
NLANBGKA_00046	40
NLANBGKA_00047	36
NLANBGKA_00048	55
NLANBGKA_00049	156
NLANBGKA_00050	124
NLANBGKA_00051	15
NLANBGKA_00052	21
NLANBGKA_00053	11
NLANBGKA_00054	13
NLANBGKA_00055	11
NLANBGKA_00056	0
NLANBGKA_00057	0
NLANBGKA_00058	2
NLANBGKA_00059	0
NLANBGKA_00060	15
NLANBGKA_00061	20
NLANBGKA_00062	55
NLANBGKA_00063	19
NLANBGKA_00064	20
NLANBGKA_00065	6
NLANBGKA_00066	4
NLANBGKA_00067	79
NLANBGKA_00068	112
NLANBGKA_00069	70
NLANBGKA_00070	31
NLANBGKA_00071	34
NLANBGKA_00072	19
NLANBGKA_00073	6
NLANBGKA_00074	9
NLANBGKA_00075	169
NLANBGKA_00076	51
NLANBGKA_00077	30
NLANBGKA_00078	46
NLANBGKA_00079	53
NLANBGKA_00080	107
NLANBGKA_00081	51
NLANBGKA_00082	43
NLANBGKA_00083	83
NLANBGKA_00084	7
NLANBGKA_00085	0
NLANBGKA_00086	553
NLANBGKA_00087	1785
NLANBGKA_00088	144
NLANBGKA_00089	13
NLANBGKA_00090	17
NLANBGKA_00091	25
NLANBGKA_00092	1
NLANBGKA_00093	104
NLANBGKA_00094	34
NLANBGKA_00095	0
NLANBGKA_00096	8
NLANBGKA_00097	0
NLANBGKA_00098	27
NLANBGKA_00099	7
NLANBGKA_00100	19
NLANBGKA_00101	108
NLANBGKA_00102	561
NLANBGKA_00103	71
NLANBGKA_00104	6
NLANBGKA_00105	8
NLANBGKA_00106	2
NLANBGKA_00107	1
NLANBGKA_00108	5
NLANBGKA_00109	1
NLANBGKA_00110	2
NLANBGKA_00111	29
NLANBGKA_00112	16
NLANBGKA_00113	253
NLANBGKA_00114	64
NLANBGKA_00115	160
NLANBGKA_00116	204
NLANBGKA_00117	33
NLANBGKA_00118	67
NLANBGKA_00119	55
NLANBGKA_00120	3
NLANBGKA_00123	311
NLANBGKA_00124	18
NLANBGKA_00125	35
NLANBGKA_00126	7
NLANBGKA_00127	69
NLANBGKA_00128	648
NLANBGKA_00129	6
NLANBGKA_00130	23
NLANBGKA_00131	105
NLANBGKA_00132	42
NLANBGKA_00133	110
NLANBGKA_00134	14
NLANBGKA_00135	311
NLANBGKA_00136	338
NLANBGKA_00137	236
NLANBGKA_00138	167
NLANBGKA_00139	49
NLANBGKA_00140	17
NLANBGKA_00141	248
NLANBGKA_00142	110
NLANBGKA_00143	42
NLANBGKA_00144	38
NLANBGKA_00145	2
NLANBGKA_00146	57
NLANBGKA_00147	0
NLANBGKA_00148	149
NLANBGKA_00149	151
NLANBGKA_00150	27
NLANBGKA_00151	119
NLANBGKA_00152	11
NLANBGKA_00153	77
NLANBGKA_00154	23
