ID	sample_1A
NLANBGKA_00001	240
NLANBGKA_00002	51
NLANBGKA_00003	89
NLANBGKA_00004	148
NLANBGKA_00005	545
NLANBGKA_00006	0
NLANBGKA_00007	68
NLANBGKA_00008	25
NLANBGKA_00009	0
NLANBGKA_00010	0
NLANBGKA_00011	2
NLANBGKA_00012	883
NLANBGKA_00013	208
NLANBGKA_00014	9635
NLANBGKA_00015	5184
NLANBGKA_00016	216
NLANBGKA_00017	533
NLANBGKA_00018	732
NLANBGKA_00019	562
NLANBGKA_00020	692
NLANBGKA_00021	0
NLANBGKA_00022	0
NLANBGKA_00023	12
NLANBGKA_00024	1
NLANBGKA_00025	0
NLANBGKA_00026	0
NLANBGKA_00027	1195
NLANBGKA_00028	2
NLANBGKA_00029	1831
NLANBGKA_00030	494
NLANBGKA_00031	400
NLANBGKA_00032	147
NLANBGKA_00035	222
NLANBGKA_00036	183
NLANBGKA_00037	64
NLANBGKA_00038	1127
NLANBGKA_00039	756
NLANBGKA_00040	335
NLANBGKA_00041	106
NLANBGKA_00042	494
NLANBGKA_00043	42
NLANBGKA_00044	464
NLANBGKA_00045	2023
NLANBGKA_00046	445
NLANBGKA_00047	370
NLANBGKA_00048	724
NLANBGKA_00049	1369
NLANBGKA_00050	1133
NLANBGKA_00051	56
NLANBGKA_00052	99
NLANBGKA_00053	74
NLANBGKA_00054	64
NLANBGKA_00055	29
NLANBGKA_00056	0
NLANBGKA_00057	2
NLANBGKA_00058	2
NLANBGKA_00059	1
NLANBGKA_00060	242
NLANBGKA_00061	187
NLANBGKA_00062	616
NLANBGKA_00063	209
NLANBGKA_00064	197
NLANBGKA_00065	30
NLANBGKA_00066	28
NLANBGKA_00067	784
NLANBGKA_00068	1427
NLANBGKA_00069	752
NLANBGKA_00070	436
NLANBGKA_00071	335
NLANBGKA_00072	200
NLANBGKA_00073	39
NLANBGKA_00074	46
NLANBGKA_00075	1863
NLANBGKA_00076	489
NLANBGKA_00077	203
NLANBGKA_00078	544
NLANBGKA_00079	422
NLANBGKA_00080	1029
NLANBGKA_00081	477
NLANBGKA_00082	521
NLANBGKA_00083	929
NLANBGKA_00084	57
NLANBGKA_00085	1
NLANBGKA_00086	6023
NLANBGKA_00087	21986
NLANBGKA_00088	1214
NLANBGKA_00089	154
NLANBGKA_00090	64
NLANBGKA_00091	138
NLANBGKA_00092	28
NLANBGKA_00093	1172
NLANBGKA_00094	257
NLANBGKA_00095	5
NLANBGKA_00096	37
NLANBGKA_00097	7
NLANBGKA_00098	359
NLANBGKA_00099	45
NLANBGKA_00100	199
NLANBGKA_00101	1072
NLANBGKA_00102	5484
NLANBGKA_00103	600
NLANBGKA_00104	101
NLANBGKA_00105	62
NLANBGKA_00106	4
NLANBGKA_00107	2
NLANBGKA_00108	62
NLANBGKA_00109	13
NLANBGKA_00110	2
NLANBGKA_00111	189
NLANBGKA_00112	145
NLANBGKA_00113	3148
NLANBGKA_00114	983
NLANBGKA_00115	1789
NLANBGKA_00116	2664
NLANBGKA_00117	373
NLANBGKA_00118	815
NLANBGKA_00119	472
NLANBGKA_00120	17
NLANBGKA_00123	4034
NLANBGKA_00124	281
NLANBGKA_00125	657
NLANBGKA_00126	38
NLANBGKA_00127	760
NLANBGKA_00128	6897
NLANBGKA_00129	112
NLANBGKA_00130	218
NLANBGKA_00131	904
NLANBGKA_00132	325
NLANBGKA_00133	1076
NLANBGKA_00134	101
NLANBGKA_00135	3537
NLANBGKA_00136	3353
NLANBGKA_00137	2707
NLANBGKA_00138	2159
NLANBGKA_00139	481
NLANBGKA_00140	155
NLANBGKA_00141	3241
NLANBGKA_00142	1047
NLANBGKA_00143	442
NLANBGKA_00144	352
NLANBGKA_00145	13
NLANBGKA_00146	508
NLANBGKA_00147	5
NLANBGKA_00148	1103
NLANBGKA_00149	966
NLANBGKA_00150	219
NLANBGKA_00151	903
NLANBGKA_00152	55
NLANBGKA_00153	676
NLANBGKA_00154	197
NLANBGKA_00155	298
NLANBGKA_00156	246
NLANBGKA_00157	284
NLANBGKA_00158	844
NLANBGKA_00159	253
NLANBGKA_00160	14
NLANBGKA_00161	1307
NLANBGKA_00162	507
NLANBGKA_00163	208
NLANBGKA_00164	110
NLANBGKA_00165	880
NLANBGKA_00166	916
NLANBGKA_00167	663
NLANBGKA_00168	105
NLANBGKA_00169	2562
NLANBGKA_00170	5
NLANBGKA_00171	6
NLANBGKA_00172	7079
NLANBGKA_00173	80
NLANBGKA_00174	29
NLANBGKA_00175	186
NLANBGKA_00176	131
NLANBGKA_00177	36
NLANBGKA_00178	56
NLANBGKA_00179	668
NLANBGKA_00180	194
NLANBGKA_00181	424
NLANBGKA_00182	33
NLANBGKA_00183	4010
NLANBGKA_00184	37
NLANBGKA_00185	5
NLANBGKA_00186	4
NLANBGKA_00187	144
NLANBGKA_00188	10
NLANBGKA_00189	0
NLANBGKA_00190	6
NLANBGKA_00191	592
NLANBGKA_00192	14
NLANBGKA_00193	2
NLANBGKA_00194	427
NLANBGKA_00195	216
NLANBGKA_00196	253
NLANBGKA_00197	2300
NLANBGKA_00198	36
NLANBGKA_00199	50
NLANBGKA_00200	325
NLANBGKA_00201	672
NLANBGKA_00202	1653
NLANBGKA_00203	52
NLANBGKA_00204	67
