ID	sample_5A
NLANBGKA_00001	964
NLANBGKA_00002	273
NLANBGKA_00003	560
NLANBGKA_00004	880
NLANBGKA_00005	3449
NLANBGKA_00006	0
NLANBGKA_00007	87
NLANBGKA_00008	47
NLANBGKA_00009	0
NLANBGKA_00010	0
NLANBGKA_00011	1
NLANBGKA_00012	1375
NLANBGKA_00013	382
NLANBGKA_00014	13803
NLANBGKA_00015	9700
NLANBGKA_00016	408
NLANBGKA_00017	828
NLANBGKA_00018	1026
NLANBGKA_00019	883
NLANBGKA_00020	1451
NLANBGKA_00021	0
NLANBGKA_00022	0
NLANBGKA_00023	19
NLANBGKA_00024	3
NLANBGKA_00025	0
NLANBGKA_00026	0
NLANBGKA_00027	1613
NLANBGKA_00028	2
NLANBGKA_00029	1716
NLANBGKA_00030	561
NLANBGKA_00031	404
NLANBGKA_00032	184
NLANBGKA_00035	225
NLANBGKA_00036	185
NLANBGKA_00037	93
NLANBGKA_00038	1461
NLANBGKA_00039	967
NLANBGKA_00040	386
NLANBGKA_00041	99
NLANBGKA_00042	459
NLANBGKA_00043	85
NLANBGKA_00044	901
NLANBGKA_00045	2520
NLANBGKA_00046	618
NLANBGKA_00047	517
NLANBGKA_00048	1145
NLANBGKA_00049	2077
NLANBGKA_00050	1630
NLANBGKA_00051	228
NLANBGKA_00052	525
NLANBGKA_00053	313
NLANBGKA_00054	428
NLANBGKA_00055	243
NLANBGKA_00056	1
NLANBGKA_00057	11
NLANBGKA_00058	28
NLANBGKA_00059	12
NLANBGKA_00060	373
NLANBGKA_00061	302
NLANBGKA_00062	1037
NLANBGKA_00063	373
NLANBGKA_00064	456
NLANBGKA_00065	108
NLANBGKA_00066	82
NLANBGKA_00067	1475
NLANBGKA_00068	2082
NLANBGKA_00069	1644
NLANBGKA_00070	510
NLANBGKA_00071	499
NLANBGKA_00072	374
NLANBGKA_00073	84
NLANBGKA_00074	52
NLANBGKA_00075	2209
NLANBGKA_00076	549
NLANBGKA_00077	237
NLANBGKA_00078	735
NLANBGKA_00079	588
NLANBGKA_00080	1426
NLANBGKA_00081	761
NLANBGKA_00082	1561
NLANBGKA_00083	2266
NLANBGKA_00084	96
NLANBGKA_00085	4
NLANBGKA_00086	14738
NLANBGKA_00087	37234
NLANBGKA_00088	2664
NLANBGKA_00089	228
NLANBGKA_00090	154
NLANBGKA_00091	139
NLANBGKA_00092	54
NLANBGKA_00093	2614
NLANBGKA_00094	670
NLANBGKA_00095	10
NLANBGKA_00096	60
NLANBGKA_00097	13
NLANBGKA_00098	637
NLANBGKA_00099	110
NLANBGKA_00100	322
NLANBGKA_00101	1805
NLANBGKA_00102	14585
NLANBGKA_00103	830
NLANBGKA_00104	187
NLANBGKA_00105	162
NLANBGKA_00106	20
NLANBGKA_00107	6
NLANBGKA_00108	143
NLANBGKA_00109	17
NLANBGKA_00110	13
NLANBGKA_00111	509
NLANBGKA_00112	191
NLANBGKA_00113	3722
NLANBGKA_00114	1287
NLANBGKA_00115	2975
NLANBGKA_00116	2316
NLANBGKA_00117	381
NLANBGKA_00118	2509
NLANBGKA_00119	1450
NLANBGKA_00120	73
NLANBGKA_00123	7762
NLANBGKA_00124	559
NLANBGKA_00125	944
NLANBGKA_00126	69
NLANBGKA_00127	975
NLANBGKA_00128	9243
NLANBGKA_00129	398
NLANBGKA_00130	508
NLANBGKA_00131	1747
NLANBGKA_00132	720
NLANBGKA_00133	2115
NLANBGKA_00134	287
NLANBGKA_00135	6988
NLANBGKA_00136	5723
NLANBGKA_00137	4603
NLANBGKA_00138	3657
NLANBGKA_00139	1017
NLANBGKA_00140	282
NLANBGKA_00141	5238
NLANBGKA_00142	1753
NLANBGKA_00143	843
NLANBGKA_00144	693
NLANBGKA_00145	101
NLANBGKA_00146	1181
NLANBGKA_00147	5
NLANBGKA_00148	1894
NLANBGKA_00149	1732
NLANBGKA_00150	351
NLANBGKA_00151	1261
NLANBGKA_00152	72
NLANBGKA_00153	1456
NLANBGKA_00154	367
NLANBGKA_00155	827
NLANBGKA_00156	314
NLANBGKA_00157	419
NLANBGKA_00158	1062
NLANBGKA_00159	338
NLANBGKA_00160	25
NLANBGKA_00161	3062
NLANBGKA_00162	1228
NLANBGKA_00163	242
NLANBGKA_00164	193
NLANBGKA_00165	1322
NLANBGKA_00166	1298
NLANBGKA_00167	862
NLANBGKA_00168	189
NLANBGKA_00169	3086
NLANBGKA_00170	2
NLANBGKA_00171	3
NLANBGKA_00172	12369
NLANBGKA_00173	158
NLANBGKA_00174	46
NLANBGKA_00175	193
NLANBGKA_00176	162
NLANBGKA_00177	45
NLANBGKA_00178	67
NLANBGKA_00179	1254
NLANBGKA_00180	361
NLANBGKA_00181	864
NLANBGKA_00182	98
NLANBGKA_00183	5760
NLANBGKA_00184	134
NLANBGKA_00185	9
NLANBGKA_00186	4
NLANBGKA_00187	269
NLANBGKA_00188	42
NLANBGKA_00189	0
NLANBGKA_00190	11
NLANBGKA_00191	1145
NLANBGKA_00192	27
NLANBGKA_00193	0
NLANBGKA_00194	728
NLANBGKA_00195	255
NLANBGKA_00196	918
NLANBGKA_00197	3200
NLANBGKA_00198	63
NLANBGKA_00199	38
NLANBGKA_00200	487
NLANBGKA_00201	977
NLANBGKA_00202	1826
NLANBGKA_00203	118
NLANBGKA_00204	145
NLANBGKA_00205	65
NLANBGKA_00206	57
NLANBGKA_00207	24
NLANBGKA_00208	1836
NLANBGKA_00209	715
NLANBGKA_00210	451
NLANBGKA_00211	395
NLANBGKA_00212	363
NLANBGKA_00213	2507
NLANBGKA_00214	375
NLANBGKA_00215	4117
NLANBGKA_00216	36
NLANBGKA_00217	3900
NLANBGKA_00218	5098
NLANBGKA_00219	1974
NLANBGKA_00220	13355
NLANBGKA_00221	14802
NLANBGKA_00222	18655
NLANBGKA_00223	6959
NLANBGKA_00224	460
NLANBGKA_00225	38920
NLANBGKA_00226	3598
NLANBGKA_00227	1747
NLANBGKA_00228	1669
NLANBGKA_00229	2740
NLANBGKA_00230	59
NLANBGKA_00231	878
NLANBGKA_00232	779
NLANBGKA_00233	127
NLANBGKA_00234	96
NLANBGKA_00235	584
NLANBGKA_00236	14
NLANBGKA_00237	528
NLANBGKA_00238	25
NLANBGKA_00239	1
NLANBGKA_00240	21
NLANBGKA_00241	23
NLANBGKA_00242	1360
NLANBGKA_00243	2717
NLANBGKA_00244	43
NLANBGKA_00245	1193
NLANBGKA_00246	51
NLANBGKA_00247	3
NLANBGKA_00248	5
NLANBGKA_00249	458
NLANBGKA_00250	55
NLANBGKA_00251	21
NLANBGKA_00252	9
NLANBGKA_00253	4
NLANBGKA_00254	608
NLANBGKA_00255	165
NLANBGKA_00256	821
NLANBGKA_00257	931
NLANBGKA_00258	7326
NLANBGKA_00259	3392
NLANBGKA_00260	2166
NLANBGKA_00261	4164
NLANBGKA_00262	317
NLANBGKA_00263	116
NLANBGKA_00264	96
NLANBGKA_00265	65
NLANBGKA_00266	3
NLANBGKA_00267	4966
NLANBGKA_00268	2032
NLANBGKA_00269	2
NLANBGKA_00274	887
NLANBGKA_00275	1430
NLANBGKA_00276	4367
NLANBGKA_00277	957
NLANBGKA_00278	1252
NLANBGKA_00279	339
NLANBGKA_00281	381
NLANBGKA_00282	807
NLANBGKA_00283	5152
NLANBGKA_00284	1903
NLANBGKA_00285	2562
NLANBGKA_00286	15
NLANBGKA_00287	769
NLANBGKA_00288	234
NLANBGKA_00289	1217
NLANBGKA_00290	337
NLANBGKA_00291	70
NLANBGKA_00292	193
NLANBGKA_00293	381
NLANBGKA_00294	432
NLANBGKA_00295	674
NLANBGKA_00296	19
NLANBGKA_00297	1437
NLANBGKA_00298	1201
NLANBGKA_00299	222
NLANBGKA_00300	1941
NLANBGKA_00301	484
NLANBGKA_00302	59
NLANBGKA_00303	374
NLANBGKA_00304	209
NLANBGKA_00305	139
NLANBGKA_00306	51
NLANBGKA_00307	205
NLANBGKA_00308	634
NLANBGKA_00309	2275
NLANBGKA_00310	162
NLANBGKA_00311	759
NLANBGKA_00312	579
NLANBGKA_00313	794
NLANBGKA_00314	549
NLANBGKA_00315	414
NLANBGKA_00316	16
NLANBGKA_00317	4
NLANBGKA_00318	440
NLANBGKA_00319	252
NLANBGKA_00320	3
NLANBGKA_00321	37
NLANBGKA_00322	12
NLANBGKA_00323	669
NLANBGKA_00324	617
NLANBGKA_00325	634
NLANBGKA_00326	78
NLANBGKA_00327	10
NLANBGKA_00328	181
NLANBGKA_00329	366
NLANBGKA_00330	74
NLANBGKA_00331	718
NLANBGKA_00332	7
NLANBGKA_00333	4
NLANBGKA_00334	0
NLANBGKA_00335	144
NLANBGKA_00336	131
NLANBGKA_00337	67
NLANBGKA_00338	103
NLANBGKA_00339	658
