ID	sample_4A
NLANBGKA_00001	247
NLANBGKA_00002	54
NLANBGKA_00003	124
NLANBGKA_00004	200
NLANBGKA_00005	634
NLANBGKA_00006	1
NLANBGKA_00007	30
NLANBGKA_00008	8
NLANBGKA_00009	1
NLANBGKA_00010	0
NLANBGKA_00011	5
NLANBGKA_00012	465
NLANBGKA_00013	109
NLANBGKA_00014	4890
NLANBGKA_00015	2818
NLANBGKA_00016	117
NLANBGKA_00017	351
NLANBGKA_00018	389
NLANBGKA_00019	306
NLANBGKA_00020	382
NLANBGKA_00021	1
NLANBGKA_00022	0
NLANBGKA_00023	4
NLANBGKA_00024	2
NLANBGKA_00025	0
NLANBGKA_00026	0
NLANBGKA_00027	700
NLANBGKA_00028	2
NLANBGKA_00029	886
NLANBGKA_00030	271
NLANBGKA_00031	168
NLANBGKA_00032	61
NLANBGKA_00035	108
NLANBGKA_00036	125
NLANBGKA_00037	36
NLANBGKA_00038	599
NLANBGKA_00039	378
NLANBGKA_00040	207
NLANBGKA_00041	50
NLANBGKA_00042	288
NLANBGKA_00043	29
NLANBGKA_00044	239
NLANBGKA_00045	1013
NLANBGKA_00046	185
NLANBGKA_00047	186
NLANBGKA_00048	409
NLANBGKA_00049	786
NLANBGKA_00050	664
NLANBGKA_00051	42
NLANBGKA_00052	71
NLANBGKA_00053	44
NLANBGKA_00054	39
NLANBGKA_00055	40
NLANBGKA_00056	0
NLANBGKA_00057	0
NLANBGKA_00058	3
NLANBGKA_00059	0
NLANBGKA_00060	108
NLANBGKA_00061	90
NLANBGKA_00062	264
NLANBGKA_00063	137
NLANBGKA_00064	114
NLANBGKA_00065	12
NLANBGKA_00066	5
NLANBGKA_00067	420
NLANBGKA_00068	625
NLANBGKA_00069	416
NLANBGKA_00070	211
NLANBGKA_00071	168
NLANBGKA_00072	94
NLANBGKA_00073	20
NLANBGKA_00074	33
NLANBGKA_00075	938
NLANBGKA_00076	253
NLANBGKA_00077	141
NLANBGKA_00078	241
NLANBGKA_00079	240
NLANBGKA_00080	560
NLANBGKA_00081	257
NLANBGKA_00082	268
NLANBGKA_00083	509
NLANBGKA_00084	27
NLANBGKA_00085	0
NLANBGKA_00086	3085
