ID	sample_6A
NLANBGKA_00219	27
NLANBGKA_00220	147
NLANBGKA_00221	117
NLANBGKA_00222	148
NLANBGKA_00223	49
NLANBGKA_00224	2
NLANBGKA_00225	375
NLANBGKA_00226	32
NLANBGKA_00227	8
NLANBGKA_00228	14
NLANBGKA_00229	7
NLANBGKA_00230	1
NLANBGKA_00231	2
NLANBGKA_00232	7
NLANBGKA_00233	0
NLANBGKA_00234	4
NLANBGKA_00235	1
NLANBGKA_00236	0
NLANBGKA_00237	5
NLANBGKA_00238	0
NLANBGKA_00239	0
NLANBGKA_00240	0
NLANBGKA_00241	2
NLANBGKA_00242	8
NLANBGKA_00243	25
NLANBGKA_00244	1
NLANBGKA_00245	14
NLANBGKA_00246	5
NLANBGKA_00247	0
NLANBGKA_00248	0
NLANBGKA_00249	0
NLANBGKA_00250	0
NLANBGKA_00251	0
NLANBGKA_00252	1
NLANBGKA_00253	0
NLANBGKA_00254	3
NLANBGKA_00255	2
NLANBGKA_00256	5
NLANBGKA_00257	2
NLANBGKA_00258	14
NLANBGKA_00259	7
NLANBGKA_00260	19
NLANBGKA_00261	20
NLANBGKA_00262	0
NLANBGKA_00263	0
NLANBGKA_00264	0
NLANBGKA_00265	0
NLANBGKA_00266	0
NLANBGKA_00267	37
NLANBGKA_00268	8
NLANBGKA_00269	0
NLANBGKA_00274	4
NLANBGKA_00275	20
NLANBGKA_00276	56
NLANBGKA_00277	13
NLANBGKA_00278	11
NLANBGKA_00279	6
NLANBGKA_00281	2
NLANBGKA_00282	8
NLANBGKA_00283	39
NLANBGKA_00284	13
NLANBGKA_00285	16
NLANBGKA_00286	1
NLANBGKA_00287	4
NLANBGKA_00288	6
NLANBGKA_00289	8
NLANBGKA_00290	3
NLANBGKA_00291	1
NLANBGKA_00292	1
NLANBGKA_00293	2
NLANBGKA_00294	5
NLANBGKA_00295	3
NLANBGKA_00296	0
NLANBGKA_00297	16
NLANBGKA_00298	4
NLANBGKA_00299	4
NLANBGKA_00300	36
NLANBGKA_00301	6
NLANBGKA_00302	0
NLANBGKA_00303	4
NLANBGKA_00304	4
NLANBGKA_00305	6
NLANBGKA_00306	0
NLANBGKA_00307	1
NLANBGKA_00308	6
NLANBGKA_00309	31
NLANBGKA_00310	3
NLANBGKA_00311	5
NLANBGKA_00312	5
NLANBGKA_00313	7
NLANBGKA_00314	5
NLANBGKA_00315	2
NLANBGKA_00316	0
NLANBGKA_00317	1
NLANBGKA_00318	3
NLANBGKA_00319	2
NLANBGKA_00320	0
NLANBGKA_00321	1
NLANBGKA_00322	0
NLANBGKA_00323	10
NLANBGKA_00324	7
NLANBGKA_00325	2
NLANBGKA_00326	0
NLANBGKA_00327	0
NLANBGKA_00328	1
NLANBGKA_00329	6
NLANBGKA_00330	0
NLANBGKA_00331	4
NLANBGKA_00332	0
NLANBGKA_00333	0
NLANBGKA_00334	0
NLANBGKA_00335	0
NLANBGKA_00336	2
NLANBGKA_00337	0
NLANBGKA_00338	0
NLANBGKA_00339	11
NLANBGKA_00340	1
NLANBGKA_00341	15
NLANBGKA_00342	1
NLANBGKA_00343	3
NLANBGKA_00344	1
NLANBGKA_00345	0
NLANBGKA_00346	2
NLANBGKA_00347	3
NLANBGKA_00348	1
NLANBGKA_00349	4
NLANBGKA_00350	0
NLANBGKA_00351	3
NLANBGKA_00352	76
NLANBGKA_00353	0
NLANBGKA_00354	14
NLANBGKA_00355	0
NLANBGKA_00356	9
NLANBGKA_00357	0
NLANBGKA_00358	4
NLANBGKA_00359	0
NLANBGKA_00360	85
NLANBGKA_00361	1
NLANBGKA_00363	10
NLANBGKA_00364	20
NLANBGKA_00365	7
NLANBGKA_00366	2
NLANBGKA_00367	0
NLANBGKA_00368	3
NLANBGKA_00369	0
NLANBGKA_00370	0
NLANBGKA_00371	385
NLANBGKA_00372	3
NLANBGKA_00373	2
NLANBGKA_00374	6
NLANBGKA_00375	6
NLANBGKA_00376	1
NLANBGKA_00377	5
NLANBGKA_00378	10
NLANBGKA_00379	9
NLANBGKA_00380	10
NLANBGKA_00381	0
NLANBGKA_00382	10
NLANBGKA_00383	13
NLANBGKA_00384	1
NLANBGKA_00385	0
NLANBGKA_00386	0
NLANBGKA_00387	3
NLANBGKA_00388	5
NLANBGKA_00389	6
NLANBGKA_00390	13
NLANBGKA_00391	49
NLANBGKA_00392	30
NLANBGKA_00393	0
NLANBGKA_00394	0
NLANBGKA_00395	4
NLANBGKA_00396	10
NLANBGKA_00397	2
NLANBGKA_00398	23
NLANBGKA_00399	0
NLANBGKA_00400	3
NLANBGKA_00401	11
NLANBGKA_00402	17
NLANBGKA_00403	16
NLANBGKA_00404	6
NLANBGKA_00405	22
NLANBGKA_00406	6
NLANBGKA_00407	6
NLANBGKA_00408	1
NLANBGKA_00409	52
NLANBGKA_00410	0
NLANBGKA_00411	4
NLANBGKA_00412	6
NLANBGKA_00413	3
NLANBGKA_00414	0
NLANBGKA_00415	0
NLANBGKA_00416	1
NLANBGKA_00417	25
NLANBGKA_00418	13
NLANBGKA_00419	5
NLANBGKA_00420	2
NLANBGKA_00421	0
NLANBGKA_00422	15
NLANBGKA_00423	70
NLANBGKA_00424	2
NLANBGKA_00425	1
NLANBGKA_00426	3
NLANBGKA_00427	0
NLANBGKA_00428	1
NLANBGKA_00429	0
NLANBGKA_00430	2
NLANBGKA_00431	0
NLANBGKA_00432	0
NLANBGKA_00433	1
NLANBGKA_00434	11
NLANBGKA_00435	1
NLANBGKA_00436	2
NLANBGKA_00437	0
NLANBGKA_00438	0
NLANBGKA_00439	6
NLANBGKA_00440	0
NLANBGKA_00441	0
NLANBGKA_00442	0
NLANBGKA_00443	0
NLANBGKA_00444	2
NLANBGKA_00445	7
NLANBGKA_00446	1
NLANBGKA_00447	5
NLANBGKA_00448	5
NLANBGKA_00449	5
NLANBGKA_00450	12
NLANBGKA_00451	0
NLANBGKA_00452	17
NLANBGKA_00453	8
NLANBGKA_00454	19
NLANBGKA_00455	0
NLANBGKA_00456	4
NLANBGKA_00457	0
NLANBGKA_00458	0
NLANBGKA_00459	0
NLANBGKA_00460	0
NLANBGKA_00461	0
NLANBGKA_00462	0
NLANBGKA_00463	3
NLANBGKA_00464	12
NLANBGKA_00465	18
NLANBGKA_00466	14
NLANBGKA_00467	2
NLANBGKA_00468	16
NLANBGKA_00469	11
NLANBGKA_00470	0
NLANBGKA_00471	3
NLANBGKA_00472	0
NLANBGKA_00473	0
NLANBGKA_00474	0
NLANBGKA_00475	8
NLANBGKA_00476	4
NLANBGKA_00477	8
NLANBGKA_00478	7
NLANBGKA_00479	2
NLANBGKA_00480	20
NLANBGKA_00481	21
NLANBGKA_00482	82
NLANBGKA_00483	0
NLANBGKA_00484	0
NLANBGKA_00485	2
NLANBGKA_00486	7
NLANBGKA_00487	8
NLANBGKA_00488	9
NLANBGKA_00489	8
NLANBGKA_00490	10
NLANBGKA_00491	18
NLANBGKA_00492	4
NLANBGKA_00493	4
NLANBGKA_00494	1
NLANBGKA_00495	0
NLANBGKA_00496	0
NLANBGKA_00497	0
NLANBGKA_00498	23
NLANBGKA_00499	2
NLANBGKA_00500	3
NLANBGKA_00501	2
NLANBGKA_00502	7
NLANBGKA_00503	19
NLANBGKA_00504	2
NLANBGKA_00505	0
NLANBGKA_00506	1
NLANBGKA_00507	0
NLANBGKA_00508	0
NLANBGKA_00509	0
NLANBGKA_00510	0
NLANBGKA_00511	23
NLANBGKA_00512	25
NLANBGKA_00513	1
NLANBGKA_00514	0
NLANBGKA_00515	5
NLANBGKA_00516	2
NLANBGKA_00517	2
NLANBGKA_00518	0
NLANBGKA_00519	4
NLANBGKA_00520	5
NLANBGKA_00521	0
NLANBGKA_00522	3
NLANBGKA_00523	0
NLANBGKA_00524	46
NLANBGKA_00525	2
NLANBGKA_00526	68
NLANBGKA_00527	6
NLANBGKA_00528	0
NLANBGKA_00529	0
NLANBGKA_00530	178
NLANBGKA_00531	0
NLANBGKA_00532	0
NLANBGKA_00533	12
NLANBGKA_00534	2
NLANBGKA_00535	0
NLANBGKA_00536	0
NLANBGKA_00537	0
NLANBGKA_00538	0
NLANBGKA_00539	0
NLANBGKA_00540	1
NLANBGKA_00541	1
NLANBGKA_00542	0
