ID	sample_3C
NLANBGKA_00001	74
NLANBGKA_00002	25
NLANBGKA_00003	33
NLANBGKA_00004	57
NLANBGKA_00005	165
NLANBGKA_00006	0
NLANBGKA_00007	13
NLANBGKA_00008	1
NLANBGKA_00009	0
NLANBGKA_00010	1
NLANBGKA_00011	1
NLANBGKA_00012	101
NLANBGKA_00013	23
NLANBGKA_00014	1146
NLANBGKA_00015	654
NLANBGKA_00016	28
NLANBGKA_00017	111
NLANBGKA_00018	99
NLANBGKA_00019	68
NLANBGKA_00020	82
NLANBGKA_00021	0
NLANBGKA_00022	0
NLANBGKA_00023	4
NLANBGKA_00024	1
NLANBGKA_00025	0
NLANBGKA_00026	0
NLANBGKA_00027	191
NLANBGKA_00028	1
NLANBGKA_00029	150
NLANBGKA_00030	54
NLANBGKA_00031	49
NLANBGKA_00032	12
NLANBGKA_00035	25
NLANBGKA_00036	28
NLANBGKA_00037	6
NLANBGKA_00038	132
NLANBGKA_00039	96
NLANBGKA_00040	39
NLANBGKA_00041	12
NLANBGKA_00042	59
NLANBGKA_00043	8
NLANBGKA_00044	43
NLANBGKA_00045	164
NLANBGKA_00046	34
NLANBGKA_00047	42
NLANBGKA_00048	79
NLANBGKA_00049	190
NLANBGKA_00050	176
NLANBGKA_00051	19
NLANBGKA_00052	31
NLANBGKA_00053	24
NLANBGKA_00054	25
NLANBGKA_00055	16
NLANBGKA_00056	0
NLANBGKA_00057	0
NLANBGKA_00058	2
NLANBGKA_00059	0
NLANBGKA_00060	29
NLANBGKA_00061	13
NLANBGKA_00062	46
NLANBGKA_00063	28
NLANBGKA_00064	31
NLANBGKA_00065	5
NLANBGKA_00066	0
NLANBGKA_00067	117
NLANBGKA_00068	149
NLANBGKA_00069	95
NLANBGKA_00070	43
NLANBGKA_00071	36
NLANBGKA_00072	18
NLANBGKA_00073	8
NLANBGKA_00074	7
NLANBGKA_00075	194
NLANBGKA_00076	48
NLANBGKA_00077	19
NLANBGKA_00078	50
NLANBGKA_00079	35
NLANBGKA_00080	118
NLANBGKA_00081	40
NLANBGKA_00082	51
NLANBGKA_00083	99
NLANBGKA_00084	8
NLANBGKA_00085	0
NLANBGKA_00086	750
NLANBGKA_00087	2035
NLANBGKA_00088	130
NLANBGKA_00089	21
NLANBGKA_00090	16
NLANBGKA_00091	23
NLANBGKA_00092	3
NLANBGKA_00093	182
NLANBGKA_00094	31
NLANBGKA_00095	1
NLANBGKA_00096	3
NLANBGKA_00097	1
NLANBGKA_00098	51
NLANBGKA_00099	8
NLANBGKA_00100	22
NLANBGKA_00101	154
NLANBGKA_00102	779
NLANBGKA_00103	75
NLANBGKA_00104	15
NLANBGKA_00105	17
NLANBGKA_00106	0
NLANBGKA_00107	1
NLANBGKA_00108	16
NLANBGKA_00109	4
NLANBGKA_00110	1
NLANBGKA_00111	24
NLANBGKA_00112	15
NLANBGKA_00113	395
NLANBGKA_00114	105
NLANBGKA_00115	222
NLANBGKA_00116	270
NLANBGKA_00117	37
NLANBGKA_00118	164
NLANBGKA_00119	81
NLANBGKA_00120	5
NLANBGKA_00123	377
NLANBGKA_00124	17
NLANBGKA_00125	62
NLANBGKA_00126	7
NLANBGKA_00127	62
NLANBGKA_00128	701
NLANBGKA_00129	29
NLANBGKA_00130	30
NLANBGKA_00131	97
NLANBGKA_00132	40
NLANBGKA_00133	172
NLANBGKA_00134	11
NLANBGKA_00135	359
NLANBGKA_00136	341
NLANBGKA_00137	274
NLANBGKA_00138	259
NLANBGKA_00139	67
NLANBGKA_00140	26
NLANBGKA_00141	366
NLANBGKA_00142	135
NLANBGKA_00143	57
NLANBGKA_00144	44
NLANBGKA_00145	6
NLANBGKA_00146	59
NLANBGKA_00147	1
NLANBGKA_00148	119
NLANBGKA_00149	120
NLANBGKA_00150	38
NLANBGKA_00151	130
NLANBGKA_00152	7
NLANBGKA_00153	103
NLANBGKA_00154	24
NLANBGKA_00155	22
NLANBGKA_00156	36
