ID	sample_6C
NLANBGKA_00001	14
NLANBGKA_00002	4
NLANBGKA_00003	12
NLANBGKA_00004	17
NLANBGKA_00005	66
NLANBGKA_00006	0
NLANBGKA_00007	2
NLANBGKA_00008	1
NLANBGKA_00009	0
NLANBGKA_00010	0
NLANBGKA_00011	0
NLANBGKA_00012	63
NLANBGKA_00013	16
NLANBGKA_00014	602
NLANBGKA_00015	334
NLANBGKA_00016	7
NLANBGKA_00017	52
NLANBGKA_00018	83
NLANBGKA_00019	33
NLANBGKA_00020	36
NLANBGKA_00021	0
NLANBGKA_00022	0
NLANBGKA_00023	0
NLANBGKA_00024	0
NLANBGKA_00025	0
NLANBGKA_00026	0
NLANBGKA_00027	137
NLANBGKA_00028	1
NLANBGKA_00029	130
NLANBGKA_00030	33
NLANBGKA_00031	34
NLANBGKA_00032	6
NLANBGKA_00035	21
NLANBGKA_00036	21
NLANBGKA_00037	7
NLANBGKA_00038	104
NLANBGKA_00039	67
NLANBGKA_00040	30
NLANBGKA_00041	12
NLANBGKA_00042	49
NLANBGKA_00043	4
NLANBGKA_00044	32
NLANBGKA_00045	128
NLANBGKA_00046	24
NLANBGKA_00047	31
NLANBGKA_00048	65
NLANBGKA_00049	129
NLANBGKA_00050	142
NLANBGKA_00051	19
NLANBGKA_00052	45
NLANBGKA_00053	14
NLANBGKA_00054	27
NLANBGKA_00055	12
NLANBGKA_00056	0
NLANBGKA_00057	0
NLANBGKA_00058	0
NLANBGKA_00059	0
NLANBGKA_00060	9
NLANBGKA_00061	9
NLANBGKA_00062	23
NLANBGKA_00063	8
NLANBGKA_00064	22
NLANBGKA_00065	0
NLANBGKA_00066	1
NLANBGKA_00067	84
NLANBGKA_00068	95
NLANBGKA_00069	75
NLANBGKA_00070	25
NLANBGKA_00071	16
NLANBGKA_00072	15
NLANBGKA_00073	2
NLANBGKA_00074	9
NLANBGKA_00075	126
NLANBGKA_00076	31
NLANBGKA_00077	10
NLANBGKA_00078	37
NLANBGKA_00079	29
NLANBGKA_00080	51
NLANBGKA_00081	21
NLANBGKA_00082	41
NLANBGKA_00083	58
NLANBGKA_00084	8
NLANBGKA_00085	0
NLANBGKA_00086	664
NLANBGKA_00087	1445
NLANBGKA_00088	64
NLANBGKA_00089	22
NLANBGKA_00090	11
NLANBGKA_00091	12
NLANBGKA_00092	1
NLANBGKA_00093	139
NLANBGKA_00094	22
NLANBGKA_00095	0
NLANBGKA_00096	4
NLANBGKA_00097	1
NLANBGKA_00098	33
NLANBGKA_00099	2
NLANBGKA_00100	17
NLANBGKA_00101	118
NLANBGKA_00102	663
NLANBGKA_00103	67
NLANBGKA_00104	9
NLANBGKA_00105	19
NLANBGKA_00106	3
NLANBGKA_00107	0
NLANBGKA_00108	22
NLANBGKA_00109	0
NLANBGKA_00110	1
NLANBGKA_00111	15
NLANBGKA_00112	6
NLANBGKA_00113	245
NLANBGKA_00114	54
NLANBGKA_00115	106
NLANBGKA_00116	215
NLANBGKA_00117	17
NLANBGKA_00118	114
NLANBGKA_00119	81
NLANBGKA_00120	0
NLANBGKA_00123	255
NLANBGKA_00124	4
NLANBGKA_00125	46
NLANBGKA_00126	2
NLANBGKA_00127	47
NLANBGKA_00128	574
NLANBGKA_00129	32
NLANBGKA_00130	16
NLANBGKA_00131	62
NLANBGKA_00132	28
NLANBGKA_00133	124
NLANBGKA_00134	8
NLANBGKA_00135	293
NLANBGKA_00136	256
NLANBGKA_00137	193
NLANBGKA_00138	161
NLANBGKA_00139	48
NLANBGKA_00140	26
NLANBGKA_00141	308
NLANBGKA_00142	63
NLANBGKA_00143	40
NLANBGKA_00144	38
NLANBGKA_00145	0
NLANBGKA_00146	87
NLANBGKA_00147	0
NLANBGKA_00148	76
NLANBGKA_00149	59
NLANBGKA_00150	29
NLANBGKA_00151	107
NLANBGKA_00152	11
NLANBGKA_00153	66
NLANBGKA_00154	19
NLANBGKA_00155	20
NLANBGKA_00156	31
NLANBGKA_00157	23
NLANBGKA_00158	73
NLANBGKA_00159	35
NLANBGKA_00160	2
NLANBGKA_00161	227
NLANBGKA_00162	161
NLANBGKA_00163	18
NLANBGKA_00164	11
NLANBGKA_00165	90
NLANBGKA_00166	93
NLANBGKA_00167	56
NLANBGKA_00168	11
NLANBGKA_00169	133
NLANBGKA_00170	0
NLANBGKA_00171	0
NLANBGKA_00172	774
NLANBGKA_00173	5
NLANBGKA_00174	3
NLANBGKA_00175	15
NLANBGKA_00176	10
NLANBGKA_00177	2
NLANBGKA_00178	3
NLANBGKA_00179	57
NLANBGKA_00180	27
NLANBGKA_00181	41
NLANBGKA_00182	2
NLANBGKA_00183	184
NLANBGKA_00184	2
NLANBGKA_00185	1
NLANBGKA_00186	0
NLANBGKA_00187	16
NLANBGKA_00188	1
NLANBGKA_00189	0
NLANBGKA_00190	1
NLANBGKA_00191	90
NLANBGKA_00192	1
NLANBGKA_00193	0
NLANBGKA_00194	46
NLANBGKA_00195	15
NLANBGKA_00196	44
NLANBGKA_00197	182
NLANBGKA_00198	3
NLANBGKA_00199	3
NLANBGKA_00200	18
NLANBGKA_00201	37
NLANBGKA_00202	88
NLANBGKA_00203	4
NLANBGKA_00204	7
NLANBGKA_00205	1
NLANBGKA_00206	8
NLANBGKA_00207	1
NLANBGKA_00208	101
NLANBGKA_00209	37
NLANBGKA_00210	29
NLANBGKA_00211	25
NLANBGKA_00212	19
NLANBGKA_00213	91
NLANBGKA_00214	19
NLANBGKA_00215	262
NLANBGKA_00216	0
NLANBGKA_00217	159
NLANBGKA_00218	181
NLANBGKA_00219	89
NLANBGKA_00220	599
NLANBGKA_00221	657
NLANBGKA_00222	976
NLANBGKA_00223	312
NLANBGKA_00224	33
NLANBGKA_00225	2230
NLANBGKA_00226	160
NLANBGKA_00227	39
NLANBGKA_00228	56
NLANBGKA_00229	72
NLANBGKA_00230	2
NLANBGKA_00231	46
NLANBGKA_00232	37
NLANBGKA_00233	5
NLANBGKA_00234	2
NLANBGKA_00235	18
NLANBGKA_00236	0
NLANBGKA_00237	20
NLANBGKA_00238	0
NLANBGKA_00239	0
NLANBGKA_00240	1
NLANBGKA_00241	1
NLANBGKA_00242	55
NLANBGKA_00243	106
NLANBGKA_00244	2
NLANBGKA_00245	84
NLANBGKA_00246	28
NLANBGKA_00247	0
NLANBGKA_00248	4
NLANBGKA_00249	16
NLANBGKA_00250	0
NLANBGKA_00251	0
NLANBGKA_00252	0
NLANBGKA_00253	0
NLANBGKA_00254	28
NLANBGKA_00255	12
NLANBGKA_00256	39
NLANBGKA_00257	5
NLANBGKA_00258	87
NLANBGKA_00259	51
NLANBGKA_00260	48
NLANBGKA_00261	117
NLANBGKA_00262	0
NLANBGKA_00263	3
NLANBGKA_00264	0
NLANBGKA_00265	1
NLANBGKA_00266	0
NLANBGKA_00267	215
NLANBGKA_00268	97
NLANBGKA_00269	0
NLANBGKA_00274	46
NLANBGKA_00275	144
NLANBGKA_00276	258
NLANBGKA_00277	55
NLANBGKA_00278	67
NLANBGKA_00279	15
NLANBGKA_00281	16
NLANBGKA_00282	27
NLANBGKA_00283	218
NLANBGKA_00284	61
NLANBGKA_00285	145
NLANBGKA_00286	2
NLANBGKA_00287	40
NLANBGKA_00288	12
NLANBGKA_00289	30
NLANBGKA_00290	19
NLANBGKA_00291	7
NLANBGKA_00292	13
NLANBGKA_00293	22
NLANBGKA_00294	20
NLANBGKA_00295	32
NLANBGKA_00296	0
NLANBGKA_00297	94
NLANBGKA_00298	82
NLANBGKA_00299	14
NLANBGKA_00300	111
NLANBGKA_00301	18
NLANBGKA_00302	1
NLANBGKA_00303	19
NLANBGKA_00304	12
NLANBGKA_00305	9
NLANBGKA_00306	2
NLANBGKA_00307	9
NLANBGKA_00308	33
NLANBGKA_00309	135
NLANBGKA_00310	9
NLANBGKA_00311	59
NLANBGKA_00312	27
NLANBGKA_00313	44
NLANBGKA_00314	34
NLANBGKA_00315	39
NLANBGKA_00316	0
NLANBGKA_00317	0
NLANBGKA_00318	21
NLANBGKA_00319	14
NLANBGKA_00320	0
NLANBGKA_00321	4
NLANBGKA_00322	1
NLANBGKA_00323	136
NLANBGKA_00324	37
NLANBGKA_00325	24
NLANBGKA_00326	5
NLANBGKA_00327	0
NLANBGKA_00328	9
NLANBGKA_00329	36
NLANBGKA_00330	8
NLANBGKA_00331	46
NLANBGKA_00332	1
NLANBGKA_00333	0
NLANBGKA_00334	0
NLANBGKA_00335	11
NLANBGKA_00336	5
NLANBGKA_00337	2
NLANBGKA_00338	5
NLANBGKA_00339	53
NLANBGKA_00340	2
NLANBGKA_00341	87
NLANBGKA_00342	2
NLANBGKA_00343	6
NLANBGKA_00344	18
NLANBGKA_00345	7
NLANBGKA_00346	8
NLANBGKA_00347	15
NLANBGKA_00348	11
NLANBGKA_00349	22
NLANBGKA_00350	2
NLANBGKA_00351	32
NLANBGKA_00352	491
NLANBGKA_00353	0
NLANBGKA_00354	46
NLANBGKA_00355	1
NLANBGKA_00356	23
NLANBGKA_00357	7
NLANBGKA_00358	13
NLANBGKA_00359	1
NLANBGKA_00360	542
NLANBGKA_00361	12
NLANBGKA_00363	55
NLANBGKA_00364	64
NLANBGKA_00365	34
NLANBGKA_00366	17
NLANBGKA_00367	6
NLANBGKA_00368	25
NLANBGKA_00369	5
NLANBGKA_00370	2
NLANBGKA_00371	2544
NLANBGKA_00372	31
NLANBGKA_00373	22
NLANBGKA_00374	18
NLANBGKA_00375	26
NLANBGKA_00376	28
NLANBGKA_00377	33
NLANBGKA_00378	105
NLANBGKA_00379	23
NLANBGKA_00380	42
NLANBGKA_00381	3
NLANBGKA_00382	137
NLANBGKA_00383	118
NLANBGKA_00384	3
NLANBGKA_00385	0
NLANBGKA_00386	0
NLANBGKA_00387	5
NLANBGKA_00388	20
NLANBGKA_00389	24
NLANBGKA_00390	45
NLANBGKA_00391	254
NLANBGKA_00392	135
NLANBGKA_00393	0
NLANBGKA_00394	1
NLANBGKA_00395	32
NLANBGKA_00396	67
NLANBGKA_00397	23
NLANBGKA_00398	179
NLANBGKA_00399	0
NLANBGKA_00400	12
NLANBGKA_00401	77
NLANBGKA_00402	96
NLANBGKA_00403	69
NLANBGKA_00404	46
NLANBGKA_00405	124
NLANBGKA_00406	12
NLANBGKA_00407	24
NLANBGKA_00408	24
NLANBGKA_00409	213
NLANBGKA_00410	0
NLANBGKA_00411	3
NLANBGKA_00412	44
NLANBGKA_00413	13
NLANBGKA_00414	4
NLANBGKA_00415	0
NLANBGKA_00416	2
NLANBGKA_00417	56
NLANBGKA_00418	28
NLANBGKA_00419	12
NLANBGKA_00420	15
NLANBGKA_00421	0
NLANBGKA_00422	127
NLANBGKA_00423	322
NLANBGKA_00424	8
NLANBGKA_00425	5
NLANBGKA_00426	7
NLANBGKA_00427	1
NLANBGKA_00428	2
NLANBGKA_00429	0
NLANBGKA_00430	10
NLANBGKA_00431	1
NLANBGKA_00432	4
NLANBGKA_00433	3
NLANBGKA_00434	25
NLANBGKA_00435	2
