ID	sample_2A
NLANBGKA_00001	0
NLANBGKA_00002	0
NLANBGKA_00003	0
NLANBGKA_00004	0
NLANBGKA_00005	0
NLANBGKA_00006	0
NLANBGKA_00007	0
NLANBGKA_00008	0
NLANBGKA_00009	0
NLANBGKA_00010	0
NLANBGKA_00011	0
NLANBGKA_00012	0
NLANBGKA_00013	0
NLANBGKA_00014	1
NLANBGKA_00015	0
NLANBGKA_00016	0
NLANBGKA_00017	0
NLANBGKA_00018	0
NLANBGKA_00019	0
NLANBGKA_00020	0
NLANBGKA_00021	0
NLANBGKA_00022	0
NLANBGKA_00023	0
NLANBGKA_00024	0
NLANBGKA_00025	0
NLANBGKA_00026	0
NLANBGKA_00027	0
NLANBGKA_00028	0
NLANBGKA_00029	0
NLANBGKA_00030	0
NLANBGKA_00031	0
NLANBGKA_00032	0
NLANBGKA_00035	0
NLANBGKA_00036	0
NLANBGKA_00037	0
NLANBGKA_00038	0
NLANBGKA_00039	0
NLANBGKA_00040	0
NLANBGKA_00041	0
NLANBGKA_00042	0
NLANBGKA_00043	0
NLANBGKA_00044	0
NLANBGKA_00045	0
NLANBGKA_00046	0
NLANBGKA_00047	0
NLANBGKA_00048	0
NLANBGKA_00049	0
NLANBGKA_00050	0
NLANBGKA_00051	0
NLANBGKA_00052	0
NLANBGKA_00053	0
NLANBGKA_00054	0
NLANBGKA_00055	0
NLANBGKA_00056	0
NLANBGKA_00057	0
NLANBGKA_00058	0
NLANBGKA_00059	0
NLANBGKA_00060	0
NLANBGKA_00061	0
NLANBGKA_00062	0
NLANBGKA_00063	0
NLANBGKA_00064	0
NLANBGKA_00065	0
NLANBGKA_00066	0
NLANBGKA_00067	0
NLANBGKA_00068	0
NLANBGKA_00069	0
NLANBGKA_00070	0
NLANBGKA_00071	0
NLANBGKA_00072	0
NLANBGKA_00073	0
NLANBGKA_00074	0
NLANBGKA_00075	0
NLANBGKA_00076	0
NLANBGKA_00077	0
NLANBGKA_00078	0
NLANBGKA_00079	0
NLANBGKA_00080	0
NLANBGKA_00081	0
NLANBGKA_00082	0
NLANBGKA_00083	0
NLANBGKA_00084	0
NLANBGKA_00085	0
NLANBGKA_00086	0
NLANBGKA_00087	1
NLANBGKA_00088	0
NLANBGKA_00089	0
NLANBGKA_00090	0
NLANBGKA_00091	0
NLANBGKA_00092	0
NLANBGKA_00093	0
NLANBGKA_00094	0
NLANBGKA_00095	0
NLANBGKA_00096	0
NLANBGKA_00097	0
NLANBGKA_00098	0
NLANBGKA_00099	0
NLANBGKA_00100	0
NLANBGKA_00101	0
NLANBGKA_00102	0
NLANBGKA_00103	0
NLANBGKA_00104	0
NLANBGKA_00105	0
NLANBGKA_00106	0
NLANBGKA_00107	0
NLANBGKA_00108	0
NLANBGKA_00109	0
NLANBGKA_00110	0
NLANBGKA_00111	0
