ID	sample_1B
NLANBGKA_00001	396
NLANBGKA_00002	96
NLANBGKA_00003	221
NLANBGKA_00004	275
NLANBGKA_00005	1003
NLANBGKA_00006	0
NLANBGKA_00007	86
NLANBGKA_00008	38
NLANBGKA_00009	0
NLANBGKA_00010	1
NLANBGKA_00011	1
NLANBGKA_00012	1274
NLANBGKA_00013	300
NLANBGKA_00014	13813
NLANBGKA_00015	7624
NLANBGKA_00016	341
NLANBGKA_00017	904
NLANBGKA_00018	1060
NLANBGKA_00019	863
NLANBGKA_00020	1226
NLANBGKA_00021	0
NLANBGKA_00022	0
NLANBGKA_00023	20
NLANBGKA_00024	2
NLANBGKA_00025	0
NLANBGKA_00026	0
NLANBGKA_00027	1480
NLANBGKA_00028	6
NLANBGKA_00029	2570
NLANBGKA_00030	677
NLANBGKA_00031	472
NLANBGKA_00032	251
NLANBGKA_00035	286
NLANBGKA_00036	297
NLANBGKA_00037	130
NLANBGKA_00038	1529
NLANBGKA_00039	1128
NLANBGKA_00040	542
NLANBGKA_00041	147
NLANBGKA_00042	786
NLANBGKA_00043	64
NLANBGKA_00044	575
NLANBGKA_00045	2640
NLANBGKA_00046	643
NLANBGKA_00047	500
NLANBGKA_00048	820
NLANBGKA_00049	2035
NLANBGKA_00050	1844
NLANBGKA_00051	81
NLANBGKA_00052	157
NLANBGKA_00053	93
NLANBGKA_00054	110
NLANBGKA_00055	52
NLANBGKA_00056	0
NLANBGKA_00057	1
NLANBGKA_00058	3
NLANBGKA_00059	3
NLANBGKA_00060	301
NLANBGKA_00061	224
NLANBGKA_00062	974
NLANBGKA_00063	385
NLANBGKA_00064	392
NLANBGKA_00065	44
NLANBGKA_00066	21
NLANBGKA_00067	1088
NLANBGKA_00068	1810
NLANBGKA_00069	1181
NLANBGKA_00070	585
NLANBGKA_00071	422
NLANBGKA_00072	278
NLANBGKA_00073	75
NLANBGKA_00074	36
NLANBGKA_00075	2738
NLANBGKA_00076	793
NLANBGKA_00077	398
NLANBGKA_00078	677
NLANBGKA_00079	817
NLANBGKA_00080	1457
NLANBGKA_00081	732
NLANBGKA_00082	821
NLANBGKA_00083	1616
NLANBGKA_00084	89
NLANBGKA_00085	3
NLANBGKA_00086	8655
NLANBGKA_00087	29583
NLANBGKA_00088	1673
NLANBGKA_00089	174
NLANBGKA_00090	135
NLANBGKA_00091	176
NLANBGKA_00092	30
NLANBGKA_00093	1897
NLANBGKA_00094	363
NLANBGKA_00095	2
NLANBGKA_00096	57
NLANBGKA_00097	11
NLANBGKA_00098	599
NLANBGKA_00099	59
NLANBGKA_00100	334
NLANBGKA_00101	1537
NLANBGKA_00102	8376
NLANBGKA_00103	799
NLANBGKA_00104	146
NLANBGKA_00105	124
NLANBGKA_00106	15
NLANBGKA_00107	3
NLANBGKA_00108	91
NLANBGKA_00109	12
NLANBGKA_00110	13
NLANBGKA_00111	424
NLANBGKA_00112	380
NLANBGKA_00113	4381
NLANBGKA_00114	1425
NLANBGKA_00115	2683
NLANBGKA_00116	3442
NLANBGKA_00117	400
NLANBGKA_00118	1232
NLANBGKA_00119	819
NLANBGKA_00120	32
NLANBGKA_00123	5620
NLANBGKA_00124	278
NLANBGKA_00125	914
NLANBGKA_00126	51
NLANBGKA_00127	1050
NLANBGKA_00128	9189
NLANBGKA_00129	140
NLANBGKA_00130	394
NLANBGKA_00131	1545
NLANBGKA_00132	352
NLANBGKA_00133	1514
NLANBGKA_00134	159
NLANBGKA_00135	5158
NLANBGKA_00136	5560
NLANBGKA_00137	3484
NLANBGKA_00138	3188
NLANBGKA_00139	657
NLANBGKA_00140	181
NLANBGKA_00141	4487
NLANBGKA_00142	1486
NLANBGKA_00143	685
NLANBGKA_00144	467
NLANBGKA_00145	38
NLANBGKA_00146	688
NLANBGKA_00147	9
NLANBGKA_00148	1552
NLANBGKA_00149	1854
NLANBGKA_00150	279
NLANBGKA_00151	1181
NLANBGKA_00152	68
NLANBGKA_00153	834
NLANBGKA_00154	368
NLANBGKA_00155	655
NLANBGKA_00156	353
NLANBGKA_00157	446
NLANBGKA_00158	1269
NLANBGKA_00159	422
NLANBGKA_00160	18
NLANBGKA_00161	2006
NLANBGKA_00162	634
NLANBGKA_00163	305
NLANBGKA_00164	143
NLANBGKA_00165	1145
NLANBGKA_00166	1247
NLANBGKA_00167	799
NLANBGKA_00168	173
NLANBGKA_00169	3385
NLANBGKA_00170	5
NLANBGKA_00171	4
NLANBGKA_00172	10286
NLANBGKA_00173	111
NLANBGKA_00174	63
NLANBGKA_00175	251
NLANBGKA_00176	234
NLANBGKA_00177	34
NLANBGKA_00178	103
NLANBGKA_00179	969
NLANBGKA_00180	268
NLANBGKA_00181	583
NLANBGKA_00182	60
NLANBGKA_00183	4805
NLANBGKA_00184	80
NLANBGKA_00185	10
NLANBGKA_00186	1
NLANBGKA_00187	191
NLANBGKA_00188	13
NLANBGKA_00189	0
NLANBGKA_00190	5
NLANBGKA_00191	857
NLANBGKA_00192	11
NLANBGKA_00193	0
NLANBGKA_00194	631
NLANBGKA_00195	275
NLANBGKA_00196	442
NLANBGKA_00197	3414
NLANBGKA_00198	57
NLANBGKA_00199	61
NLANBGKA_00200	539
NLANBGKA_00201	941
NLANBGKA_00202	2167
NLANBGKA_00203	130
NLANBGKA_00204	108
NLANBGKA_00205	47
NLANBGKA_00206	42
NLANBGKA_00207	9
NLANBGKA_00208	1472
NLANBGKA_00209	485
NLANBGKA_00210	282
NLANBGKA_00211	260
NLANBGKA_00212	265
NLANBGKA_00213	2473
NLANBGKA_00214	435
NLANBGKA_00215	4473
NLANBGKA_00216	47
NLANBGKA_00217	2567
NLANBGKA_00218	3954
NLANBGKA_00219	2034
NLANBGKA_00220	11435
NLANBGKA_00221	12487
NLANBGKA_00222	18299
NLANBGKA_00223	6239
NLANBGKA_00224	382
NLANBGKA_00225	24408
NLANBGKA_00226	1976
NLANBGKA_00227	1750
NLANBGKA_00228	2081
NLANBGKA_00229	3364
NLANBGKA_00230	77
NLANBGKA_00231	1168
NLANBGKA_00232	490
NLANBGKA_00233	57
NLANBGKA_00234	64
NLANBGKA_00235	290
NLANBGKA_00236	8
NLANBGKA_00237	409
NLANBGKA_00238	25
NLANBGKA_00239	0
NLANBGKA_00240	25
NLANBGKA_00241	61
NLANBGKA_00242	1141
NLANBGKA_00243	2429
NLANBGKA_00244	35
NLANBGKA_00245	1207
NLANBGKA_00246	46
NLANBGKA_00247	1
NLANBGKA_00248	10
