ID	sample_5C
NLANBGKA_00001	87
NLANBGKA_00002	25
NLANBGKA_00003	54
NLANBGKA_00004	67
NLANBGKA_00005	313
NLANBGKA_00006	0
NLANBGKA_00007	10
NLANBGKA_00008	3
NLANBGKA_00009	0
NLANBGKA_00010	0
NLANBGKA_00011	1
NLANBGKA_00012	213
NLANBGKA_00013	45
NLANBGKA_00014	1598
NLANBGKA_00015	1164
NLANBGKA_00016	47
NLANBGKA_00017	159
NLANBGKA_00018	208
NLANBGKA_00019	149
NLANBGKA_00020	192
NLANBGKA_00021	0
NLANBGKA_00022	0
NLANBGKA_00023	0
NLANBGKA_00024	0
NLANBGKA_00025	0
NLANBGKA_00026	0
NLANBGKA_00027	385
NLANBGKA_00028	3
NLANBGKA_00029	292
NLANBGKA_00030	69
NLANBGKA_00031	54
NLANBGKA_00032	14
NLANBGKA_00035	34
NLANBGKA_00036	38
NLANBGKA_00037	9
NLANBGKA_00038	215
NLANBGKA_00039	131
NLANBGKA_00040	59
NLANBGKA_00041	11
NLANBGKA_00042	67
NLANBGKA_00043	14
NLANBGKA_00044	107
NLANBGKA_00045	300
NLANBGKA_00046	81
NLANBGKA_00047	73
NLANBGKA_00048	230
NLANBGKA_00049	456
NLANBGKA_00050	450
NLANBGKA_00051	38
NLANBGKA_00052	72
NLANBGKA_00053	45
NLANBGKA_00054	66
NLANBGKA_00055	60
NLANBGKA_00056	0
NLANBGKA_00057	0
NLANBGKA_00058	1
NLANBGKA_00059	1
NLANBGKA_00060	39
NLANBGKA_00061	43
NLANBGKA_00062	102
NLANBGKA_00063	42
NLANBGKA_00064	50
NLANBGKA_00065	5
NLANBGKA_00066	9
NLANBGKA_00067	351
NLANBGKA_00068	289
NLANBGKA_00069	348
NLANBGKA_00070	37
NLANBGKA_00071	44
NLANBGKA_00072	47
NLANBGKA_00073	10
NLANBGKA_00074	11
NLANBGKA_00075	252
NLANBGKA_00076	56
NLANBGKA_00077	15
NLANBGKA_00078	105
NLANBGKA_00079	75
NLANBGKA_00080	121
NLANBGKA_00081	81
NLANBGKA_00082	174
NLANBGKA_00083	214
NLANBGKA_00084	17
NLANBGKA_00085	1
NLANBGKA_00086	2063
NLANBGKA_00087	4745
NLANBGKA_00088	297
NLANBGKA_00089	47
NLANBGKA_00090	20
NLANBGKA_00091	31
NLANBGKA_00092	6
NLANBGKA_00093	477
NLANBGKA_00094	87
NLANBGKA_00095	0
NLANBGKA_00096	6
NLANBGKA_00097	2
NLANBGKA_00098	100
NLANBGKA_00099	8
NLANBGKA_00100	34
NLANBGKA_00101	239
NLANBGKA_00102	3402
NLANBGKA_00103	124
NLANBGKA_00104	33
NLANBGKA_00105	9
NLANBGKA_00106	3
NLANBGKA_00107	2
NLANBGKA_00108	16
NLANBGKA_00109	4
NLANBGKA_00110	1
NLANBGKA_00111	90
NLANBGKA_00112	15
NLANBGKA_00113	532
NLANBGKA_00114	145
NLANBGKA_00115	349
NLANBGKA_00116	364
NLANBGKA_00117	55
NLANBGKA_00118	422
NLANBGKA_00119	202
NLANBGKA_00120	12
NLANBGKA_00123	834
NLANBGKA_00124	38
NLANBGKA_00125	123
NLANBGKA_00126	8
NLANBGKA_00127	121
NLANBGKA_00128	1028
NLANBGKA_00129	75
NLANBGKA_00130	68
NLANBGKA_00131	182
NLANBGKA_00132	73
NLANBGKA_00133	298
NLANBGKA_00134	35
NLANBGKA_00135	809
NLANBGKA_00136	727
NLANBGKA_00137	468
NLANBGKA_00138	477
NLANBGKA_00139	122
NLANBGKA_00140	63
NLANBGKA_00141	726
NLANBGKA_00142	223
NLANBGKA_00143	178
NLANBGKA_00144	150
NLANBGKA_00145	22
NLANBGKA_00146	159
NLANBGKA_00147	4
NLANBGKA_00148	270
NLANBGKA_00149	195
NLANBGKA_00150	53
NLANBGKA_00151	228
NLANBGKA_00152	18
NLANBGKA_00153	249
NLANBGKA_00154	79
NLANBGKA_00155	151
NLANBGKA_00156	64
NLANBGKA_00157	61
NLANBGKA_00158	168
NLANBGKA_00159	62
NLANBGKA_00160	1
NLANBGKA_00161	589
NLANBGKA_00162	305
NLANBGKA_00163	35
NLANBGKA_00164	24
NLANBGKA_00165	178
NLANBGKA_00166	198
NLANBGKA_00167	143
NLANBGKA_00168	28
NLANBGKA_00169	447
NLANBGKA_00170	1
NLANBGKA_00171	0
NLANBGKA_00172	1685
NLANBGKA_00173	25
NLANBGKA_00174	2
NLANBGKA_00175	22
NLANBGKA_00176	31
NLANBGKA_00177	6
NLANBGKA_00178	11
NLANBGKA_00179	206
NLANBGKA_00180	116
NLANBGKA_00181	140
NLANBGKA_00182	15
NLANBGKA_00183	580
NLANBGKA_00184	10
NLANBGKA_00185	7
NLANBGKA_00186	2
NLANBGKA_00187	70
NLANBGKA_00188	4
NLANBGKA_00189	0
NLANBGKA_00190	0
NLANBGKA_00191	246
NLANBGKA_00192	11
NLANBGKA_00193	0
NLANBGKA_00194	132
NLANBGKA_00195	35
NLANBGKA_00196	134
NLANBGKA_00197	465
NLANBGKA_00198	7
NLANBGKA_00199	9
NLANBGKA_00200	106
NLANBGKA_00201	140
NLANBGKA_00202	256
NLANBGKA_00203	16
NLANBGKA_00204	12
NLANBGKA_00205	7
NLANBGKA_00206	19
NLANBGKA_00207	7
NLANBGKA_00208	246
NLANBGKA_00209	91
NLANBGKA_00210	73
NLANBGKA_00211	96
NLANBGKA_00212	60
NLANBGKA_00213	264
NLANBGKA_00214	79
NLANBGKA_00215	759
NLANBGKA_00216	5
NLANBGKA_00217	499
NLANBGKA_00218	670
NLANBGKA_00219	358
NLANBGKA_00220	2314
NLANBGKA_00221	1712
NLANBGKA_00222	2869
NLANBGKA_00223	812
NLANBGKA_00224	52
NLANBGKA_00225	8961
NLANBGKA_00226	665
NLANBGKA_00227	227
NLANBGKA_00228	318
NLANBGKA_00229	283
NLANBGKA_00230	8
NLANBGKA_00231	222
NLANBGKA_00232	89
NLANBGKA_00233	16
NLANBGKA_00234	28
NLANBGKA_00235	73
NLANBGKA_00236	6
NLANBGKA_00237	74
NLANBGKA_00238	3
NLANBGKA_00239	0
NLANBGKA_00240	1
NLANBGKA_00241	3
NLANBGKA_00242	231
NLANBGKA_00243	364
NLANBGKA_00244	2
NLANBGKA_00245	149
NLANBGKA_00246	59
NLANBGKA_00247	0
NLANBGKA_00248	0
NLANBGKA_00249	98
NLANBGKA_00250	6
NLANBGKA_00251	6
NLANBGKA_00252	1
NLANBGKA_00253	0
NLANBGKA_00254	76
NLANBGKA_00255	28
NLANBGKA_00256	119
NLANBGKA_00257	183
NLANBGKA_00258	828
NLANBGKA_00259	450
NLANBGKA_00260	432
NLANBGKA_00261	1002
NLANBGKA_00262	59
NLANBGKA_00263	22
NLANBGKA_00264	25
NLANBGKA_00265	16
NLANBGKA_00266	2
NLANBGKA_00267	783
NLANBGKA_00268	318
NLANBGKA_00269	2
NLANBGKA_00274	134
NLANBGKA_00275	260
NLANBGKA_00276	670
NLANBGKA_00277	147
NLANBGKA_00278	172
NLANBGKA_00279	48
NLANBGKA_00281	47
NLANBGKA_00282	92
NLANBGKA_00283	708
NLANBGKA_00284	251
NLANBGKA_00285	474
NLANBGKA_00286	1
NLANBGKA_00287	173
NLANBGKA_00288	83
NLANBGKA_00289	189
NLANBGKA_00290	57
NLANBGKA_00291	15
NLANBGKA_00292	25
NLANBGKA_00293	68
NLANBGKA_00294	49
NLANBGKA_00295	93
NLANBGKA_00296	2
NLANBGKA_00297	356
NLANBGKA_00298	179
NLANBGKA_00299	53
NLANBGKA_00300	251
NLANBGKA_00301	55
NLANBGKA_00302	9
NLANBGKA_00303	56
NLANBGKA_00304	47
NLANBGKA_00305	41
NLANBGKA_00306	6
NLANBGKA_00307	26
NLANBGKA_00308	102
NLANBGKA_00309	370
NLANBGKA_00310	11
NLANBGKA_00311	95
NLANBGKA_00312	59
NLANBGKA_00313	109
NLANBGKA_00314	65
NLANBGKA_00315	57
NLANBGKA_00316	3
NLANBGKA_00317	0
NLANBGKA_00318	69
NLANBGKA_00319	50
NLANBGKA_00320	1
NLANBGKA_00321	23
NLANBGKA_00322	1
NLANBGKA_00323	211
NLANBGKA_00324	89
NLANBGKA_00325	55
NLANBGKA_00326	15
NLANBGKA_00327	4
NLANBGKA_00328	34
NLANBGKA_00329	78
NLANBGKA_00330	16
NLANBGKA_00331	168
NLANBGKA_00332	1
NLANBGKA_00333	0
NLANBGKA_00334	0
NLANBGKA_00335	27
NLANBGKA_00336	19
NLANBGKA_00337	4
NLANBGKA_00338	5
NLANBGKA_00339	134
NLANBGKA_00340	4
NLANBGKA_00341	167
NLANBGKA_00342	21
NLANBGKA_00343	15
NLANBGKA_00344	38
NLANBGKA_00345	5
NLANBGKA_00346	20
NLANBGKA_00347	37
NLANBGKA_00348	18
NLANBGKA_00349	32
NLANBGKA_00350	3
