ID	sample_4B
NLANBGKA_00001	64
NLANBGKA_00002	15
NLANBGKA_00003	25
NLANBGKA_00004	29
NLANBGKA_00005	166
NLANBGKA_00006	0
NLANBGKA_00007	7
NLANBGKA_00008	3
NLANBGKA_00009	0
NLANBGKA_00010	0
NLANBGKA_00011	0
NLANBGKA_00012	69
NLANBGKA_00013	24
NLANBGKA_00014	818
NLANBGKA_00015	527
NLANBGKA_00016	22
NLANBGKA_00017	56
NLANBGKA_00018	84
NLANBGKA_00019	54
NLANBGKA_00020	90
NLANBGKA_00021	0
NLANBGKA_00022	0
NLANBGKA_00023	1
NLANBGKA_00024	0
NLANBGKA_00025	0
NLANBGKA_00026	0
NLANBGKA_00027	102
NLANBGKA_00028	1
NLANBGKA_00029	172
NLANBGKA_00030	68
NLANBGKA_00031	27
NLANBGKA_00032	16
NLANBGKA_00035	16
NLANBGKA_00036	39
NLANBGKA_00037	6
NLANBGKA_00038	92
NLANBGKA_00039	73
NLANBGKA_00040	40
NLANBGKA_00041	11
NLANBGKA_00042	63
NLANBGKA_00043	5
NLANBGKA_00044	32
NLANBGKA_00045	206
NLANBGKA_00046	47
NLANBGKA_00047	45
NLANBGKA_00048	78
NLANBGKA_00049	131
NLANBGKA_00050	129
NLANBGKA_00051	10
NLANBGKA_00052	15
NLANBGKA_00053	12
NLANBGKA_00054	12
NLANBGKA_00055	5
NLANBGKA_00056	0
NLANBGKA_00057	0
NLANBGKA_00058	0
NLANBGKA_00059	0
NLANBGKA_00060	21
NLANBGKA_00061	23
NLANBGKA_00062	57
NLANBGKA_00063	17
NLANBGKA_00064	18
NLANBGKA_00065	5
NLANBGKA_00066	3
NLANBGKA_00067	80
NLANBGKA_00068	118
NLANBGKA_00069	74
NLANBGKA_00070	32
NLANBGKA_00071	27
NLANBGKA_00072	15
NLANBGKA_00073	1
NLANBGKA_00074	4
NLANBGKA_00075	175
NLANBGKA_00076	37
NLANBGKA_00077	21
NLANBGKA_00078	32
NLANBGKA_00079	52
NLANBGKA_00080	121
NLANBGKA_00081	66
NLANBGKA_00082	54
NLANBGKA_00083	117
NLANBGKA_00084	6
NLANBGKA_00085	1
NLANBGKA_00086	599
NLANBGKA_00087	1660
NLANBGKA_00088	118
NLANBGKA_00089	21
NLANBGKA_00090	9
NLANBGKA_00091	9
NLANBGKA_00092	2
NLANBGKA_00093	165
NLANBGKA_00094	28
NLANBGKA_00095	0
NLANBGKA_00096	4
NLANBGKA_00097	1
NLANBGKA_00098	39
NLANBGKA_00099	3
NLANBGKA_00100	30
NLANBGKA_00101	119
NLANBGKA_00102	675
NLANBGKA_00103	55
NLANBGKA_00104	13
NLANBGKA_00105	18
NLANBGKA_00106	1
NLANBGKA_00107	0
NLANBGKA_00108	14
NLANBGKA_00109	0
NLANBGKA_00110	1
NLANBGKA_00111	21
NLANBGKA_00112	14
NLANBGKA_00113	285
NLANBGKA_00114	94
NLANBGKA_00115	143
NLANBGKA_00116	198
NLANBGKA_00117	30
NLANBGKA_00118	105
NLANBGKA_00119	70
NLANBGKA_00120	3
NLANBGKA_00123	399
NLANBGKA_00124	18
NLANBGKA_00125	44
NLANBGKA_00126	6
NLANBGKA_00127	63
NLANBGKA_00128	720
NLANBGKA_00129	14
NLANBGKA_00130	23
NLANBGKA_00131	98
NLANBGKA_00132	45
NLANBGKA_00133	117
NLANBGKA_00134	17
NLANBGKA_00135	418
NLANBGKA_00136	336
NLANBGKA_00137	235
NLANBGKA_00138	230
NLANBGKA_00139	66
NLANBGKA_00140	18
NLANBGKA_00141	373
NLANBGKA_00142	81
NLANBGKA_00143	46
NLANBGKA_00144	37
NLANBGKA_00145	0
NLANBGKA_00146	65
NLANBGKA_00147	0
NLANBGKA_00148	116
NLANBGKA_00149	118
NLANBGKA_00150	17
NLANBGKA_00151	76
NLANBGKA_00152	6
NLANBGKA_00153	73
NLANBGKA_00154	26
NLANBGKA_00155	44
NLANBGKA_00156	26
NLANBGKA_00157	42
NLANBGKA_00158	71
NLANBGKA_00159	25
NLANBGKA_00160	3
NLANBGKA_00161	200
NLANBGKA_00162	53
NLANBGKA_00163	22
NLANBGKA_00164	8
NLANBGKA_00165	79
NLANBGKA_00166	97
NLANBGKA_00167	74
NLANBGKA_00168	10
NLANBGKA_00169	199
NLANBGKA_00170	0
NLANBGKA_00171	0
NLANBGKA_00172	718
NLANBGKA_00173	7
NLANBGKA_00174	5
NLANBGKA_00175	15
NLANBGKA_00176	15
NLANBGKA_00177	2
NLANBGKA_00178	9
NLANBGKA_00179	57
NLANBGKA_00180	27
