ID	sample_3B
NLANBGKA_00001	225
NLANBGKA_00002	66
NLANBGKA_00003	165
NLANBGKA_00004	216
NLANBGKA_00005	595
NLANBGKA_00006	0
NLANBGKA_00007	18
NLANBGKA_00008	6
NLANBGKA_00009	0
NLANBGKA_00010	0
NLANBGKA_00011	0
NLANBGKA_00012	348
NLANBGKA_00013	81
NLANBGKA_00014	3613
NLANBGKA_00015	2110
NLANBGKA_00016	79
NLANBGKA_00017	249
NLANBGKA_00018	244
NLANBGKA_00019	233
NLANBGKA_00020	275
NLANBGKA_00021	0
NLANBGKA_00022	0
NLANBGKA_00023	2
NLANBGKA_00024	1
NLANBGKA_00025	0
NLANBGKA_00026	0
NLANBGKA_00027	499
NLANBGKA_00028	1
NLANBGKA_00029	562
NLANBGKA_00030	199
NLANBGKA_00031	146
NLANBGKA_00032	49
NLANBGKA_00035	97
NLANBGKA_00036	88
NLANBGKA_00037	35
NLANBGKA_00038	432
NLANBGKA_00039	286
NLANBGKA_00040	139
NLANBGKA_00041	44
NLANBGKA_00042	188
NLANBGKA_00043	18
NLANBGKA_00044	145
NLANBGKA_00045	667
NLANBGKA_00046	146
NLANBGKA_00047	126
NLANBGKA_00048	251
NLANBGKA_00049	533
NLANBGKA_00050	488
NLANBGKA_00051	45
NLANBGKA_00052	84
NLANBGKA_00053	62
NLANBGKA_00054	54
NLANBGKA_00055	34
NLANBGKA_00056	0
NLANBGKA_00057	0
NLANBGKA_00058	1
NLANBGKA_00059	2
NLANBGKA_00060	85
NLANBGKA_00061	73
NLANBGKA_00062	248
NLANBGKA_00063	100
NLANBGKA_00064	83
NLANBGKA_00065	8
NLANBGKA_00066	9
NLANBGKA_00067	305
NLANBGKA_00068	481
NLANBGKA_00069	303
NLANBGKA_00070	112
NLANBGKA_00071	111
NLANBGKA_00072	74
NLANBGKA_00073	18
NLANBGKA_00074	15
NLANBGKA_00075	657
NLANBGKA_00076	190
NLANBGKA_00077	90
NLANBGKA_00078	191
NLANBGKA_00079	188
NLANBGKA_00080	367
NLANBGKA_00081	181
NLANBGKA_00082	205
NLANBGKA_00083	329
NLANBGKA_00084	23
NLANBGKA_00085	0
NLANBGKA_00086	2388
NLANBGKA_00087	7098
NLANBGKA_00088	471
NLANBGKA_00089	64
NLANBGKA_00090	27
NLANBGKA_00091	72
NLANBGKA_00092	9
NLANBGKA_00093	529
NLANBGKA_00094	117
NLANBGKA_00095	0
NLANBGKA_00096	15
NLANBGKA_00097	3
NLANBGKA_00098	137
NLANBGKA_00099	17
NLANBGKA_00100	76
NLANBGKA_00101	401
NLANBGKA_00102	2145
NLANBGKA_00103	233
NLANBGKA_00104	36
NLANBGKA_00105	53
NLANBGKA_00106	4
