ID	sample_5B
NLANBGKA_00001	118
NLANBGKA_00002	27
NLANBGKA_00003	88
NLANBGKA_00004	107
NLANBGKA_00005	422
NLANBGKA_00006	0
NLANBGKA_00007	17
NLANBGKA_00008	4
NLANBGKA_00009	0
NLANBGKA_00010	0
NLANBGKA_00011	1
NLANBGKA_00012	206
NLANBGKA_00013	41
NLANBGKA_00014	1560
NLANBGKA_00015	1126
NLANBGKA_00016	43
NLANBGKA_00017	136
NLANBGKA_00018	147
NLANBGKA_00019	98
NLANBGKA_00020	195
NLANBGKA_00021	0
NLANBGKA_00022	0
NLANBGKA_00023	2
NLANBGKA_00024	0
NLANBGKA_00025	0
NLANBGKA_00026	0
NLANBGKA_00027	220
NLANBGKA_00028	0
NLANBGKA_00029	256
NLANBGKA_00030	89
NLANBGKA_00031	64
NLANBGKA_00032	20
NLANBGKA_00035	41
NLANBGKA_00036	37
NLANBGKA_00037	9
NLANBGKA_00038	209
NLANBGKA_00039	120
NLANBGKA_00040	53
NLANBGKA_00041	23
NLANBGKA_00042	66
NLANBGKA_00043	12
NLANBGKA_00044	125
NLANBGKA_00045	427
NLANBGKA_00046	67
NLANBGKA_00047	69
NLANBGKA_00048	189
NLANBGKA_00049	357
NLANBGKA_00050	257
NLANBGKA_00051	47
NLANBGKA_00052	66
NLANBGKA_00053	39
NLANBGKA_00054	69
NLANBGKA_00055	37
NLANBGKA_00056	0
NLANBGKA_00057	3
NLANBGKA_00058	5
NLANBGKA_00059	0
NLANBGKA_00060	35
NLANBGKA_00061	32
NLANBGKA_00062	132
NLANBGKA_00063	38
NLANBGKA_00064	35
NLANBGKA_00065	8
NLANBGKA_00066	13
NLANBGKA_00067	170
NLANBGKA_00068	229
NLANBGKA_00069	198
NLANBGKA_00070	51
NLANBGKA_00071	48
NLANBGKA_00072	40
NLANBGKA_00073	9
NLANBGKA_00074	10
NLANBGKA_00075	242
NLANBGKA_00076	89
NLANBGKA_00077	42
NLANBGKA_00078	95
NLANBGKA_00079	65
NLANBGKA_00080	142
NLANBGKA_00081	94
