ID	sample_3A
NLANBGKA_00001	25
NLANBGKA_00002	5
NLANBGKA_00003	19
NLANBGKA_00004	17
NLANBGKA_00005	59
NLANBGKA_00006	0
NLANBGKA_00007	6
NLANBGKA_00008	2
NLANBGKA_00009	0
NLANBGKA_00010	0
NLANBGKA_00011	0
NLANBGKA_00012	42
NLANBGKA_00013	11
NLANBGKA_00014	436
NLANBGKA_00015	273
NLANBGKA_00016	11
NLANBGKA_00017	41
NLANBGKA_00018	31
NLANBGKA_00019	33
NLANBGKA_00020	34
NLANBGKA_00021	0
NLANBGKA_00022	0
NLANBGKA_00023	0
NLANBGKA_00024	0
NLANBGKA_00025	0
NLANBGKA_00026	0
NLANBGKA_00027	55
NLANBGKA_00028	2
NLANBGKA_00029	64
NLANBGKA_00030	12
NLANBGKA_00031	21
NLANBGKA_00032	7
NLANBGKA_00035	11
NLANBGKA_00036	7
NLANBGKA_00037	3
NLANBGKA_00038	55
NLANBGKA_00039	24
NLANBGKA_00040	20
NLANBGKA_00041	4
NLANBGKA_00042	22
NLANBGKA_00043	0
NLANBGKA_00044	19
NLANBGKA_00045	105
NLANBGKA_00046	28
NLANBGKA_00047	11
NLANBGKA_00048	37
NLANBGKA_00049	63
NLANBGKA_00050	54
NLANBGKA_00051	10
NLANBGKA_00052	15
NLANBGKA_00053	9
NLANBGKA_00054	20
NLANBGKA_00055	9
NLANBGKA_00056	0
NLANBGKA_00057	1
NLANBGKA_00058	0
NLANBGKA_00059	0
NLANBGKA_00060	10
NLANBGKA_00061	6
NLANBGKA_00062	30
NLANBGKA_00063	12
NLANBGKA_00064	8
NLANBGKA_00065	2
NLANBGKA_00066	1
NLANBGKA_00067	31
NLANBGKA_00068	52
NLANBGKA_00069	31
NLANBGKA_00070	12
NLANBGKA_00071	14
NLANBGKA_00072	13
NLANBGKA_00073	0
NLANBGKA_00074	1
NLANBGKA_00075	86
NLANBGKA_00076	31
NLANBGKA_00077	9
NLANBGKA_00078	14
NLANBGKA_00079	22
NLANBGKA_00080	36
NLANBGKA_00081	23
NLANBGKA_00082	17
NLANBGKA_00083	50
NLANBGKA_00084	7
NLANBGKA_00085	0
NLANBGKA_00086	293
NLANBGKA_00087	845
NLANBGKA_00088	61
NLANBGKA_00089	22
NLANBGKA_00090	6
NLANBGKA_00091	15
NLANBGKA_00092	1
NLANBGKA_00093	59
NLANBGKA_00094	14
NLANBGKA_00095	0
NLANBGKA_00096	3
NLANBGKA_00097	1
NLANBGKA_00098	16
NLANBGKA_00099	2
NLANBGKA_00100	11
NLANBGKA_00101	51
NLANBGKA_00102	240
NLANBGKA_00103	20
NLANBGKA_00104	7
NLANBGKA_00105	10
NLANBGKA_00106	2
NLANBGKA_00107	1
NLANBGKA_00108	6
NLANBGKA_00109	1
NLANBGKA_00110	1
NLANBGKA_00111	9
NLANBGKA_00112	5
NLANBGKA_00113	107
NLANBGKA_00114	39
NLANBGKA_00115	65
NLANBGKA_00116	100
NLANBGKA_00117	11
NLANBGKA_00118	45
NLANBGKA_00119	32
NLANBGKA_00120	7
NLANBGKA_00123	160
NLANBGKA_00124	9
NLANBGKA_00125	34
NLANBGKA_00126	1
NLANBGKA_00127	28
NLANBGKA_00128	289
NLANBGKA_00129	6
NLANBGKA_00130	10
NLANBGKA_00131	64
NLANBGKA_00132	16
NLANBGKA_00133	58
NLANBGKA_00134	3
NLANBGKA_00135	192
NLANBGKA_00136	164
NLANBGKA_00137	148
NLANBGKA_00138	93
NLANBGKA_00139	22
NLANBGKA_00140	3
NLANBGKA_00141	116
NLANBGKA_00142	35
NLANBGKA_00143	17
NLANBGKA_00144	16
NLANBGKA_00145	0
NLANBGKA_00146	30
NLANBGKA_00147	0
NLANBGKA_00148	56
NLANBGKA_00149	80
NLANBGKA_00150	13
NLANBGKA_00151	50
NLANBGKA_00152	4
NLANBGKA_00153	37
NLANBGKA_00154	6
NLANBGKA_00155	14
NLANBGKA_00156	17
NLANBGKA_00157	17
NLANBGKA_00158	48
NLANBGKA_00159	20
NLANBGKA_00160	2
NLANBGKA_00161	124
NLANBGKA_00162	51
NLANBGKA_00163	6
NLANBGKA_00164	5
NLANBGKA_00165	50
NLANBGKA_00166	55
NLANBGKA_00167	26
NLANBGKA_00168	13
NLANBGKA_00169	93
NLANBGKA_00170	0
NLANBGKA_00171	0
NLANBGKA_00172	403
NLANBGKA_00173	1
NLANBGKA_00174	1
NLANBGKA_00175	10
NLANBGKA_00176	3
NLANBGKA_00177	2
NLANBGKA_00178	6
NLANBGKA_00179	35
NLANBGKA_00180	15
NLANBGKA_00181	10
NLANBGKA_00182	0
NLANBGKA_00183	118
NLANBGKA_00184	1
NLANBGKA_00185	0
NLANBGKA_00186	0
NLANBGKA_00187	6
NLANBGKA_00188	0
NLANBGKA_00189	0
NLANBGKA_00190	0
NLANBGKA_00191	50
NLANBGKA_00192	1
NLANBGKA_00193	1
NLANBGKA_00194	19
NLANBGKA_00195	6
NLANBGKA_00196	20
NLANBGKA_00197	96
NLANBGKA_00198	2
NLANBGKA_00199	2
NLANBGKA_00200	24
NLANBGKA_00201	30
NLANBGKA_00202	83
NLANBGKA_00203	1
NLANBGKA_00204	4
NLANBGKA_00205	2
NLANBGKA_00206	1
NLANBGKA_00207	1
NLANBGKA_00208	52
NLANBGKA_00209	17
NLANBGKA_00210	7
NLANBGKA_00211	12
NLANBGKA_00212	9
NLANBGKA_00213	70
NLANBGKA_00214	16
NLANBGKA_00215	117
NLANBGKA_00216	0
NLANBGKA_00217	96
NLANBGKA_00218	119
NLANBGKA_00219	47
NLANBGKA_00220	334
NLANBGKA_00221	358
NLANBGKA_00222	463
NLANBGKA_00223	110
NLANBGKA_00224	19
NLANBGKA_00225	882
NLANBGKA_00226	56
NLANBGKA_00227	41
NLANBGKA_00228	54
NLANBGKA_00229	63
NLANBGKA_00230	1
NLANBGKA_00231	37
NLANBGKA_00232	37
NLANBGKA_00233	5
NLANBGKA_00234	1
NLANBGKA_00235	10
NLANBGKA_00236	0
NLANBGKA_00237	12
NLANBGKA_00238	0
NLANBGKA_00239	0
NLANBGKA_00240	3
NLANBGKA_00241	8
NLANBGKA_00242	38
NLANBGKA_00243	80
NLANBGKA_00244	0
NLANBGKA_00245	41
NLANBGKA_00246	18
NLANBGKA_00247	0
NLANBGKA_00248	0
NLANBGKA_00249	16
NLANBGKA_00250	1
NLANBGKA_00251	0
NLANBGKA_00252	0
NLANBGKA_00253	1
NLANBGKA_00254	23
NLANBGKA_00255	2
NLANBGKA_00256	17
NLANBGKA_00257	5
NLANBGKA_00258	53
NLANBGKA_00259	34
NLANBGKA_00260	30
NLANBGKA_00261	65
NLANBGKA_00262	2
NLANBGKA_00263	0
NLANBGKA_00264	0
NLANBGKA_00265	2
NLANBGKA_00266	1
NLANBGKA_00267	86
NLANBGKA_00268	52
NLANBGKA_00269	0
NLANBGKA_00274	15
NLANBGKA_00275	76
NLANBGKA_00276	190
NLANBGKA_00277	24
NLANBGKA_00278	39
NLANBGKA_00279	19
NLANBGKA_00281	11
NLANBGKA_00282	19
NLANBGKA_00283	112
NLANBGKA_00284	48
NLANBGKA_00285	63
NLANBGKA_00286	2
NLANBGKA_00287	20
NLANBGKA_00288	3
NLANBGKA_00289	37
NLANBGKA_00290	12
NLANBGKA_00291	5
NLANBGKA_00292	4
NLANBGKA_00293	15
NLANBGKA_00294	7
NLANBGKA_00295	18
NLANBGKA_00296	0
NLANBGKA_00297	34
NLANBGKA_00298	49
NLANBGKA_00299	7
NLANBGKA_00300	64
NLANBGKA_00301	11
NLANBGKA_00302	1
NLANBGKA_00303	7
NLANBGKA_00304	9
NLANBGKA_00305	4
NLANBGKA_00306	2
NLANBGKA_00307	2
NLANBGKA_00308	21
NLANBGKA_00309	65
NLANBGKA_00310	2
NLANBGKA_00311	36
NLANBGKA_00312	26
NLANBGKA_00313	22
NLANBGKA_00314	18
NLANBGKA_00315	20
NLANBGKA_00316	0
NLANBGKA_00317	0
NLANBGKA_00318	10
NLANBGKA_00319	6
NLANBGKA_00320	0
NLANBGKA_00321	1
NLANBGKA_00322	1
NLANBGKA_00323	21
NLANBGKA_00324	17
NLANBGKA_00325	24
NLANBGKA_00326	4
NLANBGKA_00327	1
NLANBGKA_00328	8
NLANBGKA_00329	16
NLANBGKA_00330	1
NLANBGKA_00331	27
NLANBGKA_00332	0
NLANBGKA_00333	0
NLANBGKA_00334	0
NLANBGKA_00335	2
NLANBGKA_00336	4
NLANBGKA_00337	3
NLANBGKA_00338	2
NLANBGKA_00339	30
NLANBGKA_00340	0
NLANBGKA_00341	64
NLANBGKA_00342	9
NLANBGKA_00343	3
NLANBGKA_00344	10
NLANBGKA_00345	3
NLANBGKA_00346	2
NLANBGKA_00347	3
NLANBGKA_00348	1
NLANBGKA_00349	10
NLANBGKA_00350	2
NLANBGKA_00351	16
NLANBGKA_00352	293
NLANBGKA_00353	0
NLANBGKA_00354	33
NLANBGKA_00355	0
NLANBGKA_00356	6
NLANBGKA_00357	2
NLANBGKA_00358	23
NLANBGKA_00359	1
NLANBGKA_00360	209
NLANBGKA_00361	1
NLANBGKA_00363	27
NLANBGKA_00364	34
NLANBGKA_00365	12
NLANBGKA_00366	6
NLANBGKA_00367	3
NLANBGKA_00368	7
NLANBGKA_00369	4
NLANBGKA_00370	2
NLANBGKA_00371	1548
NLANBGKA_00372	28
NLANBGKA_00373	15
NLANBGKA_00374	10
NLANBGKA_00375	21
NLANBGKA_00376	15
NLANBGKA_00377	20
NLANBGKA_00378	39
NLANBGKA_00379	18
NLANBGKA_00380	24
NLANBGKA_00381	1
NLANBGKA_00382	54
NLANBGKA_00383	52
NLANBGKA_00384	3
NLANBGKA_00385	0
NLANBGKA_00386	2
NLANBGKA_00387	4
NLANBGKA_00388	9
NLANBGKA_00389	17
NLANBGKA_00390	30
NLANBGKA_00391	172
NLANBGKA_00392	55
