,Knumber,log2FoldChange.minusSTvsAll
OG1214,K00760,0.134
OG1215,K03723,-0.33899999999999997
OG1216,K03294,0.624
OG1217,K00655,0.9990000000000001
OG1218,K01056,-0.17300000000000001
OG1219,K06942,0.674
OG1221,K02338,0.02
OG1222,K02313,0.222
OG1223,K09747,-0.225
OG1226,K01929,0.579
OG1227,K03621,0.012
OG1228,K08153,0.435
OG1229,K03218,0.14800000000000002
OG1230,K05847,-0.321
OG1231,K03590,0.139
OG1232,K01867,0.042
OG1233,K01775,0.57
OG1234,K00997,0.632
OG1235,K01439,0.915
OG1236,K06153,0.195
OG1237,K02990,0.765
OG1238,K01870,-0.191
OG1240,K03111,0.486
OG1241,K02358,0.446
OG1243,K02963,0.574
OG1245,K00948,0.175
OG1247,K00962,0.5720000000000001
OG1249,K00640,0.41
OG1250,K03800,-0.187
OG1251,K00851,-0.18
OG1252,K00161,0.006
OG1253,K00162,-0.249
OG1254,K02440,1.013
OG1255,K03495,0.619
OG1256,K00382,-0.27
OG1257,K03584,0.149
OG1258,K00841,0.071
OG1259,K06187,0.667
OG1260,K01756,0.9590000000000001
OG1261,K03671,0.011000000000000001
OG1262,K07456,-0.23
OG1263,K09698,-0.125
OG1264,K02529,0.311
OG1265,K01271,0.9329999999999999
OG1266,K07444,0.257
OG1268,K07146,0.384
OG1270,K01575,-0.467
OG1271,K03168,0.619
OG1272,K04094,0.385
OG1274,K03386,-0.287
OG1275,K02959,0.322
OG1276,K02564,-0.22
OG1277,K01893,0.447
OG1279,K07568,0.878
OG1281,K09787,-0.011000000000000001
OG1284,K03979,0.55
OG1285,K04751,4.245
OG1286,K03320,4.796
OG1287,K02887,0.396
OG1288,K02916,0.5529999999999999
OG1289,K02520,0.35600000000000004
OG1290,K01834,0.248
OG1291,K03710,-0.079
OG1292,K01619,-0.16399999999999998
OG1295,K00867,-0.042
OG1296,K03601,0.289
OG1297,K03768,-0.034
OG1300,K02909,1.86
OG1302,K03523,0.887
OG1304,K05837,0.318
OG1305,K02073,-1.5190000000000001
OG1306,K02073,-1.5019999999999998
OG1307,K02073,-1.524
OG1308,K11733,0.36700000000000005
OG1309,K01696,-0.262
OG1310,K02071,-1.2590000000000001
OG1311,K02072,-1.138
OG1312,K08968,0.408
OG1313,K01915,3.801
OG1314,K07729,-0.263
OG1315,K09765,-0.23
OG1316,K02015,0.204
OG1317,K02015,-0.223
OG1318,K03713,3.815
OG1320,K01537,-0.142
OG1321,K03551,0.32799999999999996
OG1322,K00625,0.002
OG1324,K03550,0.524
OG1325,K00766,-0.135
OG1327,K03555,-0.187
OG1330,K07090,-0.183
OG1331,K00036,0.373
OG1333,K02794,-0.034
OG1334,K07015,0.18100000000000002
OG1335,K17810,0.039
OG1336,K01953,0.113
OG1337,K01955,1.041
OG1338,K03570,-0.12300000000000001
OG1339,K14983,-0.284
OG1340,K03574,0.797
OG1341,K02795,0.569
OG1344,K02796,0.009000000000000001
OG1346,K00016,0.39299999999999996
OG1347,K02968,0.72
OG1348,K01839,-0.16899999999999998
OG1349,K01803,0.168
OG1350,K03784,-0.031
OG1354,K07273,0.13699999999999998
OG1355,K01493,0.606
OG1356,K02030,0.94
OG1357,K01624,0.111
OG1358,K02028,0.24
OG1360,K00384,-0.128
OG1362,K00364,1.355
OG1363,K03650,0.597
OG1364,K01875,-0.303
OG1365,K03655,-0.496
OG1366,K07166,0.536
OG1367,K06193,0.055
OG1368,K01821,0.426
OG1370,K00574,-0.177
OG1371,K00789,-0.281
OG1372,K03705,-0.27
OG1373,K03687,-0.37200000000000005
OG1374,K04043,-0.34700000000000003
OG1376,K01598,0.289
OG1377,K18682,0.057999999999999996
OG1378,K01958,0.21899999999999997
OG1379,K03588,0.083
OG1380,K00942,0.40399999999999997
OG1381,K02913,-3.2239999999999998
OG1383,K03060,0.34
OG1384,K07139,0.21899999999999997
OG1385,K06890,-0.267
OG1386,K02355,0.75
OG1387,K18928,0.25
OG1388,K09685,0.248
OG1390,K00656,-0.122
OG1393,K12555,0.348
OG1395,K02871,0.8759999999999999
OG1396,K03073,0.129
OG1397,K02601,0.177
OG1398,K02996,0.897
OG1399,K03217,0.8490000000000001
OG1400,K03282,-0.331
OG1401,K02946,0.878
OG1403,K01889,0.11900000000000001
OG1404,K01951,0.37799999999999995
OG1405,K02886,0.516
OG1406,K02965,0.5379999999999999
OG1407,K02890,0.196
OG1408,K01258,0.005
OG1409,K15986,0.044000000000000004
OG1410,K04069,-0.639
OG1411,K03699,0.406
OG1412,K00208,0.092
OG1413,K02372,0.261
OG1414,K03701,-0.425
OG1415,K02528,0.28
OG1416,K02994,0.6559999999999999
OG1417,K02933,0.83
OG1418,K02881,0.8220000000000001
OG1420,K03076,0.20600000000000002
OG1421,K00939,0.14
OG1423,K02986,0.701
OG1424,K02948,0.64
OG1425,K03040,0.5479999999999999
OG1426,K02879,0.331
OG1427,K06959,0.024
OG1428,K12574,0.19
OG1429,K03789,-0.315
OG1430,K02356,0.315
OG1431,K01409,-0.049
OG1433,K07137,0.086
OG1434,K21064,1.024
OG1437,K01652,-0.18899999999999997
OG1439,K02041,1.508
OG1440,K06901,1.929
OG1441,K01256,-0.075
OG1444,K18891,0.293
OG1445,K18892,0.22399999999999998
OG1446,K00790,0.535
OG1447,K03702,-0.313
OG1451,K03977,0.077
OG1452,K19002,0.07200000000000001
OG1454,K11144,-0.077
OG1455,K13677,-0.188
OG1456,K07738,0.22
OG1457,K03439,0.255
OG1460,K02314,0.025
OG1461,K02939,-0.223
OG1462,K22927,0.011000000000000001
OG1463,K03305,0.317
OG1464,K00857,0.46399999999999997
OG1465,K00425,-0.047
OG1466,K03885,0.371
OG1467,K01752,0.425
OG1468,K01752,0.23
OG1470,K00426,-0.10800000000000001
OG1471,K20074,0.5489999999999999
OG1472,K01077,0.5529999999999999
OG1473,K07069,-1.024
OG1475,K00566,0.611
OG1476,K02945,0.35600000000000004
OG1478,K02835,0.19899999999999998
OG1479,K00600,0.732
OG1482,K01265,0.361
OG1483,K07058,0.055
OG1484,K06023,0.265
OG1485,K13292,0.379
OG1486,K00033,-0.25
OG1487,K03549,0.37
OG1488,K06286,-0.128
OG1489,K02357,0.5660000000000001
OG1490,K02967,0.748
OG1491,K11991,-0.61
OG1492,K04072,0.408
OG1493,K01462,0.131
OG1494,K02956,1.034
OG1498,K00134,-0.7390000000000001
OG1499,K03048,0.051
OG1500,K04042,0.48100000000000004
OG1502,K03624,0.048
OG1503,K03697,-0.68
OG1504,K00995,0.021
OG1505,K01784,-0.282
OG1506,K01243,0.33299999999999996
OG1507,K01689,0.249
OG1509,K03696,0.132
OG1510,K03708,-0.196
OG1511,K06881,0.15
OG1512,K00783,0.223
OG1513,K01424,0.257
OG1514,K01142,0.34
OG1515,K00806,0.573
OG1516,K00981,0.516
OG1517,K00537,-0.342
OG1518,K01881,0.336
OG1519,K00849,-0.662
OG1520,K07533,0.449
OG1521,K03763,0.184
OG1523,K08303,0.055999999999999994
OG1524,K01760,-0.17300000000000001
OG1525,K01962,-0.008
OG1526,K16509,1.081
OG1528,K01358,-0.318
OG1529,K01963,0.028999999999999998
OG1530,K01961,-0.083
OG1531,K02372,0.009000000000000001
OG1532,K09458,0.127
OG1533,K06180,-0.174
OG1534,K00059,-0.019
OG1535,K11068,0.247
OG1537,K02078,-0.152
OG1539,K01809,0.005
OG1540,K03530,0.257
OG1541,K02834,0.345
OG1543,K07742,0.195
OG1544,K03101,-0.315
OG1545,K02600,0.415
OG1546,K09748,0.603
OG1547,K06518,0.247
OG1548,K01990,0.242
OG1550,K02863,0.682
OG1551,K02867,0.909
OG1552,K01872,0.215
OG1555,K01372,-0.152
OG1556,K02483,-0.21899999999999997
OG1557,K00820,0.11900000000000001
OG1558,K16509,0.413
OG1559,K00243,0.011000000000000001
OG1560,K03664,0.009000000000000001
OG1561,K00790,0.147
OG1562,K00762,1.368
OG1563,K03545,0.419
OG1564,K02838,0.47200000000000003
OG1565,K09903,0.155
OG1567,K00925,0.46799999999999997
OG1568,K06207,0.249
OG1569,K01939,1.012
OG1570,K02040,-0.358
OG1571,K02445,-0.47100000000000003
OG1572,K00826,0.424
OG1573,K02040,-0.016
OG1574,K02037,0.019
OG1575,K09976,0.727
OG1576,K02038,0.094
OG1577,K03402,0.036000000000000004
OG1578,K06024,0.26
OG1579,K23675,0.305
OG1580,K10112,-0.084
OG1581,K04567,0.336
OG1582,K07029,-0.10099999999999999
OG1583,K01892,-0.131
OG1584,K02761,-0.32799999999999996
OG1585,K01876,-0.215
OG1590,K05540,1.072
OG1591,K09812,0.8029999999999999
OG1592,K02935,0.396
OG1593,K02836,0.109
OG1594,K02760,-0.01
OG1595,K23393,1.006
OG1597,K03438,0.332
OG1598,K00560,0.34600000000000003
OG1599,K18692,0.48700000000000004
OG1600,K01000,0.16899999999999998
OG1602,K04564,-0.565
OG1603,K03739,0.41700000000000004
OG1605,K00869,1.107
OG1607,K14540,-0.105
OG1609,K12574,-0.14800000000000002
OG1610,K23269,1.421
OG1611,K02341,0.19
OG1612,K00943,0.319
OG1613,K07668,0.12
OG1614,K07586,0.095
OG1615,K01933,1.472
OG1616,K00133,0.67
OG1617,K01591,1.9180000000000001
OG1619,K00615,-0.204
OG1620,K14188,0.54
OG1621,K03501,0.215
OG1622,K02036,-0.289
OG1623,K00805,0.16899999999999998
OG1624,K04077,-0.369
OG1625,K00805,0.159
OG1626,K01868,0.659
OG1627,K00963,0.23
OG1628,K00057,0.253
OG1629,K04078,-0.311
OG1631,K01866,0.43700000000000006
OG1634,K02110,0.7240000000000001
OG1635,K01443,-0.386
OG1636,K02469,0.177
OG1637,K00850,-0.042
OG1638,K00873,-0.171
OG1639,K00016,0.21600000000000003
OG1640,K23536,0.331
OG1641,K23535,0.375
OG1642,K03657,0.337
OG1643,K03316,0.083
OG1644,K23537,0.512
OG1648,K01118,0.89
OG1651,K01924,0.177
OG1652,K03402,-0.29100000000000004
OG1653,K01887,0.284
OG1654,K03151,0.54
OG1656,K03043,0.414
OG1657,K02470,-0.006999999999999999
OG1658,K03046,0.262
OG1659,K02029,-0.105
OG1662,K02028,-0.183
OG1664,K16511,-0.434
OG1665,K09013,-0.221
OG1666,K09015,-0.302
OG1668,K04488,-0.33899999999999997
OG1669,K09014,-0.321
OG1670,K01937,0.207
OG1671,K02435,0.268
OG1672,K00761,0.47100000000000003
OG1673,K02888,0.096
OG1676,K02108,0.467
OG1677,K07042,-0.042
OG1678,K02433,0.467
OG1679,K01426,-0.204
OG1680,K02109,-0.061
OG1681,K07177,-0.446
OG1682,K00954,-0.45899999999999996
OG1683,K02111,0.266
OG1684,K01520,0.247
OG1685,K03431,-0.10099999999999999
OG1686,K18672,-0.038
OG1687,K01878,0.171
OG1688,K01879,0.065
OG1691,K01956,1.3869999999999998
OG1693,K00763,-0.07
OG1694,K01810,0.096
OG1695,K01916,-0.11900000000000001
OG1696,K02003,-0.265
OG1697,K00609,1.449
OG1698,K06940,0.535
OG1699,K02824,1.541
OG1700,K02825,1.3940000000000001
OG1701,K21903,-1.015
OG1702,K02902,0.35700000000000004
OG1703,K02884,0.64
OG1704,K03106,0.38299999999999995
OG1706,K00554,0.084
OG1709,K01873,0.07200000000000001
OG1710,K02036,-0.048
OG1711,K02112,0.192
OG1712,K08659,-0.228
OG1713,K02114,0.045
OG1714,K03698,0.10099999999999999
OG1715,K07304,-0.7340000000000001
OG1717,K02039,-0.098
OG1719,K01783,-0.209
OG1720,K01736,0.161
OG1722,K00226,0.838
OG1723,K10038,2.273
OG1724,K10036,2.708
OG1724,K10037,2.708
OG1725,K03648,0.361
OG1729,K01808,-2.072
OG1730,K01783,-0.578
OG1731,K02529,-0.7240000000000001
OG1732,K00001,-0.04
OG1737,K09710,0.306
OG1741,K07574,-0.14800000000000002
OG1743,K03665,0.13
OG1744,K00088,0.884
OG1745,K01990,0.34700000000000003
OG1749,K01790,0.08
OG1754,K07030,0.32299999999999995
OG1755,K07305,0.43799999999999994
OG1756,K04758,-0.026000000000000002
OG1757,K04759,-0.083
OG1759,K02548,0.165
OG1760,K00805,-0.33899999999999997
OG1761,K06941,-0.20199999999999999
OG1762,K15770,0.446
OG1764,K15771,-0.092
OG1765,K15772,0.551
OG1766,K02004,-0.7090000000000001
OG1770,K01081,-0.787
OG1772,K02777,-0.172
OG1773,K08152,0.008
OG1775,K09963,-0.361
OG1777,K19225,-0.192
OG1778,K01934,-0.153
OG1779,K03704,0.35600000000000004
OG1781,K02434,0.461
OG1789,K03706,-0.033
OG1795,K15051,-0.11
OG1798,K06929,-0.5429999999999999
OG1800,K07104,-1.264
OG1801,K21739,0.21600000000000003
OG1803,K00773,1.431
OG1811,K07386,-0.113
OG1817,K03546,-0.733
OG1819,K03574,0.39299999999999996
OG1820,K01154,0.163
OG1821,K16210,-0.635
OG1827,K02822,-1.473
OG1831,K03492,-1.252
OG1832,K01223,-0.19
OG1835,K10119,-0.985
OG1836,K10118,-1.8090000000000002
OG1838,K02027,-0.835
OG1839,K10241,-3.017
OG1842,K15531,-1.401
OG1843,K22278,-1.4569999999999999
OG1845,K01235,0.0
OG1848,K22103,0.125
OG1851,K10117,-1.81
OG1856,K02440,-0.932
OG1867,K02864,0.7090000000000001
OG1874,K21900,0.027999999999999997
OG1877,K20265,-1.2309999999999999
OG1880,K03322,-0.05
OG1881,K03630,-0.009000000000000001
OG1891,K00675,-0.5
OG1894,K01537,-1.215
OG1895,K01537,-0.589
OG1901,K03342,0.051
OG1904,K03777,-0.28
OG1906,K09692,0.494
OG1913,K03741,-0.746
OG1917,K20486,-0.21
OG1924,K18136,-0.892
OG1925,K01897,-0.997
OG1931,K07031,-1.186
OG1933,K03271,-1.893
OG1934,K03273,-0.054000000000000006
OG1936,K04485,0.15
OG1938,K01507,-0.835
OG1939,K00986,-0.581
OG1940,K21745,-0.785
OG1955,K02483,-0.5770000000000001
OG1973,K07052,-0.7
OG1976,K02970,0.04
OG1982,K07272,-0.349
OG1985,K01854,-0.43799999999999994
OG1988,K08151,0.665
OG1998,K19577,-0.397
OG2009,K06147,-1.24
OG2010,K19591,-1.416
OG2012,K05363,-1.2
OG2013,K02952,0.332
OG2017,K02518,0.5539999999999999
OG2018,K02907,0.8859999999999999
OG2020,K02954,0.42700000000000005
OG2021,K02931,0.166
OG2022,K02895,0.262
OG2023,K01153,0.212
OG2024,K03427,0.187
OG2029,K14588,-0.32299999999999995
OG2033,K01210,-1.253
OG2034,K02874,0.256
OG2037,K02961,0.846
OG2038,K02904,0.56
OG2039,K02878,0.6940000000000001
OG2040,K18908,-0.157
OG2047,K17320,-3.622
OG2048,K02892,0.366
OG2052,K07010,-0.109
OG2054,K00700,-0.46399999999999997
OG2060,K14189,0.163
OG2061,K01181,0.49200000000000005
OG2062,K07533,-0.523
OG2063,K02926,0.8959999999999999
OG2064,K07447,0.006999999999999999
OG2066,K02906,0.5670000000000001
OG2068,K02914,0.94
OG2069,K03217,0.5379999999999999
OG2070,K03536,0.319
OG2073,K08161,0.295
OG2075,K01940,-0.93
OG2078,K02004,-0.214
OG2082,K00662,1.307
OG2083,K02913,-0.8240000000000001
OG2090,K01220,-0.295
OG2092,K02788,-0.147
OG2095,K02992,0.315
OG2096,K02950,0.499
OG2097,K00917,-0.35
OG2098,K01819,-0.35700000000000004
OG2103,K02530,-0.34700000000000003
OG2105,K01438,-0.589
OG2110,K01537,0.087
OG2111,K11936,-1.4269999999999998
OG2113,K00134,-0.079
OG2122,K10947,-0.9840000000000001
OG2124,K15772,-0.9209999999999999
OG2125,K15771,-0.935
OG2126,K15770,-0.924
OG2131,K07474,0.33899999999999997
OG2158,K20276,-0.903
OG2161,K01791,-0.584
OG2163,K24041,0.032
OG2164,K01626,-0.955
OG2168,K01198,-0.932
OG2170,K09809,-0.88
OG2171,K03366,-0.83
OG2192,K01223,0.23
OG2209,K00020,-0.031
OG2216,K01785,-2.0269999999999997
OG2232,K03366,-1.837
OG2233,K00059,-2.437
OG2244,K03499,-0.005
OG2245,K03498,-0.07200000000000001
OG2248,K01784,-0.361
OG2253,K03292,0.466
OG2254,K00651,0.596
OG2255,K03830,-0.13
OG2259,K02031,0.327
OG2260,K02032,-2.6719999999999997
OG2262,K02034,-2.688
OG2265,K03502,0.685
OG2281,K07467,0.0
OG2284,K08996,-0.049
OG2290,K02242,-0.239
OG2307,K21900,-0.004
OG2319,K02003,-0.20600000000000002
OG2320,K21562,0.5710000000000001
OG2321,K01534,0.294
OG2323,K01190,-1.04
OG2332,K01990,-0.121
OG2333,K01992,-0.2
OG2336,K00712,-0.057
OG2340,K01215,-1.35
OG2341,K12373,-1.7380000000000002
OG2342,K17318,-0.044000000000000004
OG2343,K17320,0.35
OG2344,K17319,0.165
OG2345,K01191,-0.086
OG2346,K09704,0.013000000000000001
OG2349,K01621,-0.107
OG2352,K01198,-0.179
OG2354,K13252,-0.579
OG2358,K02246,-1.43
OG2365,K02226,0.34299999999999997
OG2368,K24041,-0.156
OG2369,K01104,0.42100000000000004
OG2372,K09692,-0.265
OG2373,K09693,-0.963
OG2377,K02954,0.44
OG2378,K03588,-0.066
OG2406,K03546,-0.371
OG2412,K02003,-2.278
OG2414,K03483,-1.3880000000000001
OG2417,K03830,1.169
OG2425,K00059,0.292
OG2433,K06131,0.49700000000000005
OG2435,K01653,2.026
OG2436,K07646,0.387
OG2437,K07667,0.409
OG2439,K01546,-0.483
OG2440,K01547,0.935
OG2441,K01548,1.39
OG2443,K02502,0.28
OG2444,K06219,0.22699999999999998
OG2446,K06978,-0.253
OG2449,K02440,0.071
OG2450,K00111,-0.077
OG2452,K03316,0.39399999999999996
OG2454,K01176,0.023
OG2455,K10530,-1.07
OG2461,K20073,0.126
OG2469,K00926,-0.768
OG2470,K10536,-0.129
OG2475,K03827,0.937
OG2480,K04063,-0.107
OG2487,K02013,-0.122
OG2493,K03282,-0.8240000000000001
OG2496,K03797,-0.922
OG2503,K00059,0.019
OG2505,K01704,0.057999999999999996
OG2506,K02004,0.251
OG2509,K07052,-0.795
OG2518,K07052,-1.1079999999999999
OG2520,K20345,-0.995
OG2521,K20344,-0.655
OG2537,K01160,-0.598
OG2559,K01005,-0.701
OG2563,K02502,-1.9880000000000002
OG2572,K20265,-1.334
OG2574,K06889,-2.374
OG2583,K00712,-0.317
OG2612,K06200,-1.3459999999999999
OG2613,K06200,-0.919
OG2640,K01223,0.0
OG2649,K16210,-0.511
OG2650,K16210,-0.428
OG2656,K01992,-0.475
OG2661,K02240,
OG2664,K00925,-0.096
OG2665,K06400,0.019
OG2671,K20073,-0.76
OG2674,K11144,-0.161
OG2677,K02031,0.071
OG2684,K07052,
OG2687,K03328,
OG2694,K03111,
OG2697,K07726,0.285
OG2700,K02032,-0.085
OG2701,K00852,-0.237
OG2702,K06919,-2.436
OG2710,K00435,-0.08
OG2712,K01772,-0.145
OG2713,K03646,0.0
OG2717,K06726,0.01
OG2730,K00077,-0.983
OG2731,K07035,-0.664
OG2734,K01647,-0.53
OG2735,K06889,0.462
OG2743,K01755,-1.244
OG2746,K14260,0.638
OG2750,K01710,0.162
OG2751,K00067,0.23
OG2752,K12996,0.12
OG2753,K06948,-0.023
OG2757,K00927,-0.013999999999999999
OG2758,K03070,0.795
OG2761,K07584,0.789
OG2762,K02899,1.5290000000000001
OG2763,K01223,-0.408
OG2769,K02876,0.38
OG2770,K02988,0.502
OG2771,K02982,0.375
OG2773,K02786,-0.311
OG2774,K01635,-0.271
OG2775,K01819,-0.442
OG2777,K01361,0.013000000000000001
OG2780,K07005,-0.087
OG2782,K02034,0.009000000000000001
OG2791,K16566,0.134
OG2795,K01208,-0.20600000000000002
OG2799,K16509,0.11599999999999999
OG2800,K11741,-1.53
OG2807,K07727,0.03
OG2815,K05970,-1.745
OG2816,K10241,-1.172
OG2825,K03553,-0.56
OG2833,K02003,-1.369
OG2838,K08483,0.307
OG2839,K02784,0.203
OG2862,K01626,0.43799999999999994
OG2868,K21562,-1.369
OG2870,K03284,-0.293
OG2874,K07467,-0.483
OG2883,K07467,-3.885
OG2894,K01534,-1.5930000000000002
OG2895,K02068,0.165
OG2896,K02069,0.114
OG2904,K01759,-1.379
OG2905,K00661,-1.435
OG2907,K22305,-1.413
OG2912,K07258,0.078
OG2914,K07005,1.393
OG2915,K07052,-1.268
OG2921,K00793,-0.21899999999999997
OG2932,K03496,-0.19399999999999998
OG2935,K01759,-0.355
OG2937,K04763,-1.475
OG2942,K18673,-1.8459999999999999
OG2946,K06221,-1.305
OG2953,K07474,-2.9339999999999997
OG2956,K06139,-2.9339999999999997
OG2973,K09815,0.5660000000000001
OG2976,K16786,0.64
OG2978,K02755,0.013999999999999999
OG2979,K01534,-2.3280000000000003
OG2989,K07497,1.355
OG2990,K07483,0.33899999999999997
OG2992,K21562,-0.048
OG3003,K01533,-0.49
OG3004,K06198,-0.1
OG3012,K00018,-2.315
OG3013,K22552,-0.6459999999999999
OG3014,K21471,-0.402
OG3016,K13292,0.085
OG3030,K11752,0.879
OG3031,K11752,-0.7909999999999999
OG3042,K01156,0.409
OG3045,K15581,0.16699999999999998
OG3046,K15580,-0.055
OG3052,K03502,-2.925
OG3053,K19338,-0.502
OG3058,K16509,0.0
OG3059,K22212,0.841
OG3063,K22132,-2.6
OG3064,K07192,0.626
OG3071,K16209,-0.88
OG3093,K01154,-8.141
OG3095,K00004,-1.382
OG3096,K03366,-1.045
OG3097,K03366,-1.036
OG3099,K00752,-0.653
OG3100,K00012,-0.474
OG3111,K01154,-0.618
OG3123,K01560,-0.21600000000000003
OG3132,K04763,-0.8809999999999999
OG3140,K07313,-0.721
OG3145,K05795,0.309
OG3146,K05795,
OG3147,K05795,-0.46799999999999997
OG3153,K14155,-1.465
OG3162,K07052,-2.687
OG3167,K03549,-0.401
OG3170,K07741,0.191
OG3176,K01246,0.0
OG3178,K03827,0.494
OG3182,K01805,-2.7489999999999997
OG3194,K03549,-0.502
OG3199,K18640,-1.605
OG3212,K20485,-1.281
OG3214,K01689,-0.92
OG3217,K02026,-1.714
OG3218,K10189,-1.083
OG3220,K04844,-1.42
OG3223,K02529,-0.467
OG3227,K01791,-0.547
OG3234,K02033,-4.337
OG3235,K02034,-0.652
OG3236,K15583,-0.733
OG3237,K05349,-1.601
OG3238,K01223,-1.4409999999999998
OG3239,K18673,-1.109
OG3251,K18941,1.255
OG3261,K02246,-3.012
OG3269,K01209,-1.166
OG3271,K01854,-1.107
OG3272,K01854,-0.8009999999999999
OG3280,K09692,-0.591
OG3281,K09693,-0.885
OG3283,K07104,-1.805
OG3290,K21449,-1.459
OG3304,K16326,-1.766
OG3305,K07149,-1.818
OG3306,K00298,-1.298
OG3307,K19504,-1.879
OG3308,K00845,-2.676
OG3311,K02761,-0.574
OG3313,K03892,-1.4180000000000001
OG3315,K01551,-0.84
OG3317,K03325,-1.107
OG3327,K01662,-0.565
OG3334,K00661,-1.584
OG3335,K19425,-2.036
OG3354,K03205,
OG3373,K07497,-1.288
OG3376,K09927,-0.902
OG3381,K04041,-0.158
OG3382,K04041,-0.335
OG3390,K03321,3.091
OG3391,K03321,0.809
OG3393,K01739,0.052000000000000005
OG3396,K20345,-2.096
OG3397,K20344,-0.853
OG3405,K06950,-0.716
OG3406,K06950,1.298
OG3410,K01438,-1.361
OG3424,K19971,-1.43
OG3426,K01438,-0.222
OG3427,K01118,0.7120000000000001
OG3433,K04095,-0.1
OG3450,K13727,
OG3451,K13727,
OG3466,K12999,0.493
OG3469,K00675,
OG3470,K00675,-1.0659999999999998
OG3475,K01478,0.18100000000000002
OG3479,K12999,-0.262
OG3496,K02044,1.74
OG3511,K07317,-0.9390000000000001
OG3514,K01754,-1.43
OG3515,K01754,
OG3518,K01647,-2.6
OG3519,K18889,-1.354
OG3534,K06346,-0.574
OG3545,K07316,-1.198
OG3547,K07497,-0.485
OG3555,K01735,1.063
OG3557,K05350,0.521
OG3567,K00145,
OG3568,K00145,-1.43
OG3572,K13953,-1.426
OG3576,K03070,-0.894
OG3577,K03070,1.268
OG3578,K01154,-2.45
OG3590,K01347,-0.46799999999999997
OG3595,K16924,-0.436
OG3596,K16924,-0.765
OG3599,K06919,0.015
OG3606,K02761,-0.7240000000000001
OG3607,K06198,-0.09300000000000001
OG3612,K03701,0.293
OG3613,K07483,-1.43
OG3617,K19350,-0.638
OG3628,K00705,-0.562
OG3631,K00754,0.499
OG3640,K06904,
OG3654,K01154,-0.5770000000000001
OG3666,K00926,-1.885
OG3667,K00926,0.48700000000000004
OG3672,K00852,-0.46799999999999997
OG3673,K00852,-0.21
OG3680,K01812,-1.4709999999999999
OG3686,K01580,-0.545
OG3693,K07386,0.359
OG3698,K01198,-0.46399999999999997
OG3705,K02757,-0.426
OG3712,K01153,-0.769
OG3718,K02759,-0.624
OG3720,K03070,-1.214
OG3724,K02004,-1.43
OG3725,K07078,0.01
OG3728,K00756,-1.068
OG3730,K06221,-0.626
OG3731,K00688,-0.245
OG3734,K01421,-0.903
OG3745,K07741,
OG3750,K02501,0.0
OG3758,K03475,0.0
OG3762,K17758,0.0
OG3763,K17758,-0.39399999999999996
OG3764,K02030,-1.979
OG3768,K01048,-0.821
OG3770,K00014,0.0
OG3771,K00014,0.0
OG3772,K19267,0.0
OG3775,K01735,-0.998
OG3779,K01223,-2.517
OG3792,K07482,-0.327
OG3800,K07979,
OG3801,K00980,0.0
OG3804,K01990,0.9740000000000001
OG3813,K02004,0.308
OG3814,K02004,1.035
OG3815,K02004,0.452
OG3816,K00633,-0.551
OG3851,K06148,0.46
OG3873,K01154,0.24100000000000002
OG3874,K03427,0.282
OG3875,K01153,0.262
OG3880,K01005,-0.385
OG3881,K01005,-0.295
OG3894,K21449,0.382
OG3901,K07284,
OG3902,K07284,0.494
OG3906,K03697,-0.774
OG3928,K01790,-1.43
OG3930,K03169,0.0
OG3961,K03697,-0.46799999999999997
OG3976,K01790,-0.46799999999999997
OG3979,K03328,-1.43
OG3981,K20444,0.494
OG3992,K03111,2.99
OG4003,K01992,-1.294
OG4017,K01689,-0.532
OG4027,K15580,-0.46799999999999997
OG4031,K01154,-1.287
OG4033,K06200,-0.848
OG4034,K06200,-1.43
OG4035,K01534,-6.433
OG4039,K18929,-1.5290000000000001
OG4042,K01181,0.494
OG4045,K01625,0.467
OG4046,K03273,
OG4064,K01662,-0.6509999999999999
OG4065,K01662,0.451
OG4066,K00821,0.0
OG4067,K10118,
OG4068,K10118,0.0
OG4074,K00700,-0.48700000000000004
OG4075,K00700,-1.5759999999999998
OG4076,K12952,0.0
OG4077,K07052,0.0
OG4085,K01235,
OG4094,K07483,-0.08800000000000001
OG4100,K00878,0.191
OG4107,K03427,0.0
OG4111,K01153,0.494
OG4118,K12990,-0.46799999999999997
OG4123,K08659,-0.975
OG4124,K08659,1.9340000000000002
OG4130,K03169,-2.929
OG4144,K04043,
OG4155,K03293,0.0
OG4156,K01126,-0.184
OG4158,K02800,
OG4172,K00147,-0.32899999999999996
OG4190,K02244,
OG4191,K01537,-2.324
OG4193,K03731,0.494
OG4202,K07095,0.21600000000000003
OG4205,K03322,-1.179
OG4216,K01808,0.0
OG4233,K07483,-0.794
OG4234,K04068,0.0
OG4256,K07316,0.0
OG4264,K07271,0.541
OG4265,K03328,0.512
OG4267,K01154,-0.5670000000000001
OG4269,K00926,2.3930000000000002
OG4276,K01687,0.0
OG4287,K01533,-0.142
OG4288,K02035,0.418
OG4289,K02757,-0.191
OG4295,K00705,1.237
OG4297,K07497,-0.46799999999999997
OG4299,K00865,-1.641
OG4300,K11041,0.34700000000000003
OG4301,K21993,1.27
OG4302,K12999,-0.109
OG4309,K03311,1.008
OG4310,K01533,-0.244
OG4313,K07497,-0.6920000000000001
OG4315,K02761,-1.329
OG4317,K03704,0.355
OG4334,K02244,-1.969
