,Knumber,log2FoldChange.minusSTvsAll
OG6027,K07192,-2.9939999999999998
OG6036,K06148,-0.295
OG6038,K01154,0.0
OG6058,K02761,-1.956
OG6063,K01154,
OG6073,K07483,
OG6074,K07497,
OG6078,K01580,-2.924
OG6082,K01361,-0.433
OG6083,K03502,-0.057
OG6087,K03305,0.494
OG6090,K02042,1.837
OG6096,K01154,0.0
OG6097,K07030,-0.597
OG6098,K07030,-1.48
OG6099,K01814,-0.46799999999999997
OG6101,K01735,-0.78
OG6102,K01154,
OG6113,K00851,-0.9590000000000001
OG6128,K01126,-0.456
OG6138,K18888,-1.43
OG6145,K01215,-0.46799999999999997
OG6146,K01215,-1.43
OG6158,K03322,-0.691
OG6159,K09962,-1.571
OG6179,K01210,1.23
OG6180,K01210,
OG6183,K06139,
OG6184,K11041,0.494
OG6196,K00040,0.11800000000000001
OG6197,K00854,
OG6202,K01361,-0.5770000000000001
OG6215,K20265,-2.0269999999999997
OG6216,K02238,-3.071
OG6224,K07504,-0.773
OG6225,K01223,-2.2119999999999997
OG6242,K02334,-1.6880000000000002
OG6280,K06400,-3.5239999999999996
OG6284,K00158,-1.3559999999999999
OG6299,K09988,-1.9769999999999999
OG6302,K08302,0.201
OG6304,K02538,-0.191
OG6305,K00012,-1.492
OG6306,K00012,-1.329
OG6322,K02529,-0.9309999999999999
OG6332,K01154,-0.624
OG6335,K00694,-2.029
OG6349,K01154,
OG6370,K03205,-0.7090000000000001
OG6380,K01153,1.25
OG6385,K07316,
OG6389,K07727,
OG6408,K01154,-2.3409999999999997
OG6411,K19426,
OG6413,K01154,-1.944
OG6414,K07498,-1.3969999999999998
OG6417,K01154,0.494
OG6442,K01154,0.494
OG6447,K01854,-0.9259999999999999
OG6452,K07483,
OG6453,K07497,
OG6456,K01154,0.121
OG6460,K07106,1.137
OG6473,K02073,-1.105
OG6474,K02073,-1.3090000000000002
OG6480,K03707,-0.6729999999999999
OG6494,K00926,1.686
OG6499,K07474,-0.45299999999999996
OG6501,K01681,-0.493
OG6502,K01154,-0.066
OG6505,K01176,0.42200000000000004
OG6506,K01176,-0.395
OG6510,K06978,-0.083
OG6512,K07316,0.23
OG6528,K07646,0.574
OG6529,K07646,0.632
OG6534,K02035,0.373
OG6539,K07025,1.2570000000000001
OG6542,K03486,0.0
OG6544,K01154,-1.43
OG6545,K03777,-0.364
OG6546,K03777,-0.23399999999999999
OG6567,K00688,-0.096
OG6571,K01154,-0.038
OG6572,K19265,0.47100000000000003
OG6573,K19265,0.494
OG6600,K12952,-1.276
OG6612,K01512,
OG6628,K02029,-0.25
OG6629,K02029,-0.245
OG6630,K02113,-0.574
OG6631,K03758,1.925
OG6632,K03758,-0.16699999999999998
OG6634,K01703,
OG6638,K02115,-0.401
OG6644,K00700,
OG6649,K07272,
OG6652,K07271,
OG6669,K07455,
OG6680,K01154,
OG6683,K07497,
OG6685,K07482,
OG6686,K07482,
OG6687,K03529,
OG6693,K07482,
OG6704,K01071,
OG6706,K12952,
OG6708,K00027,
OG6714,K01910,
OG6715,K01646,
OG6716,K01644,
OG6717,K01643,
OG6719,K05966,
OG6731,K06219,
OG6733,K04096,
OG6734,K07482,
OG6736,K07482,
OG6748,K07482,
OG6753,K03183,
OG6754,K03183,
OG6755,K07482,
OG6756,K07482,
OG6758,K07482,
OG6759,K03322,
OG6760,K07482,
OG6762,K07482,
OG6766,K07482,
OG6768,K07482,
OG6770,K07482,
OG6772,K03299,
OG6773,K07482,
OG6780,K01154,0.19899999999999998
OG6784,K11617,1.311
OG6785,K11617,-0.46799999999999997
