Knumber,log2FoldChange.minusSTvsAll
K02907,0.8859999999999999
K02954,0.42700000000000005
K02931,0.166
K02895,0.262
K01153,0.212
K03427,0.187
K14588,-0.32299999999999995
K01210,-1.253
K02874,0.256
K02961,0.846
K02904,0.56
K02878,0.6940000000000001
K18908,-0.157
K17320,-3.622
K02892,0.366
K07010,-0.109
K00700,-0.46399999999999997
K14189,0.163
K01181,0.49200000000000005
K07533,-0.523
K02926,0.8959999999999999
K07447,0.006999999999999999
K02906,0.5670000000000001
K02914,0.94
K03217,0.5379999999999999
K03536,0.319
K08161,0.295
K01940,-0.93
K02004,-0.214
K00662,1.307
K02913,-0.8240000000000001
K01220,-0.295
K02788,-0.147
K02992,0.315
K02950,0.499
K00917,-0.35
K01819,-0.35700000000000004
K02530,-0.34700000000000003
K01438,-0.589
K01537,0.087
K11936,-1.4269999999999998
K00134,-0.079
K10947,-0.9840000000000001
K15772,-0.9209999999999999
K15771,-0.935
K15770,-0.924
K07474,0.33899999999999997
K20276,-0.903
K01791,-0.584
K24041,0.032
K01626,-0.955
K01198,-0.932
K09809,-0.88
K03366,-0.83
K01223,0.23
K00020,-0.031
K01785,-2.0269999999999997
K03366,-1.837
K00059,-2.437
K03499,-0.005
K03498,-0.07200000000000001
K01784,-0.361
K03292,0.466
K00651,0.596
K03830,-0.13
K02031,0.327
K02032,-2.6719999999999997
K02034,-2.688
K03502,0.685
K07467,0.0
K08996,-0.049
K02242,-0.239
K21900,-0.004
K02003,-0.20600000000000002
K21562,0.5710000000000001
K01534,0.294
K01190,-1.04
K01990,-0.121
K01992,-0.2
K00712,-0.057
K01215,-1.35
K12373,-1.7380000000000002
K17318,-0.044000000000000004
K17320,0.35
K17319,0.165
K01191,-0.086
K09704,0.013000000000000001
K01621,-0.107
K01198,-0.179
K13252,-0.579
K02246,-1.43
K02226,0.34299999999999997
K24041,-0.156
K01104,0.42100000000000004
K09692,-0.265
K09693,-0.963
K02954,0.44
K03588,-0.066
K03546,-0.371
K02003,-2.278
K03483,-1.3880000000000001
K03830,1.169
K00059,0.292
K06131,0.49700000000000005
K01653,2.026
K07646,0.387
K07667,0.409
K01546,-0.483
K01547,0.935
K01548,1.39
K02502,0.28
K06219,0.22699999999999998
K06978,-0.253
K02440,0.071
K00111,-0.077
K03316,0.39399999999999996
K01176,0.023
K10530,-1.07
K20073,0.126
K00926,-0.768
K10536,-0.129
K03827,0.937
K04063,-0.107
K02013,-0.122
K03282,-0.8240000000000001
K03797,-0.922
K00059,0.019
K01704,0.057999999999999996
K02004,0.251
K07052,-0.795
K07052,-1.1079999999999999
K20345,-0.995
K20344,-0.655
K01160,-0.598
K01005,-0.701
K02502,-1.9880000000000002
K20265,-1.334
K06889,-2.374
K00712,-0.317
K06200,-1.3459999999999999
K06200,-0.919
K01223,0.0
K16210,-0.511
K16210,-0.428
K01992,-0.475
K02240,
K00925,-0.096
K06400,0.019
K20073,-0.76
K11144,-0.161
K02031,0.071
K07052,
K03328,
K03111,
K07726,0.285
K02032,-0.085
K00852,-0.237
K06919,-2.436
K00435,-0.08
K01772,-0.145
K03646,0.0
K06726,0.01
K00077,-0.983
K07035,-0.664
K01647,-0.53
K06889,0.462
K01755,-1.244
K14260,0.638
K01710,0.162
K00067,0.23
K12996,0.12
K06948,-0.023
K00927,-0.013999999999999999
K03070,0.795
K07584,0.789
K02899,1.5290000000000001
K01223,-0.408
K02876,0.38
K02988,0.502
K02982,0.375
K02786,-0.311
K01635,-0.271
K01819,-0.442
K01361,0.013000000000000001
K07005,-0.087
K02034,0.009000000000000001
K16566,0.134
K01208,-0.20600000000000002
K16509,0.11599999999999999
K11741,-1.53
K07727,0.03
K05970,-1.745
K10241,-1.172
K03553,-0.56
K02003,-1.369
K08483,0.307
K02784,0.203
K01626,0.43799999999999994
K21562,-1.369
K03284,-0.293
K07467,-0.483
K07467,-3.885
K01534,-1.5930000000000002
K02068,0.165
K02069,0.114
K01759,-1.379
K00661,-1.435
K22305,-1.413
K07258,0.078
K07005,1.393
K07052,-1.268
K00793,-0.21899999999999997
K03496,-0.19399999999999998
K01759,-0.355
K04763,-1.475
K18673,-1.8459999999999999
K06221,-1.305
K07474,-2.9339999999999997
K06139,-2.9339999999999997
K09815,0.5660000000000001
K16786,0.64
K02755,0.013999999999999999
K01534,-2.3280000000000003
K07497,1.355
K07483,0.33899999999999997
K21562,-0.048
K01533,-0.49
K06198,-0.1
K00018,-2.315
K22552,-0.6459999999999999
K21471,-0.402
K13292,0.085
K11752,0.879
K11752,-0.7909999999999999
K01156,0.409
K15581,0.16699999999999998
K15580,-0.055
K03502,-2.925
K19338,-0.502
K16509,0.0
K22212,0.841
K22132,-2.6
K07192,0.626
K16209,-0.88
K01154,-8.141
K00004,-1.382
K03366,-1.045
K03366,-1.036
K00752,-0.653
K00012,-0.474
K01154,-0.618
K01560,-0.21600000000000003
K04763,-0.8809999999999999
K07313,-0.721
K05795,0.309
K05795,
K05795,-0.46799999999999997
K14155,-1.465
K07052,-2.687
K03549,-0.401
K07741,0.191
K01246,0.0
K03827,0.494
K01805,-2.7489999999999997
K03549,-0.502
K18640,-1.605
K20485,-1.281
K01689,-0.92
K02026,-1.714
K10189,-1.083
K04844,-1.42
K02529,-0.467
K01791,-0.547
K02033,-4.337
K02034,-0.652
K15583,-0.733
K05349,-1.601
K01223,-1.4409999999999998
K18673,-1.109
K18941,1.255
K02246,-3.012
K01209,-1.166
K01854,-1.107
K01854,-0.8009999999999999
K09692,-0.591
K09693,-0.885
K07104,-1.805
K21449,-1.459
K16326,-1.766
K07149,-1.818
K00298,-1.298
K19504,-1.879
K00845,-2.676
K02761,-0.574
K03892,-1.4180000000000001
K01551,-0.84
K03325,-1.107
K01662,-0.565
K00661,-1.584
K19425,-2.036
K03205,
K07497,-1.288
K09927,-0.902
K04041,-0.158
K04041,-0.335
K03321,3.091
K03321,0.809
K01739,0.052000000000000005
K20345,-2.096
K20344,-0.853
K06950,-0.716
K06950,1.298
K01438,-1.361
K19971,-1.43
K01438,-0.222
K01118,0.7120000000000001
K04095,-0.1
K13727,
K13727,
K12999,0.493
K00675,
K00675,-1.0659999999999998
K01478,0.18100000000000002
K12999,-0.262
K02044,1.74
K07317,-0.9390000000000001
K01754,-1.43
K01754,
K01647,-2.6
K18889,-1.354
K06346,-0.574
K07316,-1.198
K07497,-0.485
K01735,1.063
K05350,0.521
K00145,
K00145,-1.43
K13953,-1.426
K03070,-0.894
K03070,1.268
K01154,-2.45
K01347,-0.46799999999999997
K16924,-0.436
K16924,-0.765
K06919,0.015
K02761,-0.7240000000000001
K06198,-0.09300000000000001
K03701,0.293
K07483,-1.43
K19350,-0.638
K00705,-0.562
K00754,0.499
K06904,
K01154,-0.5770000000000001
K00926,-1.885
K00926,0.48700000000000004
K00852,-0.46799999999999997
K00852,-0.21
K01812,-1.4709999999999999
K01580,-0.545
K07386,0.359
K01198,-0.46399999999999997
K02757,-0.426
K01153,-0.769
K02759,-0.624
K03070,-1.214
K02004,-1.43
K07078,0.01
K00756,-1.068
K06221,-0.626
K00688,-0.245
K01421,-0.903
K07741,
K02501,0.0
K03475,0.0
K17758,0.0
K17758,-0.39399999999999996
K02030,-1.979
K01048,-0.821
K00014,0.0
K00014,0.0
K19267,0.0
K01735,-0.998
K01223,-2.517
K07482,-0.327
K07979,
K00980,0.0
K01990,0.9740000000000001
K02004,0.308
K02004,1.035
K02004,0.452
K00633,-0.551
K06148,0.46
K01154,0.24100000000000002
K03427,0.282
K01153,0.262
K01005,-0.385
K01005,-0.295
K21449,0.382
K07284,
K07284,0.494
K03697,-0.774
K01790,-1.43
K03169,0.0
K03697,-0.46799999999999997
K01790,-0.46799999999999997
K03328,-1.43
K20444,0.494
K03111,2.99
K01992,-1.294
K01689,-0.532
K15580,-0.46799999999999997
K01154,-1.287
K06200,-0.848
K06200,-1.43
K01534,-6.433
K18929,-1.5290000000000001
K01181,0.494
K01625,0.467
K03273,
K01662,-0.6509999999999999
K01662,0.451
K00821,0.0
K10118,
K10118,0.0
K00700,-0.48700000000000004
K00700,-1.5759999999999998
K12952,0.0
K07052,0.0
K01235,
K07483,-0.08800000000000001
K00878,0.191
K03427,0.0
K01153,0.494
K12990,-0.46799999999999997
K08659,-0.975
K08659,1.9340000000000002
K03169,-2.929
K04043,
K03293,0.0
K01126,-0.184
K02800,
K00147,-0.32899999999999996
K02244,
K01537,-2.324
K03731,0.494
K07095,0.21600000000000003
K03322,-1.179
K01808,0.0
K07483,-0.794
K04068,0.0
K07316,0.0
K07271,0.541
K03328,0.512
K01154,-0.5670000000000001
K00926,2.3930000000000002
K01687,0.0
K01533,-0.142
K02035,0.418
K02757,-0.191
K00705,1.237
K07497,-0.46799999999999997
K00865,-1.641
K11041,0.34700000000000003
K21993,1.27
K12999,-0.109
K03311,1.008
K01533,-0.244
K07497,-0.6920000000000001
K02761,-1.329
K03704,0.355
K02244,-1.969
K01647,-1.2229999999999999
K01791,-0.602
K01990,-0.45
K02044,1.577
K01681,-1.281
K01785,-0.785
K01071,0.139
K04096,-1.185
K03885,-0.517
K07483,-0.823
K19265,-0.2
K02757,-1.6980000000000002
K06147,0.653
K01520,0.579
K03322,0.174
K01739,-0.7859999999999999
K03704,0.02
K01689,-0.035
K07010,0.779
K03483,-2.655
K02029,0.52
K00688,-0.114
K19081,-0.146
K01223,-0.14300000000000002
K00926,0.611
K09936,0.6829999999999999
K00004,-0.888
K16785,-0.9940000000000001
K03488,-0.040999999999999995
K16209,-0.496
K17319,-0.47600000000000003
K22212,0.128
K02757,-0.251
K00926,0.568
K01223,-0.155
K15580,-0.36700000000000005
K02042,1.489
K03299,0.03
K21739,-0.772
K12952,0.578
K00651,0.192
K02033,0.040999999999999995
K07010,0.617
K06904,
K01817,-0.919
K03704,-0.853
K00004,-0.831
K12999,-0.73
K00563,-0.742
K01992,0.45399999999999996
K01478,0.528
K21993,-0.9740000000000001
K00651,-0.11800000000000001
K22212,-2.883
K06904,0.299
K16785,-0.698
K01817,-0.52
K07497,-0.575
K03483,-0.46799999999999997
K01223,-0.47600000000000003
K00158,-1.107
K02033,-1.515
K01356,-1.3880000000000001
K01791,-0.483
K00563,-0.17
K06889,-1.255
K01478,1.2
K21739,-1.304
K07497,-1.128
K12952,-1.395
K03322,0.631
K01520,-0.506
K01647,-0.595
K01223,-1.005
K06889,-0.324
K03502,-0.5429999999999999
K09936,-0.10300000000000001
K02757,-1.3
K16209,-0.65
K03885,-0.915
K08602,0.027999999999999997
K03322,-1.145
K18926,0.469
K01689,-2.423
K01356,-0.713
K02044,1.899
K02244,
K08602,-1.123
K11041,1.463
K00688,-0.41
K15580,-0.736
K07497,0.782
K00705,-0.746
K07497,0.132
K03502,0.214
K03311,1.412
K00865,-0.414
K06147,0.155
K02035,-0.02
K02035,-0.09699999999999999
K00158,-1.088
K03322,-0.7240000000000001
K07497,-0.797
K00158,-1.097
K01739,1.4380000000000002
K07483,-1.044
K07497,-0.17300000000000001
K06147,0.085
K01739,-0.055
K07497,-0.249
K02761,1.2770000000000001
K00865,-0.983
K07498,-0.29
K03311,-0.46799999999999997
K07497,0.133
K07497,-0.345
K00705,-0.578
K03502,0.064
K02761,-0.6890000000000001
K00705,0.301
K07497,-0.46799999999999997
