OG	sample_1C
OG14	83.0
OG36	581.0
OG39	425.0
OG58	283.0
OG100	439.0
OG103	270.0
OG104	174.0
OG112	199.0
OG124	2544.0
OG134	139.0
OG136	2.0
OG175	36.0
OG183	1.0
OG195	7.0
OG196	7.0
OG204	111.0
OG213	221.0
OG231	97.0
OG242	129.0
OG243	993.0
OG244	687.0
OG245	284.0
OG273	165.0
OG304	1177.0
OG305	256.0
OG306	6.0
OG310	5.0
OG336	267.0
OG342	472.0
OG349	0.0
OG356	8.0
OG361	404.0
OG369	40.0
OG370	249.0
OG371	188.0
OG372	101.0
OG373	1779.0
OG374	463.0
OG375	127.0
OG376	15.0
OG377	376.0
OG378	468.0
OG379	636.0
OG380	350.0
OG381	684.0
OG382	1.0
OG383	111.0
OG384	1658.0
OG385	454.0
OG386	843.0
OG387	460.0
OG388	162.0
OG389	1066.0
OG390	127.0
OG391	446.0
OG392	758.0
OG393	372.0
OG394	842.0
OG395	172.0
OG396	539.0
OG397	618.0
OG398	36.0
OG399	550.0
OG400	260.0
OG401	2399.0
OG402	40.0
OG403	2456.0
OG404	17.0
OG405	162.0
OG406	1007.0
OG407	290.0
OG408	225.0
OG409	838.0
OG410	571.0
OG411	2677.0
OG412	190.0
OG413	2164.0
OG414	505.0
OG415	636.0
OG416	663.0
OG417	433.0
OG418	455.0
OG419	364.0
OG420	3945.0
OG421	8.0
OG422	343.0
OG423	47.0
OG424	305.0
OG425	609.0
OG426	286.0
OG427	242.0
OG428	2698.0
OG429	9500.0
OG430	1133.0
OG431	260.0
OG432	859.0
OG433	1372.0
OG434	2099.0
OG435	394.0
OG436	174.0
OG437	259.0
OG438	3673.0
OG439	11.0
OG440	602.0
OG441	692.0
OG442	76.0
OG443	2216.0
OG444	1099.0
OG445	514.0
OG446	170.0
OG447	1538.0
OG448	1368.0
OG449	272.0
OG450	569.0
OG451	514.0
OG452	582.0
OG453	21.0
OG454	200.0
OG455	144.0
OG456	81.0
OG457	986.0
OG458	63.0
OG459	1191.0
OG460	112.0
OG461	1213.0
OG462	684.0
OG463	541.0
OG464	35.0
OG465	341.0
OG466	1029.0
OG467	769.0
OG468	761.0
OG469	38.0
OG470	18.0
OG471	138.0
OG472	1644.0
OG473	110.0
OG474	84.0
OG475	227.0
OG476	23873.0
OG477	896.0
OG478	1660.0
OG479	212.0
OG480	1624.0
OG481	2893.0
OG482	1499.0
OG483	1168.0
OG484	35.0
OG485	1076.0
OG486	469.0
OG487	429.0
OG488	98.0
OG489	1329.0
OG490	999.0
OG491	270.0
OG492	283.0
OG493	11.0
OG494	255.0
OG495	552.0
OG496	1183.0
OG497	103.0
OG498	1287.0
OG499	2304.0
OG500	106.0
OG501	148.0
OG502	71.0
OG503	1142.0
OG504	609.0
OG505	163.0
OG506	322.0
OG507	7.0
OG508	274.0
OG509	175.0
OG510	267.0
OG511	843.0
OG512	197.0
OG513	124.0
OG514	72.0
OG515	85.0
OG516	113.0
OG517	3.0
OG518	120.0
OG519	889.0
OG520	773.0
OG521	1075.0
OG522	602.0
OG523	2328.0
OG524	948.0
OG525	2219.0
OG526	211.0
OG527	3.0
OG528	717.0
OG529	23.0
OG530	419.0
OG531	97.0
OG532	802.0
OG533	395.0
OG534	244.0
OG535	76.0
OG536	691.0
OG537	642.0
OG538	628.0
OG539	379.0
OG540	317.0
OG541	931.0
OG542	455.0
OG543	253.0
OG544	151.0
OG545	740.0
OG546	793.0
OG547	353.0
OG548	82.0
OG549	61.0
OG550	377.0
OG551	345.0
OG552	33.0
OG553	442.0
OG554	3319.0
OG555	1582.0
OG556	650.0
OG557	1892.0
OG558	422.0
OG559	13.0
OG560	6.0
OG561	144.0
OG562	201.0
OG563	285.0
OG564	630.0
OG565	47.0
OG566	492.0
OG567	107.0
OG568	1320.0
OG569	849.0
