OG	sample_5C
OG14	250.0
OG36	1497.0
OG39	782.0
OG58	341.0
OG100	777.0
OG103	432.0
OG104	162.0
OG112	531.0
OG124	4309.0
OG134	163.0
OG136	6.0
OG175	111.0
OG183	1.0
OG195	14.0
OG196	18.0
OG204	323.0
OG213	456.0
OG231	101.0
OG242	130.0
OG243	903.0
OG244	514.0
OG245	449.0
OG273	166.0
OG304	1020.0
OG305	605.0
OG306	16.0
OG310	6.0
OG336	473.0
OG342	522.0
OG349	4.0
OG356	23.0
OG361	1139.0
OG369	38.0
OG370	147.0
OG371	329.0
OG372	227.0
OG373	3195.0
OG374	762.0
OG375	230.0
OG376	45.0
OG377	1553.0
OG378	1336.0
OG379	1068.0
OG380	641.0
OG381	1489.0
OG382	10.0
OG383	195.0
OG384	4145.0
OG385	978.0
OG386	1732.0
OG387	375.0
OG388	350.0
OG389	1213.0
OG390	308.0
OG391	851.0
OG392	1722.0
OG393	259.0
OG394	3015.0
OG395	352.0
OG396	1840.0
OG397	1906.0
OG398	61.0
OG399	1571.0
OG400	633.0
OG401	5138.0
OG402	58.0
OG403	5666.0
OG404	29.0
OG405	538.0
OG406	1046.0
OG407	639.0
OG408	609.0
OG409	1013.0
OG410	1019.0
OG411	5886.0
OG412	583.0
OG413	1255.0
OG414	1106.0
OG415	968.0
OG416	1224.0
OG417	881.0
OG418	1018.0
OG419	937.0
OG420	10537.0
OG421	17.0
OG422	1246.0
OG423	108.0
OG424	538.0
OG425	1434.0
OG426	403.0
OG427	986.0
OG428	1153.0
OG429	7156.0
OG430	2685.0
OG431	282.0
OG432	819.0
OG433	2329.0
OG434	3811.0
OG435	869.0
OG436	350.0
OG437	752.0
OG438	5311.0
OG439	10.0
OG440	662.0
OG441	840.0
OG442	423.0
OG443	4735.0
OG444	1238.0
OG445	713.0
OG446	186.0
OG447	4801.0
OG448	1404.0
OG449	734.0
OG450	894.0
OG451	1245.0
OG452	1077.0
OG453	19.0
OG454	287.0
OG455	255.0
OG456	83.0
OG457	2046.0
OG458	33.0
OG459	2160.0
OG460	153.0
OG461	2711.0
OG462	2199.0
OG463	1638.0
OG464	69.0
OG465	636.0
OG466	1860.0
OG467	1645.0
OG468	1389.0
OG469	112.0
OG470	57.0
OG471	431.0
OG472	3052.0
OG473	161.0
OG474	191.0
OG475	352.0
OG476	34300.0
OG477	746.0
OG478	4328.0
OG479	507.0
OG480	4263.0
OG481	3012.0
OG482	3884.0
OG483	2725.0
OG484	131.0
OG485	1343.0
OG486	1558.0
OG487	327.0
OG488	517.0
OG489	2818.0
OG490	2415.0
OG491	297.0
OG492	627.0
OG493	33.0
OG494	587.0
OG495	1170.0
OG496	3159.0
OG497	286.0
OG498	1950.0
OG499	3862.0
OG500	215.0
OG501	678.0
OG502	114.0
OG503	1881.0
OG504	951.0
OG505	125.0
OG506	345.0
OG507	36.0
OG508	442.0
OG509	550.0
OG510	840.0
OG511	1536.0
OG512	520.0
OG513	279.0
OG514	279.0
OG515	61.0
OG516	276.0
OG517	9.0
OG518	300.0
OG519	1252.0
OG520	1569.0
OG521	1282.0
OG522	892.0
OG523	3156.0
OG524	1803.0
OG525	3442.0
OG526	306.0
OG527	13.0
OG528	998.0
OG529	47.0
OG530	343.0
OG531	188.0
OG532	965.0
OG533	538.0
OG534	640.0
OG535	189.0
OG536	1366.0
OG537	869.0
OG538	1061.0
OG539	637.0
OG540	588.0
OG541	1643.0
OG542	668.0
OG543	272.0
OG544	266.0
OG545	1261.0
OG546	2666.0
OG547	1713.0
OG548	555.0
OG549	83.0
OG550	1482.0
OG551	1511.0
OG552	171.0
OG553	521.0
OG554	6393.0
OG555	2239.0
OG556	1045.0
OG557	4197.0
OG558	515.0
OG559	17.0
OG560	13.0
OG561	297.0
OG562	364.0
OG563	786.0
OG564	832.0
OG565	126.0
OG566	635.0
OG567	299.0
OG568	3278.0
OG569	1873.0
OG570	600.0
OG571	666.0
OG572	1605.0
OG573	281.0
OG574	489.0
OG575	713.0
OG576	605.0
OG577	941.0
OG578	119.0
OG579	622.0
OG580	996.0
OG581	565.0
OG582	453.0
OG583	365.0
OG584	537.0
OG585	1059.0
OG586	228.0
OG587	300.0
OG588	155.0
OG589	532.0
OG590	3461.0
OG591	1710.0
OG592	256.0
OG593	2815.0
OG594	441.0
OG595	6619.0
OG596	258.0
OG597	1542.0
OG598	2170.0
OG599	603.0
OG600	38.0
OG601	1045.0
OG602	3147.0
OG603	59.0
OG604	8115.0
OG605	1213.0
OG606	607.0
OG607	1317.0
OG608	65.0
OG609	355.0
OG610	6640.0
OG611	1481.0
OG612	1142.0
OG613	69.0
OG614	140.0
OG615	213.0
OG616	1710.0
OG617	25.0
OG618	191.0
OG619	1135.0
OG620	673.0
OG621	1583.0
OG622	868.0
OG623	345.0
OG624	337.0
OG625	1004.0
OG626	172.0
OG627	13742.0
OG628	278.0
OG629	544.0
OG630	348.0
OG631	2145.0
OG632	483.0
OG633	403.0
OG634	2659.0
OG635	2061.0
OG636	922.0
OG637	1466.0
OG638	1619.0
OG639	753.0
OG640	4067.0
