OG	sample_6A
OG14	156.0
OG36	835.0
OG39	418.0
OG58	227.0
OG100	565.0
OG103	300.0
OG104	137.0
OG112	311.0
OG124	2452.0
OG134	118.0
OG136	2.0
OG175	24.0
OG183	4.0
OG195	10.0
OG196	13.0
OG204	134.0
OG213	280.0
OG231	149.0
OG242	94.0
OG243	945.0
OG244	708.0
OG245	296.0
OG273	163.0
OG304	1610.0
OG305	371.0
OG306	8.0
OG310	2.0
OG336	264.0
OG342	427.0
OG349	1.0
OG356	17.0
OG361	585.0
OG369	32.0
OG370	256.0
OG371	180.0
OG372	120.0
OG373	1963.0
OG374	537.0
OG375	167.0
OG376	15.0
OG377	639.0
OG378	684.0
OG379	710.0
OG380	430.0
OG381	727.0
OG382	1.0
OG383	79.0
OG384	1899.0
OG385	659.0
OG386	847.0
OG387	443.0
OG388	164.0
OG389	1226.0
OG390	177.0
OG391	398.0
OG392	1048.0
OG393	482.0
OG394	1304.0
OG395	261.0
OG396	1192.0
OG397	939.0
OG398	46.0
OG399	677.0
OG400	335.0
OG401	3068.0
OG402	35.0
OG403	3138.0
OG404	15.0
OG405	298.0
OG406	1004.0
OG407	412.0
OG408	347.0
OG409	792.0
OG410	648.0
OG411	3524.0
OG412	255.0
OG413	1893.0
OG414	673.0
OG415	760.0
OG416	807.0
OG417	740.0
OG418	521.0
OG419	498.0
OG420	6023.0
OG421	8.0
OG422	658.0
OG423	66.0
OG424	404.0
OG425	876.0
OG426	380.0
OG427	469.0
OG428	2441.0
OG429	6260.0
OG430	1493.0
OG431	236.0
OG432	905.0
OG433	1678.0
OG434	2190.0
OG435	423.0
OG436	258.0
OG437	319.0
OG438	4052.0
OG439	10.0
OG440	594.0
OG441	714.0
OG442	222.0
OG443	3010.0
OG444	1063.0
OG445	465.0
OG446	177.0
OG447	2830.0
OG448	1032.0
OG449	415.0
OG450	657.0
OG451	713.0
OG452	735.0
OG453	27.0
OG454	242.0
OG455	157.0
OG456	66.0
OG457	1556.0
OG458	33.0
OG459	1243.0
OG460	97.0
OG461	1736.0
OG462	1026.0
OG463	958.0
OG464	27.0
OG465	545.0
OG466	1500.0
OG467	913.0
OG468	1036.0
OG469	56.0
OG470	23.0
OG471	280.0
OG472	1901.0
OG473	163.0
OG474	104.0
OG475	195.0
OG476	20172.0
OG477	695.0
OG478	2588.0
OG479	226.0
OG480	2406.0
OG481	2879.0
OG482	1975.0
OG483	1764.0
OG484	50.0
OG485	839.0
OG486	906.0
OG487	409.0
OG488	237.0
OG489	1927.0
OG490	1465.0
OG491	263.0
OG492	414.0
OG493	22.0
OG494	369.0
OG495	743.0
OG496	1688.0
OG497	146.0
OG498	1275.0
OG499	2468.0
OG500	132.0
OG501	323.0
OG502	97.0
OG503	1373.0
OG504	635.0
OG505	148.0
OG506	274.0
OG507	25.0
OG508	301.0
OG509	394.0
OG510	475.0
OG511	685.0
OG512	316.0
OG513	147.0
OG514	118.0
OG515	75.0
OG516	169.0
OG517	7.0
OG518	188.0
OG519	745.0
OG520	797.0
OG521	1273.0
OG522	628.0
OG523	2392.0
OG524	1139.0
OG525	2998.0
OG526	279.0
OG527	7.0
OG528	745.0
OG529	27.0
OG530	405.0
OG531	106.0
OG532	791.0
OG533	578.0
OG534	353.0
OG535	123.0
OG536	811.0
OG537	857.0
OG538	713.0
OG539	522.0
OG540	312.0
OG541	918.0
OG542	456.0
OG543	221.0
OG544	128.0
OG545	825.0
OG546	1061.0
OG547	565.0
OG548	143.0
OG549	68.0
OG550	652.0
OG551	618.0
OG552	69.0
OG553	638.0
OG554	3762.0
OG555	1492.0
OG556	965.0
OG557	2482.0
OG558	539.0
OG559	6.0
OG560	3.0
OG561	160.0
OG562	245.0
OG563	357.0
OG564	622.0
OG565	78.0
OG566	486.0
OG567	202.0
OG568	1732.0
OG569	1016.0
OG570	234.0
OG571	418.0
OG572	816.0
OG573	139.0
OG574	269.0
