OG	sample_1A
OG14	160.0
OG36	655.0
OG39	345.0
OG58	433.0
OG100	521.0
OG103	343.0
OG104	237.0
OG112	236.0
OG124	2410.0
OG134	149.0
OG136	23.0
OG175	55.0
OG183	12.0
OG195	24.0
OG196	10.0
OG204	137.0
OG213	270.0
OG231	134.0
OG242	131.0
OG243	1103.0
OG244	819.0
OG245	263.0
OG273	235.0
OG304	1860.0
OG305	310.0
OG306	24.0
OG310	17.0
OG336	317.0
OG342	398.0
OG349	24.0
OG356	22.0
OG361	457.0
OG369	23.0
OG370	310.0
OG371	228.0
OG372	101.0
OG373	1768.0
OG374	506.0
OG375	179.0
OG376	28.0
OG377	414.0
OG378	448.0
OG379	707.0
OG380	407.0
OG381	596.0
OG382	3.0
OG383	129.0
OG384	1469.0
OG385	587.0
OG386	902.0
OG387	493.0
OG388	162.0
OG389	1014.0
OG390	141.0
OG391	362.0
OG392	962.0
OG393	560.0
OG394	897.0
OG395	208.0
OG396	615.0
OG397	594.0
OG398	48.0
OG399	500.0
OG400	282.0
OG401	2618.0
OG402	66.0
OG403	2568.0
OG404	40.0
OG405	214.0
OG406	1156.0
OG407	260.0
OG408	234.0
OG409	815.0
OG410	575.0
OG411	3063.0
OG412	160.0
OG413	2953.0
OG414	572.0
OG415	776.0
OG416	697.0
OG417	555.0
OG418	493.0
OG419	441.0
OG420	4633.0
OG421	16.0
OG422	449.0
OG423	69.0
OG424	402.0
OG425	755.0
OG426	376.0
OG427	256.0
OG428	3654.0
OG429	8377.0
OG430	1428.0
OG431	328.0
OG432	950.0
OG433	2012.0
OG434	2547.0
OG435	445.0
OG436	247.0
OG437	260.0
OG438	4222.0
OG439	18.0
OG440	884.0
OG441	938.0
OG442	111.0
OG443	2204.0
OG444	1298.0
OG445	561.0
OG446	237.0
OG447	2035.0
OG448	1486.0
OG449	336.0
OG450	725.0
OG451	524.0
OG452	629.0
OG453	24.0
OG454	153.0
OG455	118.0
OG456	77.0
OG457	1029.0
OG458	74.0
OG459	1100.0
OG460	104.0
OG461	1224.0
OG462	630.0
OG463	617.0
OG464	34.0
OG465	518.0
OG466	1297.0
OG467	775.0
OG468	852.0
OG469	43.0
OG470	20.0
OG471	264.0
OG472	1950.0
OG473	131.0
OG474	82.0
OG475	235.0
OG476	21157.0
OG477	1000.0
OG478	1937.0
OG479	240.0
OG480	1824.0
OG481	2807.0
OG482	1681.0
OG483	1411.0
OG484	42.0
OG485	919.0
OG486	550.0
OG487	513.0
OG488	115.0
OG489	1328.0
OG490	1135.0
OG491	296.0
OG492	325.0
OG493	25.0
OG494	316.0
OG495	787.0
OG496	1244.0
OG497	96.0
OG498	1403.0
OG499	2840.0
OG500	115.0
OG501	189.0
OG502	78.0
OG503	1137.0
OG504	754.0
OG505	182.0
OG506	390.0
OG507	30.0
OG508	302.0
OG509	387.0
OG510	298.0
OG511	873.0
OG512	358.0
OG513	146.0
OG514	77.0
OG515	75.0
OG516	112.0
OG517	3.0
OG518	135.0
OG519	907.0
OG520	851.0
OG521	1346.0
OG522	756.0
OG523	2291.0
OG524	1190.0
OG525	2254.0
OG526	276.0
OG527	18.0
OG528	976.0
OG529	51.0
OG530	550.0
OG531	95.0
OG532	1026.0
OG533	564.0
OG534	264.0
OG535	114.0
OG536	905.0
OG537	683.0
OG538	739.0
OG539	392.0
OG540	350.0
OG541	887.0
OG542	444.0
OG543	238.0
OG544	196.0
OG545	898.0
OG546	591.0
OG547	347.0
OG548	120.0
OG549	82.0
OG550	419.0
OG551	362.0
OG552	57.0
OG553	661.0
OG554	3351.0
OG555	1493.0
OG556	960.0
OG557	1863.0
OG558	615.0
OG559	12.0
OG560	12.0
OG561	196.0
OG562	270.0
OG563	292.0
OG564	706.0
OG565	84.0
OG566	544.0
OG567	149.0
OG568	1406.0
OG569	1012.0
OG570	135.0
OG571	553.0
OG572	774.0
OG573	89.0
OG574	220.0
OG575	325.0
OG576	447.0
OG577	257.0
OG578	154.0
OG579	293.0
OG580	311.0
OG581	535.0
OG582	297.0
OG583	138.0
OG584	585.0
OG585	825.0
OG586	97.0
OG587	129.0
OG588	99.0
OG589	832.0
OG590	2903.0
OG591	453.0
OG592	98.0
OG593	1935.0
OG594	305.0
OG595	2352.0
OG596	85.0
OG597	847.0
OG598	2120.0
OG599	182.0
OG600	34.0
OG601	456.0
OG602	3298.0
OG603	27.0
OG604	2443.0
OG605	1437.0
OG606	102.0
OG607	1149.0
OG608	74.0
OG609	243.0
OG610	3784.0
OG611	820.0
OG612	389.0
OG613	27.0
OG614	80.0
OG615	83.0
OG616	796.0
OG617	10.0
OG618	184.0
OG619	1324.0
OG620	200.0
OG621	596.0
OG622	554.0
OG623	450.0
OG624	293.0
OG625	467.0
OG626	147.0
OG627	6536.0
OG628	133.0
OG629	489.0
OG630	236.0
OG631	2005.0
OG632	268.0
OG633	406.0
OG634	950.0
OG635	1208.0
OG636	330.0
OG637	816.0
OG638	597.0
OG639	397.0
OG640	1437.0
OG641	2799.0
OG642	472.0
OG643	836.0
OG644	74.0
OG645	658.0
OG646	3108.0
OG647	170.0
OG648	273.0
OG649	25.0
OG650	1766.0
OG651	1835.0
OG652	311.0
OG653	463.0
OG654	313.0
OG655	77.0
OG656	44.0
OG657	1357.0
OG658	348.0
OG659	130.0
OG660	572.0
OG661	510.0
OG662	81.0
OG663	1584.0
OG664	236.0
OG665	195.0
OG666	14.0
OG667	25.0
OG668	4552.0
OG669	702.0
OG670	52.0
OG671	30.0
OG672	93.0
OG673	1276.0
OG674	33.0
OG675	229.0
OG676	710.0
OG677	65.0
OG678	4772.0
OG679	86.0
OG680	223.0
OG681	820.0
OG682	1869.0
OG683	530.0
OG684	2562.0
OG685	2064.0
OG686	240.0
OG687	2122.0
OG688	2794.0
OG689	492.0
OG690	885.0
OG691	72.0
OG692	208.0
OG693	2589.0
OG694	63.0
OG695	32.0
OG696	150.0
OG697	100.0
OG698	212.0
OG699	65.0
OG700	101.0
OG701	199.0
OG702	10020.0
OG703	174.0
OG704	10.0
OG705	18.0
OG706	109.0
OG707	571.0
OG708	91.0
OG709	1111.0
OG710	304.0
OG711	342.0
OG712	556.0
OG713	1593.0
OG714	1239.0
OG715	31.0
OG716	632.0
OG717	2477.0
OG718	713.0
OG719	2598.0
OG720	202.0
OG721	72.0
OG722	668.0
