OGs,TPM
OG4585,0.00554002603147939
OG3188,0
OG132,0.000408255293739779
OG1502,0
OG482,5.68170452323186e-05
OG1499,0
OG1059,0.000248402388358987
OG490,0.000155010402196438
OG337,0
OG836,0
OG1919,0
OG2109,0
OG3189,0
OG4302,0
OG3190,0
OG3191,0
OG3177,0
OG3192,0.00145401317643702
OG3193,0
OG1497,0.000440880603417693
OG520,0.000137312149574049
OG521,4.84500629957288e-05
OG1496,0
OG1495,0
OG1487,8.75069184236008e-05
OG3167,0
OG3194,6.586353587837e-05
OG1486,0.000159691305060815
OG1006,0.000227148708071588
OG865,0.000798790931365549
OG1485,0.00021514534218051
OG1484,0.000198208090198903
OG322,0
OG567,0
OG1483,0.000344766637288893
OG1482,0.0017437195541995
OG317,0
OG3195,0
OG316,7.70499654109973e-05
OG1481,0
OG1938,0
OG1940,0
OG1946,0
OG1954,0
OG639,5.64931564574703e-05
OG309,0
OG642,6.28564309588546e-05
OG645,8.3856331394015e-05
OG648,0
OG653,0
OG1479,0.000329751690734674
OG826,0.000101049207481583
OG792,0
OG675,0
OG676,0
OG686,0
OG1478,0
OG1477,0.000113036068331797
OG1464,7.52250978091579e-05
OG2956,0
OG3196,0
OG2189,5.84941892066643e-05
OG2823,0
OG2822,0
OG2188,0
OG4414,0
OG1085,0
OG1134,0
OG1492,0.000949479816507501
OG799,0.00095394691411007
OG1490,0.00256344994153866
OG1489,0.00146190004275148
OG1488,0.000255458106679894
OG727,0
OG903,0
OG1717,6.55631586410092e-05
OG1710,6.586353587837e-05
OG1622,0.000530950995028149
OG1576,0.000160239747684403
OG1574,0.000145822655645301
OG1573,0.000154461121488679
OG1570,0
OG1560,0
OG3739,0
OG3736,0
OG868,0
OG1552,9.96434009236044e-05
OG1520,0.000245745904969575
OG379,0.000144842754226026
OG4530,2.30752013985164e-05
OG3607,0
OG385,8.45873186602565e-05
OG393,0
OG1440,2.93064794133056e-05
OG1434,9.95790053183289e-05
OG1387,0
OG1041,2.82917947900344e-05
OG447,0
OG1385,0.00114799900594591
OG448,4.68615363401311e-05
OG1124,0.00156651624716482
OG1347,0.00323524913048177
OG466,0
OG1326,0
OG479,0
OG484,0
OG822,0
OG494,0
OG4390,0
OG919,0
OG4345,0
OG298,0
OG3155,0
OG1155,0
OG517,0
OG515,0
OG1720,0.000115458555112475
OG4508,0
OG514,0
OG4504,5.43160328347597e-05
OG36,0.00011673337178073
OG14,0
OG1002,0
OG1724,0
OG1723,0.000182721271292685
OG3197,7.04741450708958e-05
OG1713,0.0037496747983141
OG1711,0.00594488579786956
OG1147,0.00719211313749327
OG1683,0.0031224189035445
OG355,0.000645108829467351
OG1680,0.0122454875936658
OG1676,0.00606305320172367
OG1634,0.00167288007267387
OG786,0.000679584749807514
OG4148,0
OG6216,0
OG161,0
OG183,0
OG1016,0.000135776907603213
OG889,0
OG366,0
OG390,0
OG1554,0.000485258819658319
OG388,0
OG1884,0
OG200,0
OG206,0
OG1925,0
OG3090,0
OG457,6.59926925754587e-05
OG452,0.00014037152351514
OG451,0.000329637892697624
OG1333,0.0101115998228021
OG1341,0.00792251399208149
OG1344,0.00775933741412311
OG1361,0
OG446,7.21092160047672e-05
OG445,0
OG1364,0.000383308198820925
OG3198,0
OG3199,0
OG3200,0
OG199,0
OG181,0
OG192,0
OG223,0
OG1921,0
OG1817,1.59783554088882e-05
OG575,0
OG576,4.56637973921406e-05
OG6217,0
OG2,0
OG578,0
OG1645,7.77732182394709e-05
OG4438,0
OG1644,8.29887792259443e-05
OG1641,3.91582700924383e-05
OG1640,0.000177258112110987
OG1639,0.00176613868077308
OG1638,0.0107668138944351
OG1637,0.0159036572351762
OG1635,3.73179336390078e-05
OG1632,7.06934923252258e-05
OG787,0
OG1628,0.000171442125891136
OG1627,0.000266716957940364
OG592,0
OG1625,0
OG1623,0
OG1621,0
OG1830,0
OG1617,0
OG832,0
OG599,0
OG600,0
OG1604,3.38811493705046e-05
OG611,3.61751855257992e-05
OG612,5.45525518463359e-05
OG1027,9.39850455792471e-05
OG614,0
OG261,0
OG1856,0
OG194,0
OG790,0
OG1859,0
OG3165,4.1466481319125e-05
OG4335,0
OG3201,0
OG326,0
OG1337,0.000358038495796896
OG897,0.00010588188679181
OG2157,0
OG1320,0.000200927047314327
OG1315,0.000128190523540686
OG458,0
OG6218,0
OG210,0
OG6219,0
OG6220,0
OG3411,0
OG4320,0
OG1038,0
OG2490,1.52374931596375e-05
OG2489,0
OG2488,0
OG947,0
OG125,0
OG2203,0
OG978,0
OG955,0
OG2961,0
OG2960,0
OG4391,0
OG1970,0.0115174265965467
OG2527,0
OG173,0
OG4332,0
OG2132,3.68468733207079e-05
OG2131,0
OG972,0.000197039308395842
OG3048,0
OG2486,0
OG3442,0
OG920,0
OG4371,0
OG6221,0
OG4388,0
OG839,0
OG3598,0
OG3599,0
OG3600,0
OG3601,0
OG3602,0
OG6222,0
OG6223,0
OG936,0
OG4162,0
OG127,0
OG1046,0
OG142,0
OG141,0.000803553056316657
OG126,0
OG6224,0
OG90,0.000234866998547057
OG1281,0.000379257217940954
OG862,0.000322096970368911
OG643,0.00028222941221776
OG2263,0
OG1291,0
OG646,0.0010043422032383
OG647,0.000106040238487839
OG1292,0.000330757546445248
OG1294,0
OG651,0.000344852447930778
OG661,0.000259676081239004
OG1295,0.000345780445110028
OG1142,0.00157991243606047
OG1141,0.00202317933890837
OG666,0
OG4393,0
OG4548,0
OG159,7.19754986627299e-05
OG848,0.000501500652061052
OG1140,0.000680715379004707
OG1139,0.000639622713281666
OG1138,0.000284080430824443
OG6225,0
OG6226,0
OG1052,0
OG6227,0
OG1491,0.000178093221050088
OG2176,0.00019694158483022
OG1480,5.69433011304382e-05
OG4432,0
OG4431,0
OG4430,0
OG878,3.86291042803784e-05
OG734,4.22227089419662e-05
OG1474,0
OG1473,0
OG1018,9.32995690130706e-05
OG1472,0
OG3202,0
OG3203,0
OG867,0
OG155,0.000126484677732212
OG252,0
OG744,0
OG165,0
OG815,0
OG746,5.37203672894962e-05
OG1470,0.000404634447212125
OG1465,0.00175876588235452
OG1463,0.000118081624860763
OG6228,0
OG3162,0
OG1983,0
OG1989,0
OG225,0
OG4387,3.46848220771707e-05
OG238,0
OG1081,4.40245739818579e-05
OG1082,0
OG4603,0
OG757,8.64541098946223e-05
OG1432,0
OG1430,0.00223697097044704
OG760,7.87040863564129e-05
OG1415,5.67096207223932e-05
OG762,0
OG763,0
OG764,5.38421365965383e-05
OG3204,0
OG3205,0
OG91,0
OG2210,0
OG3206,0
OG493,0
OG71,0
OG1047,1.85712182378434e-05
OG496,3.17152311459061e-05
OG502,0
OG503,0.00174957493738477
OG504,0.000458316106227864
OG4384,0.000497930026803747
OG3207,0
OG1163,0.00120698873051081
OG1164,0.00050328642545798
OG1165,0.00134011909791753
OG508,0
OG271,0
OG4560,0
OG509,0
OG280,0.000154795327621733
OG510,6.63153878250515e-05
OG179,0
OG512,3.56186442100176e-05
OG342,0.000111487686113876
OG4344,0
OG782,0
OG3208,0
OG3209,0
OG1158,0
OG1042,0
OG1171,0
OG4439,0
OG1172,0
OG3123,0
OG2757,0.00073481871113099
OG2756,0
OG1976,0.000768048733569254
OG1975,0
OG270,0
OG1726,0
OG3122,0
OG3121,0
OG930,0
OG1725,0.000126284284017335
OG775,0
OG2755,0.000247724462437209
OG1734,0
OG863,0
OG1737,0
OG336,0
OG1738,0
OG1740,8.36466905655299e-05
OG1741,0
OG3120,0
OG1743,4.03116581038698e-05
OG2754,0
OG2753,6.91108021985417e-05
OG1744,0.000113292676739799
OG77,7.16445882144249e-05
OG3164,0
OG1080,0
OG1986,6.55858492533742e-05
OG1985,0
OG3701,4.71248960932563e-05
OG3700,4.92039356267823e-05
OG3699,8.0158663233018e-05
OG756,3.98030694610512e-05
OG260,0
OG796,0
OG1982,0
OG1981,0
OG838,0
OG1745,0
OG4442,0
OG998,4.42397173309136e-05
OG2752,0
OG2751,5.576446037702e-05
OG2750,0
OG1746,0
OG1749,0
OG1054,0
OG1705,6.49671299260909e-05
OG1702,0.000213711865260106
OG964,0.000115374745607627
OG1754,0.000243498434519084
OG1755,0
OG1756,0.000202758867299647
OG1757,4.07283812509348e-05
OG1758,0
OG1759,4.73270482905298e-05
OG1760,0.00285469185832365
OG2749,0.000280250364387059
OG1761,0.000244331307474515
OG166,0.000354022463129578
OG1769,0.000161732490113498
OG1684,0.000205444415210901
OG776,2.9000566267029e-05
OG4410,0
OG1146,0
OG15,0
OG1775,0
OG2748,4.07201384152137e-05
OG2935,0
OG1145,0
OG1777,0.000315075076570688
OG1778,0
OG1779,0.00157756855244312
OG2747,0.000131554025012662
OG1679,9.55028896199039e-05
OG1781,0.000740653529517694
OG2508,0
OG1678,0.000650785727573676
OG1671,0.000136188933744185
OG1789,0.00492083128542101
OG2746,0.000109905878017086
OG1663,0.000169687397600897
OG2934,0
OG942,0
OG1795,0.000172957539238878
OG1798,0
OG2933,0
OG204,5.51240922297892e-05
OG1799,6.21424721032174e-05
OG1803,0
OG1804,0
OG3163,0
OG929,0
OG2931,0
OG2930,0
OG2054,2.58168798041759e-05
OG2059,0
OG2060,0
OG135,0
OG2745,0
OG376,0
OG2744,0.000824294085128143
OG2064,9.92553373870833e-05
OG2065,0.00455197562202457
