Id,log2FoldChange.minus10675vsAll
OG100,-0.09699999999999999
OG1001,-0.8809999999999999
OG1002,-0.051
OG1004,0.851
OG1005,-0.7
OG1006,-1.065
OG1007,-0.828
OG1008,-1.6019999999999999
OG1009,0.645
OG1010,-0.21600000000000003
OG1011,-0.41700000000000004
OG1012,0.7490000000000001
OG1013,-0.748
OG1014,0.502
OG1015,-0.073
OG1016,-0.045
OG1017,0.569
OG1018,0.29600000000000004
OG1019,0.626
OG1020,-1.431
OG1021,-0.401
OG1022,0.782
OG1023,0.09
OG1024,-0.24
OG1025,0.05
OG1026,0.7909999999999999
OG1027,0.05
OG103,-0.27699999999999997
OG1039,-0.185
OG104,-1.0090000000000001
OG1040,-0.687
OG1041,-0.145
OG1042,-1.113
OG1054,-0.38299999999999995
OG1059,0.52
OG1060,-0.518
OG1061,0.498
OG1062,-0.18600000000000003
OG1063,-0.08900000000000001
OG1064,0.254
OG1075,0.287
OG1076,-0.444
OG1077,-0.569
OG1078,-0.595
OG1079,-0.20800000000000002
OG1119,-0.485
OG112,0.617
OG1160,0.299
OG1161,0.593
OG1162,0.461
OG1163,-0.374
OG1164,-0.515
OG1165,-0.39899999999999997
OG1166,1.53
OG1167,0.565
OG1168,0.531
OG1169,-0.142
OG1170,-0.409
OG1171,-1.65
OG1172,-0.319
OG1173,-0.08900000000000001
OG1174,0.8440000000000001
OG1175,0.758
OG1176,-0.271
OG1177,0.205
OG1178,0.589
OG1179,0.43
OG1180,0.29
OG1181,-0.244
OG1182,0.076
OG1183,0.095
OG1184,-0.024
OG1185,0.8270000000000001
OG1186,0.268
OG1187,0.382
OG1188,0.5539999999999999
OG1189,0.034
OG1190,0.626
OG1191,0.478
OG1192,0.787
OG1193,0.773
OG1194,-1.219
OG1195,0.012
OG1196,-0.006
OG1197,1.5190000000000001
OG1198,0.358
OG1199,-1.421
OG1200,0.32299999999999995
OG1201,-0.113
OG1202,0.8290000000000001
OG1203,0.172
OG1204,-0.106
OG1205,0.8220000000000001
OG1206,0.035
OG1207,0.365
OG1208,0.128
OG1209,-0.01
OG1210,-0.10400000000000001
OG1211,-0.05
