Id,log2FoldChange.minus5614vsAll
OG1409,0.28300000000000003
OG1410,-0.8370000000000001
OG1411,0.254
OG1412,-0.157
OG1413,0.11599999999999999
OG1414,-0.255
OG1415,0.287
OG1416,0.41100000000000003
OG1417,0.435
OG1418,0.293
OG1419,-0.669
OG1420,0.19899999999999998
OG1421,-0.127
OG1422,0.51
OG1423,0.39299999999999996
OG1424,0.35
OG1425,0.32799999999999996
OG1426,0.235
OG1427,-0.126
OG1428,0.262
OG1429,-0.325
OG1430,0.045
OG1431,0.161
OG1432,0.6890000000000001
OG1433,0.17
OG1434,0.254
OG1435,0.168
OG1436,0.396
OG1437,-0.213
OG1438,0.263
OG1439,0.71
OG1440,0.9359999999999999
OG1441,-0.17800000000000002
OG1442,-0.546
OG1443,0.077
OG1444,0.409
OG1445,0.326
OG1446,0.361
OG1447,0.038
OG1448,0.59
OG1449,-1.166
OG1450,-0.204
OG1451,-0.057999999999999996
OG1452,-0.002
OG1453,-0.154
OG1454,-0.359
OG1455,-0.397
OG1456,0.309
OG1457,0.233
OG1458,0.084
OG1459,0.39299999999999996
OG1460,-0.011000000000000001
OG1461,-0.16699999999999998
OG1462,0.06
OG1463,0.353
OG1464,0.381
OG1465,0.23399999999999999
OG1466,0.43700000000000006
OG1467,0.308
OG1468,0.045
OG1469,-1.395
OG1470,0.282
OG1471,0.337
OG1472,-0.001
OG1473,-2.823
OG1474,-0.087
OG1475,-0.027000000000000003
OG1476,0.42
OG1477,0.335
OG1478,0.095
OG1479,0.636
OG1480,-0.691
OG1481,0.064
OG1482,0.271
OG1483,0.013999999999999999
OG1484,0.055999999999999994
OG1485,0.389
OG1486,-0.364
OG1487,0.332
OG1488,-0.16699999999999998
OG1489,0.43700000000000006
OG1490,0.37799999999999995
OG1491,-1.507
OG1492,0.159
OG1493,0.038
OG1494,0.546
OG1495,0.209
OG1496,-0.8590000000000001
OG1497,-0.557
OG1498,-0.9209999999999999
OG1499,-0.177
OG1500,0.385
OG1501,-0.733
OG1502,-0.21899999999999997
OG1503,-0.9540000000000001
OG1504,-0.33
OG1505,-0.055999999999999994
OG1506,0.267
OG1507,0.051
OG1508,-0.209
OG1509,0.083
OG1510,-0.7509999999999999
OG1511,0.141
OG1512,-0.146
OG1513,0.071
OG1514,0.071
OG1515,0.129
OG1516,0.45799999999999996
OG1517,-0.172
OG1518,0.171
OG1519,-1.004
OG1520,0.064
OG1521,0.081
OG1522,-0.521
OG1523,0.26899999999999996
OG1524,0.257
OG1525,0.055
OG1526,0.777
OG1527,-0.49200000000000005
OG1528,-0.62
OG1529,0.085
OG1530,-0.017
OG1531,0.016
OG1532,0.078
OG1533,-0.157
OG1534,-0.361
OG1535,-0.389
OG1536,-0.39799999999999996
OG1537,-0.185
OG1538,0.555
OG1539,0.168
OG1540,0.217
OG1541,0.284
OG1542,0.084
OG1543,-0.08800000000000001
OG1544,-0.447
OG1545,0.138
OG1546,0.507
OG1547,0.467
OG1548,0.046
OG1549,0.42700000000000005
OG1550,0.307
OG1551,0.45399999999999996
OG1552,-0.087
OG1553,1.17
OG1554,0.158
OG1555,-0.24600000000000002
OG1556,-0.465
OG1557,0.19
OG1558,-0.033
OG1559,-0.217
OG1560,-0.126
OG1561,-0.36
OG1562,0.9209999999999999
OG1563,0.36700000000000005
OG1564,0.304
OG1565,-0.067
OG1566,-0.35200000000000004
OG1567,0.159
OG1568,0.045
OG1569,0.575
