OG	sample_1A
OG0	270.0
OG1	9.0
OG2	268.0
OG3	12.0
OG4	13.0
OG5	0.0
OG6	1.0
OG7	40.0
OG8	319.0
OG9	3.0
OG10	20.0
OG11	14.0
OG12	4.0
OG13	0.0
OG14	160.0
OG15	59.0
OG16	1.0
OG17	0.0
OG18	22.0
OG19	32.0
OG20	0.0
OG21	110.0
OG22	0.0
OG23	22.0
OG24	13.0
OG25	1.0
OG26	514.0
OG27	39.0
OG28	13.0
OG29	481.0
OG30	124.0
OG31	75.0
OG32	0.0
OG33	6.0
OG34	10.0
OG35	146.0
OG36	655.0
OG37	41.0
OG38	78.0
OG39	345.0
OG40	0.0
OG41	270.0
OG42	1.0
OG43	79.0
OG44	384.0
OG45	0.0
OG46	11.0
OG47	42.0
OG48	148.0
OG49	15.0
OG50	112.0
OG51	5.0
OG52	0.0
OG53	5.0
OG54	0.0
OG55	0.0
OG56	31.0
OG57	20.0
OG58	433.0
OG59	13.0
OG60	23.0
OG61	1.0
OG62	2.0
OG63	0.0
OG64	6.0
OG65	0.0
OG66	2.0
OG67	13.0
OG68	5.0
OG69	0.0
OG70	6.0
OG71	464.0
OG72	0.0
OG73	159.0
OG74	33.0
OG75	263.0
OG76	2.0
OG77	131.0
OG78	2.0
OG79	7.0
OG80	221.0
OG81	72.0
OG82	630.0
OG83	4.0
OG84	23.0
OG85	10.0
OG86	21.0
OG87	4.0
OG88	4.0
OG89	18.0
OG90	177.0
OG91	12.0
OG92	22.0
OG93	10.0
OG94	75.0
OG95	3.0
OG96	4.0
OG97	31.0
OG98	1.0
OG99	90.0
OG100	521.0
OG101	5.0
OG102	185.0
OG103	343.0
OG104	237.0
OG105	0.0
OG106	14.0
OG107	1.0
OG108	0.0
OG109	0.0
OG110	2.0
OG111	7.0
OG112	236.0
OG113	119.0
OG114	2.0
OG115	2.0
OG116	18.0
OG117	0.0
OG118	14.0
OG119	1.0
OG120	44.0
OG121	9.0
OG122	27.0
OG123	37.0
OG124	2410.0
OG125	17.0
OG126	70.0
OG127	10.0
OG128	103.0
OG129	7.0
OG130	91.0
OG131	60.0
OG132	263.0
OG133	367.0
OG134	149.0
OG135	6.0
OG136	23.0
OG137	16.0
OG138	2.0
OG139	3.0
OG140	20.0
OG141	406.0
OG142	297.0
