OG	sample_6A
OG0	44.0
OG1	6.0
OG2	514.0
OG3	8.0
OG4	5.0
OG5	0.0
OG6	0.0
OG7	26.0
OG8	618.0
OG9	0.0
OG10	0.0
OG11	0.0
OG12	5.0
OG13	0.0
OG14	156.0
OG15	84.0
OG16	0.0
OG17	0.0
OG18	10.0
OG19	25.0
OG20	0.0
OG21	74.0
OG22	0.0
OG23	12.0
OG24	7.0
OG25	0.0
OG26	585.0
OG27	21.0
OG28	26.0
OG29	480.0
OG30	176.0
OG31	53.0
OG32	0.0
OG33	5.0
OG34	3.0
OG35	138.0
OG36	835.0
OG37	30.0
OG38	38.0
OG39	418.0
OG40	0.0
OG41	156.0
OG42	0.0
OG43	120.0
OG44	210.0
OG45	0.0
OG46	8.0
OG47	72.0
OG48	1.0
OG49	6.0
OG50	108.0
OG51	12.0
OG52	0.0
OG53	7.0
OG54	0.0
OG55	0.0
OG56	6.0
OG57	0.0
OG58	227.0
OG59	16.0
OG60	2.0
OG61	1.0
OG62	0.0
OG63	0.0
OG64	4.0
OG65	0.0
OG66	1.0
OG67	6.0
OG68	0.0
OG69	0.0
OG70	4.0
OG71	324.0
OG72	0.0
OG73	72.0
OG74	80.0
OG75	327.0
OG76	2.0
OG77	353.0
OG78	3.0
OG79	0.0
OG80	112.0
OG81	62.0
OG82	741.0
OG83	3.0
OG84	16.0
OG85	0.0
OG86	4.0
OG87	1.0
OG88	6.0
OG89	5.0
OG90	224.0
OG91	9.0
OG92	11.0
OG93	0.0
OG94	78.0
OG95	5.0
OG96	4.0
OG97	16.0
OG98	0.0
OG99	75.0
OG100	565.0
OG101	2.0
OG102	163.0
OG103	300.0
OG104	137.0
OG105	0.0
OG106	4.0
OG107	3.0
OG108	0.0
OG109	0.0
OG110	0.0
OG111	6.0
OG112	311.0
OG113	123.0
OG114	0.0
OG115	0.0
OG116	22.0
OG117	0.0
OG118	28.0
OG119	0.0
OG120	24.0
OG121	5.0
OG122	23.0
OG123	53.0
OG124	2452.0
OG125	32.0
OG126	91.0
OG127	17.0
OG128	32.0
OG129	9.0
OG130	79.0
OG131	94.0
OG132	207.0
OG133	202.0
OG134	118.0
OG135	8.0
OG136	2.0
OG137	16.0
OG138	2.0
OG139	6.0
OG140	22.0
OG141	486.0
OG142	192.0
OG143	0.0
OG144	0.0
OG145	103.0
OG146	3.0
OG147	0.0
OG148	0.0
OG149	0.0
OG150	0.0
OG151	1.0
OG152	1.0
OG153	0.0
OG154	7.0
OG155	76.0
OG156	6.0
OG157	1.0
OG158	95.0
OG159	135.0
OG160	933.0
OG161	14.0
OG162	81.0
OG163	0.0
OG164	0.0
OG165	0.0
OG166	1298.0
OG167	271.0
OG168	14.0
OG169	7.0
OG170	1.0
OG171	111.0
OG172	264.0
OG173	53.0
OG174	1.0
OG175	24.0
OG176	40.0
OG177	2.0
OG178	9.0
OG179	209.0
OG180	0.0
OG181	4066.0
OG182	64.0
OG183	4.0
OG184	693.0
OG185	10364.0
OG186	321.0
OG187	655.0
OG188	1.0
OG189	1363.0
OG190	174.0
OG191	2.0
OG192	1953.0
OG193	0.0
OG194	330.0
