OG	sample_4B
OG0	98.0
OG1	4.0
OG2	166.0
OG3	3.0
OG4	0.0
OG5	0.0
OG6	0.0
OG7	0.0
OG8	260.0
OG9	3.0
OG10	7.0
OG11	8.0
OG12	0.0
OG13	0.0
OG14	99.0
OG15	20.0
OG16	1.0
OG17	0.0
OG18	7.0
OG19	0.0
OG20	0.0
OG21	24.0
OG22	0.0
OG23	7.0
OG24	0.0
OG25	0.0
OG26	332.0
OG27	11.0
OG28	19.0
OG29	137.0
OG30	100.0
OG31	45.0
OG32	3.0
OG33	4.0
OG34	0.0
OG35	1.0
OG36	325.0
OG37	16.0
OG38	18.0
OG39	175.0
OG40	0.0
OG41	106.0
OG42	0.0
OG43	49.0
OG44	80.0
OG45	0.0
OG46	0.0
OG47	19.0
OG48	68.0
OG49	6.0
OG50	0.0
OG51	8.0
OG52	0.0
OG53	0.0
OG54	0.0
OG55	0.0
OG56	8.0
OG57	9.0
OG58	167.0
OG59	2.0
OG60	4.0
OG61	0.0
OG62	5.0
OG63	0.0
OG64	0.0
OG65	0.0
OG66	0.0
OG67	3.0
OG68	0.0
OG69	0.0
OG70	0.0
OG71	230.0
OG72	0.0
OG73	16.0
OG74	35.0
OG75	182.0
OG76	1.0
OG77	156.0
OG78	0.0
OG79	2.0
OG80	73.0
OG81	33.0
OG82	475.0
OG83	2.0
OG84	5.0
OG85	5.0
OG86	2.0
OG87	0.0
OG88	2.0
OG89	1.0
OG90	131.0
OG91	0.0
OG92	12.0
OG93	8.0
OG94	19.0
OG95	0.0
OG96	3.0
OG97	17.0
OG98	0.0
OG99	26.0
OG100	276.0
OG101	0.0
OG102	96.0
OG103	136.0
OG104	57.0
OG105	1.0
OG106	3.0
OG107	0.0
OG108	0.0
OG109	0.0
OG110	0.0
OG111	0.0
OG112	135.0
OG113	58.0
OG114	0.0
OG115	0.0
OG116	6.0
OG117	0.0
OG118	3.0
OG119	0.0
OG120	3.0
OG121	2.0
OG122	2.0
OG123	22.0
OG124	1374.0
OG125	8.0
OG126	43.0
OG127	9.0
OG128	16.0
OG129	4.0
OG130	0.0
OG131	15.0
OG132	80.0
OG133	152.0
OG134	68.0
OG135	4.0
OG136	3.0
OG137	8.0
OG138	0.0
OG139	0.0
OG140	5.0
OG141	339.0
OG142	88.0
OG143	0.0
OG144	0.0
OG145	62.0
OG146	0.0
OG147	115.0
OG148	0.0
OG149	3.0
OG150	0.0
OG151	2.0
OG152	0.0
OG153	0.0
OG154	6.0
OG155	26.0
OG156	6.0
OG157	1.0
OG158	37.0
OG159	95.0
OG160	594.0
OG161	1.0
OG162	22.0
OG163	0.0
OG164	0.0
OG165	0.0
OG166	682.0
OG167	122.0
OG168	2.0
OG169	9.0
OG170	0.0
OG171	9.0
OG172	128.0
OG173	9.0
OG174	0.0
OG175	22.0
