OG	sample_2C
OG0	261.0
OG1	3.0
OG2	229.0
OG3	12.0
OG4	6.0
OG5	0.0
OG6	1.0
OG7	29.0
OG8	313.0
OG9	0.0
OG10	13.0
OG11	8.0
OG12	2.0
OG13	0.0
OG14	229.0
OG15	62.0
OG16	0.0
OG17	0.0
OG18	13.0
OG19	30.0
OG20	1.0
OG21	59.0
OG22	0.0
OG23	12.0
OG24	5.0
OG25	0.0
OG26	622.0
OG27	60.0
OG28	11.0
OG29	454.0
OG30	103.0
OG31	42.0
OG32	1.0
OG33	7.0
OG34	1.0
OG35	128.0
OG36	1091.0
OG37	61.0
OG38	35.0
OG39	410.0
OG40	1.0
OG41	352.0
OG42	3.0
OG43	123.0
OG44	441.0
OG45	0.0
OG46	8.0
OG47	59.0
OG48	113.0
OG49	14.0
OG50	83.0
OG51	4.0
OG52	0.0
OG53	10.0
OG54	0.0
OG55	0.0
OG56	14.0
OG57	10.0
OG58	305.0
OG59	15.0
OG60	5.0
OG61	0.0
OG62	9.0
OG63	0.0
OG64	5.0
OG65	0.0
OG66	0.0
OG67	5.0
OG68	0.0
OG69	1.0
OG70	6.0
OG71	513.0
OG72	0.0
OG73	145.0
OG74	30.0
OG75	203.0
OG76	0.0
OG77	197.0
OG78	6.0
OG79	8.0
OG80	245.0
OG81	108.0
OG82	477.0
OG83	5.0
OG84	19.0
OG85	7.0
OG86	2.0
OG87	1.0
OG88	2.0
OG89	5.0
OG90	169.0
OG91	6.0
OG92	9.0
OG93	14.0
OG94	90.0
OG95	1.0
OG96	5.0
OG97	20.0
OG98	2.0
OG99	147.0
OG100	747.0
OG101	2.0
OG102	220.0
OG103	382.0
OG104	186.0
OG105	0.0
OG106	9.0
OG107	0.0
OG108	0.0
OG109	0.0
OG110	0.0
OG111	8.0
OG112	283.0
OG113	182.0
OG114	2.0
OG115	0.0
OG116	23.0
OG117	0.0
OG118	26.0
OG119	0.0
OG120	47.0
OG121	10.0
OG122	30.0
OG123	35.0
OG124	2591.0
OG125	24.0
OG126	57.0
OG127	19.0
OG128	48.0
OG129	8.0
OG130	77.0
OG131	29.0
OG132	359.0
OG133	378.0
OG134	149.0
OG135	9.0
OG136	8.0
OG137	11.0
OG138	1.0
OG139	2.0
OG140	21.0
OG141	400.0
OG142	259.0
OG143	0.0
OG144	2.0
OG145	61.0
OG146	3.0
OG147	152.0
OG148	0.0
OG149	2.0
OG150	0.0
OG151	5.0
OG152	1.0
OG153	0.0
OG154	13.0
OG155	110.0
OG156	4.0
OG157	3.0
OG158	115.0
OG159	83.0
OG160	812.0
OG161	8.0
OG162	98.0
OG163	3.0
OG164	0.0
OG165	0.0
OG166	1383.0
OG167	428.0
OG168	16.0
OG169	9.0
OG170	3.0
OG171	79.0
OG172	117.0
OG173	73.0
OG174	1.0
OG175	48.0
OG176	56.0
OG177	2.0
OG178	28.0
OG179	285.0
OG180	1.0
OG181	2743.0
OG182	17.0
OG183	0.0
OG184	738.0
OG185	15761.0
OG186	445.0
OG187	882.0
OG188	0.0
OG189	2707.0
OG190	278.0
OG191	18.0
OG192	1293.0
OG193	0.0
OG194	167.0
OG195	15.0
OG196	27.0
OG197	3.0
OG198	0.0
OG199	799.0
OG200	244.0
OG201	0.0
OG202	9.0
OG203	93.0
OG204	152.0
OG205	90.0
OG206	230.0
OG207	38.0
OG208	19.0
OG209	227.0
OG210	6.0
OG211	19.0
OG212	19.0
OG213	368.0
OG214	2.0
OG215	23.0
OG216	2.0
OG217	6.0
OG218	858.0
OG219	0.0
OG220	7.0
OG221	10.0
OG222	150.0
OG223	426.0
OG224	0.0
OG225	162.0
OG226	1547.0
OG227	58.0
OG228	1.0
OG229	0.0
OG230	20.0
OG231	223.0
OG232	25.0
OG233	309.0
OG234	29.0
OG235	342.0
OG236	397.0
OG237	1117.0
OG238	139.0
OG239	449.0
OG240	477.0
OG241	31.0
OG242	188.0
OG243	1427.0
OG244	1030.0
OG245	366.0
OG246	576.0
OG247	830.0
OG248	321.0
OG249	18.0
OG250	5.0
OG251	163.0
OG252	191.0
OG253	12.0
OG254	566.0
