OG	sample_3A
OG344	1880.0
OG345	142.0
OG346	39.0
OG347	114.0
OG348	153.0
OG349	4.0
OG350	2514.0
OG351	2717.0
OG352	13.0
OG353	5.0
OG354	176.0
OG355	9710.0
OG356	19.0
OG357	12.0
OG358	136.0
OG359	10.0
OG360	59.0
OG361	822.0
OG362	48.0
OG363	332.0
OG364	251.0
OG365	46.0
OG366	6.0
OG367	642.0
OG368	24.0
OG369	42.0
OG370	579.0
OG371	247.0
OG372	160.0
OG373	2985.0
OG374	774.0
OG375	194.0
OG376	20.0
OG377	495.0
OG378	492.0
OG379	1104.0
OG380	294.0
OG381	650.0
OG382	5.0
OG383	152.0
OG384	1580.0
OG385	827.0
OG386	911.0
OG387	222.0
OG388	140.0
OG389	381.0
OG390	190.0
OG391	454.0
OG392	1661.0
OG393	1233.0
OG394	1158.0
OG395	352.0
OG396	675.0
OG397	983.0
OG398	95.0
OG399	588.0
OG400	366.0
OG401	3877.0
OG402	131.0
OG403	3504.0
OG404	48.0
OG405	226.0
OG406	2113.0
OG407	568.0
OG408	389.0
OG409	730.0
OG410	437.0
OG411	5249.0
OG412	62.0
OG413	4571.0
OG414	1017.0
OG415	1494.0
OG416	1101.0
OG417	1118.0
OG418	696.0
OG419	688.0
OG420	7660.0
OG421	6.0
OG422	831.0
OG423	64.0
OG424	747.0
OG425	1398.0
OG426	561.0
OG427	359.0
OG428	6918.0
OG429	10440.0
OG430	2070.0
OG431	541.0
OG432	1258.0
OG433	3146.0
OG434	3036.0
OG435	551.0
OG436	368.0
OG437	324.0
OG438	7622.0
OG439	16.0
OG440	1277.0
OG441	1672.0
OG442	129.0
OG443	3157.0
OG444	1775.0
OG445	737.0
OG446	480.0
OG447	2859.0
OG448	1542.0
OG449	583.0
OG450	1210.0
OG451	888.0
OG452	877.0
OG453	68.0
OG454	142.0
OG455	121.0
OG456	199.0
OG457	2258.0
OG458	134.0
OG459	1522.0
OG460	74.0
OG461	2284.0
OG462	463.0
OG463	866.0
OG464	51.0
OG465	869.0
OG466	2455.0
OG467	956.0
OG468	1868.0
OG469	35.0
OG470	14.0
OG471	396.0
OG472	3116.0
OG473	277.0
OG474	48.0
OG475	344.0
OG476	10931.0
OG477	1986.0
OG478	3928.0
OG479	398.0
OG480	2400.0
OG481	5031.0
OG482	2594.0
OG483	2718.0
OG484	45.0
OG485	351.0
OG486	982.0
OG487	1041.0
OG488	258.0
OG489	1851.0
OG490	1981.0
OG491	473.0
OG492	454.0
OG493	21.0
OG494	453.0
OG495	952.0
OG496	2204.0
OG497	111.0
OG498	1617.0
OG499	3641.0
OG500	151.0
OG501	241.0
OG502	171.0
OG503	1447.0
OG504	1021.0
OG505	306.0
OG506	625.0
OG507	43.0
OG508	575.0
OG509	491.0
OG510	468.0
OG511	1047.0
OG512	613.0
OG513	197.0
OG514	150.0
OG515	197.0
OG516	218.0
OG517	7.0
OG518	136.0
OG519	993.0
OG520	629.0
OG521	2465.0
OG522	1264.0
OG523	3168.0
OG524	1888.0
OG525	4052.0
OG526	316.0
OG527	6.0
OG528	1471.0
OG529	50.0
OG530	1041.0
OG531	209.0
OG532	1461.0
OG533	1298.0
OG534	337.0
OG535	209.0
OG536	1390.0
OG537	1539.0
OG538	1288.0
OG539	929.0
OG540	248.0
OG541	1189.0
OG542	644.0
OG543	536.0
OG544	232.0
OG545	1553.0
OG546	346.0
OG547	435.0
OG548	128.0
OG549	146.0
OG550	518.0
OG551	547.0
OG552	82.0
OG553	1346.0
OG554	3464.0
OG555	2215.0
OG556	1594.0
OG557	2650.0
OG558	1042.0
OG559	20.0
OG560	8.0
OG561	291.0
OG562	460.0
OG563	346.0
OG564	1126.0
OG565	111.0
OG566	1025.0
OG567	266.0
OG568	1573.0
OG569	1405.0
OG570	370.0
OG571	913.0
OG572	1221.0
OG573	208.0
OG574	433.0
OG575	671.0
OG576	1054.0
OG577	408.0
OG578	270.0
OG579	276.0
OG580	529.0
OG581	1123.0
OG582	353.0
OG583	302.0
OG584	886.0
OG585	1071.0
OG586	78.0
OG587	144.0
OG588	173.0
OG589	1502.0
OG590	7087.0
OG591	1136.0
OG592	182.0
OG593	4348.0
OG594	506.0
OG595	5274.0
OG596	129.0
OG597	1654.0
OG598	2934.0
OG599	440.0
OG600	15.0
OG601	925.0
OG602	5643.0
OG603	41.0
OG604	5364.0
OG605	2643.0
OG606	299.0
OG607	3275.0
OG608	112.0
OG609	316.0
OG610	5289.0
OG611	988.0
OG612	522.0
OG613	74.0
OG614	101.0
OG615	119.0
OG616	1359.0
OG617	16.0
OG618	284.0
OG619	2730.0
OG620	310.0
OG621	992.0
OG622	1001.0
OG623	615.0
OG624	504.0
OG625	645.0
OG626	217.0
OG627	7183.0
OG628	198.0
OG629	731.0
OG630	336.0
OG631	3911.0
OG632	368.0
OG633	792.0
OG634	1998.0
OG635	2164.0
OG636	587.0
OG637	1511.0
OG638	987.0
OG639	758.0
OG640	2280.0
OG641	4365.0
OG642	837.0
OG643	1265.0
OG644	199.0
OG645	675.0
OG646	5800.0
OG647	249.0
OG648	346.0
OG649	15.0
OG650	5391.0
OG651	2972.0
OG652	486.0
OG653	707.0
OG654	368.0
OG655	111.0
OG656	63.0
OG657	2449.0
OG658	291.0
OG659	82.0
OG660	928.0
OG661	981.0
OG662	114.0
OG663	2310.0
OG664	320.0
OG665	320.0
OG666	1.0
OG667	25.0
OG668	3695.0
OG669	927.0
OG670	54.0
OG671	39.0
OG672	123.0
OG673	1120.0
OG674	19.0
OG675	400.0
OG676	1455.0
OG677	161.0
OG678	8649.0
OG679	148.0
OG680	237.0
OG681	1208.0
OG682	3367.0
OG683	908.0
OG684	3959.0
OG685	3416.0
OG686	511.0
OG687	3158.0
OG688	3530.0
OG689	508.0
OG690	911.0
OG691	129.0
OG692	307.0
OG693	4586.0
OG694	75.0
OG695	56.0
OG696	202.0
OG697	184.0
OG698	210.0
OG699	133.0
OG700	225.0
OG701	237.0
OG702	16035.0
OG703	302.0
OG704	20.0
OG705	8.0
OG706	172.0
OG707	1036.0
OG708	162.0
OG709	1985.0
OG710	513.0
OG711	352.0
OG712	599.0
OG713	2721.0
OG714	1355.0
OG715	31.0
OG716	947.0
OG717	5563.0
OG718	1347.0
OG719	5335.0
OG720	393.0
OG721	128.0
OG722	853.0
OG723	685.0
OG724	2008.0
OG725	230.0
OG726	1389.0
OG727	91.0
OG728	284.0
OG729	651.0
OG730	943.0
OG731	625.0
OG732	41.0
OG733	181.0
OG734	3247.0
OG735	552.0
OG736	1914.0
OG737	549.0
OG738	1.0
OG739	933.0
OG740	1640.0
OG741	15253.0
OG742	0.0
OG743	339.0
OG744	346.0
OG745	973.0
OG746	2909.0
OG747	1502.0
OG748	3.0
OG749	3750.0
OG750	1527.0
OG751	368.0
OG752	196.0
OG753	1393.0
OG754	657.0
OG755	1956.0
OG756	269.0
OG757	4714.0
OG758	3569.0
OG759	313.0
OG760	1100.0
OG761	586.0
OG762	537.0
OG763	214.0
OG764	983.0
OG765	171.0
OG766	30.0
OG767	167.0
OG768	5.0
OG769	909.0
OG770	382.0
OG771	654.0
OG772	823.0
OG773	2547.0
OG774	381.0
OG775	857.0
OG776	380.0
OG777	854.0
OG778	600.0
OG779	34.0
OG780	107.0
OG781	0.0
OG782	271.0
OG783	229.0
OG784	2644.0
OG785	1586.0
OG786	855.0
OG787	609.0
OG788	1105.0
OG789	131.0
OG790	309.0
OG791	8764.0
OG792	139.0
OG793	344.0
OG794	25.0
OG795	3.0
OG796	1602.0
OG797	6.0
OG798	1008.0
OG799	6360.0
OG800	868.0
OG801	2935.0
OG802	1877.0
OG803	5.0
OG804	200.0
OG805	61.0
OG806	92.0
OG807	2430.0
OG808	451.0
OG809	589.0
OG810	1018.0
OG811	1904.0
OG812	843.0
OG813	568.0
OG814	133.0
OG815	2675.0
OG816	2294.0
OG817	318.0
OG818	94.0
OG819	1595.0
OG820	923.0
OG821	1461.0
OG822	791.0
OG823	2947.0
OG824	8.0
OG825	8375.0
OG826	369.0
OG827	358.0
OG828	4191.0
OG829	175.0
OG830	71.0
OG831	2917.0
OG832	461.0
OG833	3.0
OG834	414.0
OG835	4717.0
OG836	408.0
OG837	3562.0
OG838	37.0
OG839	0.0
OG840	1285.0
OG841	1368.0
OG842	1616.0
OG843	886.0
OG844	2465.0
OG845	293.0
OG846	49330.0
OG847	138.0
OG848	101.0
OG849	0.0
OG850	18.0
OG851	1093.0
OG852	3.0
OG853	0.0
OG854	153.0
OG855	0.0
OG856	73.0
OG857	6.0
OG858	306.0
OG859	653.0
OG860	1.0
OG861	6.0
OG862	995.0
OG863	874.0
OG864	711.0
OG865	2990.0
OG866	10686.0
OG867	1019.0
OG868	90.0
OG869	1.0
OG870	127.0
OG871	59.0
OG872	760.0
OG873	350.0
OG874	1338.0
OG875	5786.0
OG876	1017.0
OG877	1653.0
OG878	1045.0
OG879	16843.0
OG880	44.0
OG881	1003.0
OG882	233.0
OG883	14796.0
OG884	458.0
OG885	2426.0
OG886	35.0
OG887	1588.0
OG888	201.0
OG889	469.0
OG890	362.0
OG891	354.0
OG892	776.0
OG893	118.0
OG894	9.0
OG895	4230.0
OG896	147.0
OG897	692.0
OG898	9508.0
OG899	1448.0
OG900	2.0
OG901	2156.0
OG902	846.0
OG903	163.0
OG904	0.0
OG905	1807.0
OG906	7748.0
OG907	118.0
OG908	1045.0
OG909	324.0
OG910	4687.0
OG911	93.0
OG912	14903.0
OG913	49.0
OG914	2549.0
OG915	7508.0
OG916	1263.0
OG917	121707.0
OG918	21.0
OG919	284.0
OG920	105.0
OG921	19.0
OG922	3758.0
OG923	27.0
OG924	4168.0
OG925	36.0
OG926	949.0
OG927	14.0
OG928	4.0
OG929	7.0
OG930	135.0
OG931	435.0
OG932	37.0
OG933	425.0
OG934	46.0
OG935	91.0
OG936	0.0
OG937	0.0
OG938	1.0
OG939	6.0
OG940	0.0
OG941	2.0
OG942	2.0
OG943	118.0
OG944	70.0
OG945	3308.0
OG946	55.0
OG947	58.0
OG948	627.0
OG949	332.0
OG950	33.0
OG951	2571.0
OG952	10.0
OG953	0.0
OG954	108.0
OG955	11.0
OG956	25.0
OG957	93.0
OG958	2.0
OG959	3.0
OG960	0.0
OG961	5.0
OG962	10.0
OG963	15773.0
OG964	1474.0
OG965	5.0
OG966	105.0
OG967	0.0
OG968	13.0
OG969	3.0
OG970	539.0
OG971	2640.0
OG972	35.0
OG973	5953.0
OG974	41.0
OG975	1.0
OG976	0.0
OG977	282.0
OG978	9.0
OG979	0.0
OG980	493.0
OG981	4.0
OG982	0.0
OG983	52.0
OG984	53.0
OG985	0.0
OG986	87.0
OG987	8.0
OG988	0.0
OG989	2561.0
OG990	6.0
OG991	7.0
OG992	1093.0
OG993	42.0
OG994	184.0
OG995	120.0
OG996	77.0
OG997	94.0
OG998	1132.0
OG999	13.0
OG1000	805.0
OG1001	21227.0
OG1002	371.0
OG1003	0.0
OG1004	1687.0
OG1005	3207.0
OG1006	4875.0
OG1007	1367.0
OG1008	1328.0
OG1009	804.0
OG1010	1280.0
OG1011	2726.0
OG1012	93.0
OG1013	41840.0
OG1014	152.0
OG1015	845.0
OG1016	1527.0
OG1017	1958.0
OG1018	1099.0
OG1019	128.0
OG1020	3584.0
OG1021	2722.0
OG1022	101.0
OG1023	1971.0
OG1024	8344.0
OG1025	6.0
OG1026	3534.0
OG1027	278.0
OG1028	346.0
OG1029	4.0
OG1030	39.0
OG1031	11.0
OG1032	4.0
OG1033	21.0
OG1034	20.0
OG1035	9925.0
OG1036	83.0
OG1037	0.0
OG1038	19.0
OG1039	295.0
OG1040	1394.0
OG1041	15060.0
OG1042	570.0
OG1043	4.0
OG1044	0.0
OG1045	0.0
OG1046	0.0
OG1047	2175.0
OG1048	4.0
OG1049	1355.0
OG1050	2.0
OG1051	1.0
OG1052	0.0
OG1053	157.0
OG1054	6847.0
OG1055	264.0
OG1056	1324.0
OG1057	42.0
OG1058	0.0
OG1059	1238.0
OG1060	2610.0
OG1061	552.0
OG1062	250.0
OG1063	568.0
OG1064	28.0
OG1065	280.0
OG1066	14.0
OG1067	141.0
OG1068	7.0
OG1069	8.0
OG1070	61.0
OG1071	777.0
OG1072	97.0
OG1073	164.0
OG1074	1531.0
OG1075	667.0
OG1076	2234.0
OG1077	4205.0
OG1078	399.0
OG1079	125.0
OG1080	20.0
OG1081	221.0
OG1082	169.0
OG1083	105.0
OG1084	1373.0
OG1085	12.0
OG1086	1.0
OG1087	654.0
OG1088	3174.0
OG1089	133.0
OG1090	28.0
OG1091	829.0
OG1092	3401.0
OG1093	8564.0
OG1094	764.0
OG1095	133.0
OG1096	1355.0
OG1097	18.0
OG1098	3097.0
OG1099	605.0
OG1100	1311.0
OG1101	1915.0
OG1102	501.0
OG1103	10890.0
OG1104	15.0
OG1105	486.0
OG1106	805.0
OG1107	58.0
OG1108	959.0
OG1109	752.0
OG1110	904.0
OG1111	3607.0
OG1112	83.0
OG1113	200.0
