OG	sample_6B
OG345	144.0
OG346	17.0
OG347	54.0
OG348	63.0
OG349	3.0
OG350	1624.0
OG351	847.0
OG352	19.0
OG353	7.0
OG354	111.0
OG355	5779.0
OG356	7.0
OG357	7.0
OG358	119.0
OG359	24.0
OG360	61.0
OG361	485.0
OG362	45.0
OG363	185.0
OG364	590.0
OG365	35.0
OG366	4.0
OG367	352.0
OG368	13.0
OG369	42.0
OG370	202.0
OG371	211.0
OG372	125.0
OG373	1890.0
OG374	631.0
OG375	175.0
OG376	25.0
OG377	768.0
OG378	786.0
OG379	873.0
OG380	547.0
OG381	586.0
OG382	3.0
OG383	128.0
OG384	2075.0
OG385	651.0
OG386	926.0
OG387	388.0
OG388	172.0
OG389	1350.0
OG390	142.0
OG391	473.0
OG392	1578.0
OG393	390.0
OG394	1901.0
OG395	238.0
OG396	1920.0
OG397	1312.0
OG398	43.0
OG399	727.0
OG400	409.0
OG401	3641.0
OG402	27.0
OG403	3634.0
OG404	11.0
OG405	334.0
OG406	718.0
OG407	308.0
OG408	368.0
OG409	794.0
OG410	652.0
OG411	3854.0
OG412	366.0
OG413	1580.0
OG414	699.0
OG415	667.0
OG416	910.0
OG417	808.0
OG418	522.0
OG419	645.0
OG420	7546.0
OG421	8.0
OG422	813.0
OG423	60.0
OG424	578.0
OG425	1179.0
OG426	324.0
OG427	608.0
OG428	1499.0
OG429	4898.0
OG430	1850.0
OG431	251.0
OG432	922.0
OG433	2110.0
OG434	3132.0
OG435	687.0
OG436	276.0
OG437	435.0
OG438	3735.0
OG439	12.0
OG440	875.0
OG441	685.0
OG442	349.0
OG443	2855.0
OG444	1188.0
OG445	579.0
OG446	171.0
OG447	3132.0
OG448	1014.0
OG449	498.0
OG450	902.0
OG451	680.0
OG452	720.0
OG453	33.0
OG454	179.0
OG455	128.0
OG456	63.0
OG457	1531.0
OG458	37.0
OG459	1346.0
OG460	115.0
OG461	1428.0
OG462	1233.0
OG463	1091.0
OG464	24.0
OG465	526.0
OG466	1714.0
OG467	1078.0
OG468	955.0
OG469	50.0
OG470	19.0
OG471	453.0
OG472	2223.0
OG473	158.0
OG474	105.0
OG475	192.0
OG476	22934.0
OG477	463.0
OG478	2869.0
OG479	350.0
OG480	3852.0
OG481	2691.0
OG482	2776.0
OG483	1680.0
OG484	84.0
OG485	805.0
OG486	1203.0
OG487	393.0
OG488	331.0
OG489	1801.0
OG490	1708.0
OG491	260.0
OG492	341.0
OG493	30.0
OG494	451.0
OG495	903.0
OG496	1648.0
OG497	127.0
OG498	1199.0
OG499	2825.0
OG500	116.0
OG501	309.0
OG502	113.0
OG503	1128.0
OG504	868.0
OG505	129.0
OG506	248.0
OG507	23.0
OG508	274.0
OG509	691.0
OG510	532.0
OG511	649.0
OG512	330.0
OG513	219.0
OG514	183.0
OG515	73.0
OG516	197.0
OG517	0.0
OG518	155.0
OG519	943.0
OG520	1029.0
OG521	1107.0
OG522	634.0
OG523	2070.0
OG524	1341.0
OG525	2531.0
OG526	286.0
OG527	10.0
OG528	831.0
OG529	23.0
OG530	369.0
OG531	132.0
OG532	748.0
OG533	638.0
OG534	328.0
OG535	245.0
OG536	941.0
OG537	502.0
OG538	838.0
OG539	531.0
OG540	337.0
OG541	920.0
OG542	341.0
OG543	253.0
OG544	139.0
OG545	1072.0
OG546	1137.0
OG547	662.0
OG548	280.0
OG549	57.0
OG550	874.0
OG551	886.0
OG552	85.0
OG553	724.0
OG554	4291.0
OG555	1203.0
OG556	890.0
OG557	2383.0
OG558	462.0
OG559	2.0
OG560	6.0
OG561	177.0
OG562	231.0
OG563	450.0
OG564	506.0
OG565	129.0
OG566	555.0
OG567	205.0
OG568	1985.0
OG569	1296.0
OG570	291.0
OG571	483.0
OG572	992.0
OG573	163.0
OG574	320.0
OG575	305.0
OG576	385.0
OG577	393.0
OG578	83.0
OG579	370.0
OG580	621.0
OG581	425.0
OG582	244.0
OG583	222.0
OG584	431.0
OG585	710.0
OG586	78.0
OG587	187.0
