OG	sample_4A
OG0	276.0
OG1	12.0
OG2	551.0
OG3	16.0
OG4	0.0
OG5	0.0
OG6	0.0
OG7	0.0
OG8	916.0
OG9	4.0
OG10	27.0
OG11	26.0
OG12	1.0
OG13	0.0
OG14	157.0
OG15	77.0
OG16	0.0
OG17	0.0
OG18	22.0
OG19	2.0
OG20	0.0
OG21	60.0
OG22	0.0
OG23	10.0
OG24	0.0
OG25	0.0
OG26	869.0
OG27	49.0
OG28	47.0
OG29	354.0
OG30	358.0
OG31	130.0
OG32	2.0
OG33	12.0
OG34	1.0
OG35	4.0
OG36	946.0
OG37	41.0
OG38	52.0
OG39	628.0
OG40	0.0
OG41	257.0
OG42	0.0
OG43	51.0
OG44	301.0
OG45	1.0
OG46	0.0
OG47	54.0
OG48	211.0
OG49	15.0
OG50	0.0
OG51	15.0
OG52	0.0
OG53	0.0
OG54	0.0
OG55	0.0
OG56	20.0
OG57	19.0
OG58	442.0
OG59	8.0
OG60	7.0
OG61	0.0
OG62	7.0
OG63	2.0
OG64	0.0
OG65	0.0
OG66	2.0
OG67	7.0
OG68	0.0
OG69	2.0
OG70	1.0
OG71	587.0
OG72	0.0
OG73	66.0
OG74	82.0
OG75	559.0
OG76	1.0
OG77	452.0
OG78	0.0
OG79	14.0
OG80	239.0
OG81	30.0
OG82	1338.0
OG83	3.0
OG84	16.0
OG85	17.0
OG86	16.0
OG87	2.0
OG88	5.0
OG89	4.0
OG90	361.0
OG91	2.0
OG92	9.0
OG93	16.0
OG94	68.0
OG95	5.0
OG96	6.0
OG97	28.0
OG98	0.0
OG99	90.0
OG100	850.0
OG101	0.0
OG102	246.0
OG103	334.0
OG104	252.0
OG105	1.0
OG106	9.0
OG107	0.0
OG108	0.0
OG109	1.0
OG110	2.0
OG111	0.0
OG112	406.0
OG113	200.0
OG114	6.0
OG115	0.0
OG116	16.0
OG117	0.0
OG118	9.0
OG119	1.0
OG120	16.0
OG121	11.0
OG122	22.0
OG123	67.0
OG124	4350.0
OG125	32.0
OG126	152.0
OG127	38.0
OG128	61.0
OG129	1.0
OG130	4.0
OG131	47.0
OG132	288.0
OG133	458.0
OG134	187.0
OG135	17.0
OG136	1.0
OG137	25.0
OG138	0.0
OG139	0.0
OG140	11.0
OG141	922.0
OG142	369.0
OG143	0.0
OG144	0.0
OG145	169.0
OG146	4.0
OG147	236.0
OG148	0.0
OG149	14.0
OG150	0.0
OG151	3.0
OG152	0.0
OG153	0.0
OG154	9.0
OG155	86.0
OG156	10.0
OG157	3.0
OG158	103.0
OG159	189.0
OG160	1491.0
OG161	7.0
OG162	48.0
OG163	0.0
OG164	0.0
OG165	0.0
OG166	1520.0
OG167	392.0
OG168	10.0
OG169	11.0
OG170	3.0
OG171	19.0
OG172	328.0
OG173	56.0
OG174	1.0
OG175	37.0
OG176	12.0
OG177	0.0
OG178	16.0
OG179	228.0
OG180	0.0
OG181	5777.0
OG182	121.0
OG183	1.0
OG184	945.0
OG185	28053.0
OG186	278.0
OG187	1101.0
OG188	0.0
OG189	2420.0
OG190	355.0
OG191	6.0
OG192	2822.0
OG193	1.0
OG194	556.0
OG195	24.0
OG196	14.0
OG197	1.0
OG198	0.0
OG199	3198.0
OG200	293.0
OG201	0.0
OG202	11.0
OG203	104.0
OG204	122.0
OG205	74.0
OG206	227.0
OG207	40.0
OG208	16.0
OG209	240.0
OG210	12.0
OG211	25.0
OG212	23.0
OG213	342.0
OG214	2.0
OG215	23.0
OG216	1.0
OG217	5.0
OG218	746.0
OG219	8.0
OG220	14.0
OG221	11.0
OG222	105.0
OG223	826.0
OG224	0.0
OG225	215.0
OG226	1766.0
OG227	141.0
OG228	0.0
OG229	0.0
OG230	11.0
OG231	140.0
OG232	30.0
OG233	345.0
OG234	44.0
OG235	747.0
OG236	326.0
OG237	692.0
OG238	208.0
OG239	1297.0
OG240	1176.0
OG241	111.0
OG242	109.0
OG243	1544.0
OG244	999.0
OG245	362.0
OG246	772.0
OG247	1001.0
OG248	470.0
OG249	47.0
OG250	4.0
OG251	108.0
OG252	220.0
OG253	8.0
OG254	569.0
OG255	1671.0
OG256	1157.0
OG257	1423.0
OG258	157.0
OG259	29.0
OG260	149.0
OG261	65.0
OG262	654.0
OG263	1.0
OG264	1690.0
OG265	45.0
OG266	162.0
OG267	61.0
OG268	428.0
OG269	17.0
OG270	29.0
OG271	191.0
OG272	310.0
OG273	205.0
OG274	1133.0
OG275	23.0
OG276	0.0
OG277	74.0
OG278	475.0
OG279	40807.0
OG280	777.0
OG281	24.0
OG282	135.0
OG283	121.0
OG284	192.0
OG285	1127.0
OG286	507.0
OG287	2361.0
OG288	353.0
OG289	41.0
OG290	169.0
OG291	13.0
OG292	562.0
OG293	215.0
OG294	22.0
OG295	19.0
OG296	216.0
OG297	12.0
OG298	438.0
OG299	1786.0
OG300	98.0
OG301	91.0
OG302	21.0
OG303	4016.0
OG304	1854.0
OG305	472.0
OG306	5.0
OG307	79.0
OG308	4.0
OG309	30.0
OG310	5.0
OG311	1321.0
OG312	1023.0
OG313	3962.0
OG314	1299.0
OG315	37.0
OG316	40.0
OG317	457.0
OG318	1415.0
OG319	2004.0
OG320	66.0
OG321	55.0
OG322	10.0
OG323	530.0
OG324	248.0
OG325	1333.0
OG326	580.0
OG327	1132.0
OG328	689.0
OG329	3803.0
OG330	459.0
OG331	308.0
OG332	194.0
OG333	1366.0
OG334	643.0
OG335	58.0
OG336	368.0
OG337	186.0
OG338	793.0
OG339	18.0
OG340	3189.0
OG341	1222.0
OG342	652.0
OG343	54.0
OG344	1081.0
OG345	114.0
OG346	32.0
OG347	90.0
OG348	58.0
OG349	2.0
OG350	1195.0
OG351	1178.0
OG352	14.0
OG353	5.0
OG354	208.0
OG355	5928.0
OG356	9.0
OG357	5.0
OG358	204.0
OG359	35.0
OG360	68.0
OG361	437.0
OG362	31.0
OG363	206.0
OG364	885.0
OG365	42.0
OG366	6.0
OG367	436.0
OG368	15.0
OG369	49.0
OG370	243.0
OG371	270.0
OG372	159.0
OG373	2554.0
OG374	754.0
OG375	232.0
OG376	24.0
OG377	673.0
OG378	940.0
OG379	938.0
OG380	487.0
OG381	1033.0
OG382	5.0
OG383	144.0
OG384	2829.0
OG385	786.0
OG386	1445.0
OG387	247.0
OG388	147.0
OG389	675.0
OG390	212.0
OG391	659.0
OG392	1147.0
OG393	682.0
OG394	1656.0
OG395	253.0
OG396	1276.0
OG397	939.0
OG398	48.0
OG399	801.0
OG400	420.0
OG401	4116.0
OG402	60.0
OG403	3989.0
OG404	8.0
OG405	284.0
OG406	1377.0
OG407	385.0
OG408	328.0
OG409	1391.0
OG410	964.0
OG411	4350.0
OG412	394.0
OG413	3339.0
OG414	796.0
OG415	869.0
OG416	1011.0
OG417	736.0
OG418	725.0
OG419	454.0
OG420	6431.0
OG421	4.0
OG422	542.0
OG423	93.0
OG424	441.0
OG425	968.0
OG426	437.0
OG427	547.0
OG428	3715.0
OG429	13051.0
OG430	1890.0
OG431	299.0
OG432	1355.0
OG433	2267.0
OG434	3465.0
OG435	542.0
OG436	271.0
OG437	464.0
OG438	5324.0
OG439	9.0
OG440	921.0
OG441	1066.0
OG442	116.0
OG443	3280.0
OG444	1765.0
OG445	806.0
OG446	286.0
OG447	3030.0
OG448	2234.0
OG449	435.0
OG450	759.0
OG451	757.0
OG452	925.0
OG453	32.0
OG454	307.0
OG455	228.0
OG456	84.0
OG457	1478.0
OG458	35.0
OG459	1858.0
OG460	153.0
OG461	1959.0
OG462	1187.0
OG463	899.0
OG464	41.0
OG465	585.0
OG466	1509.0
OG467	1324.0
OG468	1147.0
OG469	58.0
OG470	37.0
OG471	280.0
OG472	2573.0
OG473	122.0
OG474	127.0
OG475	314.0
OG476	41017.0
OG477	1276.0
OG478	2737.0
OG479	305.0
OG480	3153.0
OG481	3776.0
OG482	2333.0
OG483	1656.0
OG484	59.0
OG485	1756.0
OG486	811.0
OG487	553.0
OG488	168.0
OG489	1871.0
OG490	1574.0
OG491	336.0
OG492	344.0
OG493	16.0
OG494	389.0
OG495	958.0
OG496	1603.0
OG497	199.0
OG498	1999.0
OG499	3966.0
OG500	180.0
OG501	229.0
OG502	93.0
OG503	1635.0
OG504	901.0
OG505	178.0
OG506	465.0
OG507	24.0
OG508	424.0
OG509	353.0
OG510	404.0
OG511	1202.0
OG512	325.0
OG513	195.0
OG514	110.0
OG515	96.0
OG516	134.0
OG517	3.0
OG518	274.0
OG519	1179.0
OG520	1364.0
OG521	1406.0
OG522	643.0
OG523	4022.0
OG524	1601.0
OG525	2971.0
OG526	389.0
OG527	9.0
OG528	1194.0
OG529	17.0
OG530	574.0
OG531	147.0
OG532	1105.0
OG533	523.0
OG534	377.0
OG535	133.0
OG536	1344.0
OG537	914.0
OG538	952.0
OG539	532.0
OG540	490.0
OG541	1594.0
OG542	714.0
OG543	311.0
OG544	228.0
OG545	1125.0
OG546	1580.0
OG547	617.0
OG548	177.0
OG549	93.0
OG550	758.0
OG551	553.0
OG552	62.0
OG553	689.0
OG554	5562.0
OG555	2315.0
OG556	1084.0
OG557	3334.0
OG558	734.0
OG559	4.0
OG560	10.0
OG561	184.0
OG562	266.0
OG563	535.0
OG564	825.0
OG565	112.0
OG566	777.0
OG567	167.0
OG568	2402.0
OG569	1402.0
OG570	216.0
OG571	648.0
OG572	1207.0
OG573	133.0
OG574	316.0
OG575	251.0
OG576	648.0
OG577	362.0
