Id,log2FoldChange.minusSICOvsAll
OG1269,-0.008
OG127,0.068
OG1270,-0.51
OG1271,0.345
OG1272,0.05
OG1273,-0.838
OG1274,-0.7240000000000001
OG1275,0.32
OG1276,-0.41
OG1277,0.705
OG1278,0.547
OG1279,1.131
OG128,-1.53
OG1280,0.37
OG1281,-0.313
OG1282,-0.48100000000000004
OG1283,-0.785
OG1284,0.5429999999999999
OG1285,-0.687
OG1286,0.34600000000000003
OG1287,0.91
OG1288,1.829
OG1289,0.937
OG129,-0.39299999999999996
OG1290,0.8270000000000001
OG1291,-0.073
OG1292,0.3
OG1293,0.002
OG1294,0.63
OG1295,0.27399999999999997
OG1296,0.13
OG1297,0.156
OG1298,-0.141
OG1299,0.203
OG13,
OG130,-0.79
OG1300,2.515
OG1301,-0.679
OG1302,1.1909999999999998
OG1303,-0.016
OG1304,0.36700000000000005
OG1305,-0.506
OG1306,-0.672
OG1307,-0.408
OG1308,0.136
OG1309,0.133
OG131,0.883
OG1310,-0.556
OG1311,-0.126
OG1312,-0.10800000000000001
OG1313,1.033
OG1314,-0.295
OG1315,-0.39799999999999996
OG1316,0.309
OG1317,-0.237
OG1318,1.196
OG1319,0.374
OG132,-0.289
OG1320,-0.10800000000000001
OG1321,0.016
OG1322,0.174
OG1323,-0.25
OG1324,0.61
OG1325,0.439
OG1326,0.327
OG1327,-0.242
OG1328,-0.233
OG1329,-0.034
OG133,-0.6579999999999999
OG1330,-0.397
OG1331,0.621
OG1332,-0.20199999999999999
OG1333,0.63
OG1334,-0.012
OG1335,-0.077
OG1336,0.171
OG1337,1.043
OG1338,0.302
OG1339,-0.322
OG134,-0.58
OG1340,0.35600000000000004
OG1341,1.386
OG1342,-0.22699999999999998
OG1343,0.196
OG1344,0.341
OG1345,0.37799999999999995
OG1346,0.9009999999999999
OG1347,1.0290000000000001
OG1348,-0.257
OG1349,0.371
OG135,-0.226
OG1350,0.154
OG1351,0.004
OG1352,0.013999999999999999
OG1353,-0.134
OG1354,-0.18
OG1355,0.07
OG1356,0.6709999999999999
OG1357,0.163
OG1358,0.446
OG1359,-0.07200000000000001
OG136,-2.046
OG1360,-0.20600000000000002
OG1361,0.179
OG1362,0.9540000000000001
OG1363,0.451
OG1364,0.0
OG1365,-0.153
OG1366,-0.43
OG1367,-0.862
OG1368,0.024
OG1369,0.252
OG137,-0.217
OG1370,-0.69
OG1371,-0.136
OG1372,-0.512
OG1373,-0.828
OG1374,-0.456
OG1375,-1.307
OG1376,0.532
OG1377,-0.042
OG1378,0.154
OG1379,0.121
OG138,-1.73
OG1380,0.679
OG1381,-1.959
OG1382,-0.474
OG1383,0.27
OG1384,0.14800000000000002
OG1385,-0.44
OG1386,1.002
OG1387,0.129
OG1388,0.41
OG1389,0.185
OG139,0.23
OG1390,0.342
OG1391,-0.7609999999999999
OG1392,-0.698
OG1393,0.043
