Id,log2FoldChange.minus5614vsAll
OG0,-0.151
OG1,0.084
OG10,0.324
OG100,0.23399999999999999
OG1000,0.22899999999999998
OG1001,0.523
OG1002,0.753
OG1003,-5.254
OG1004,-0.036000000000000004
OG1005,0.40399999999999997
OG1006,-0.02
OG1007,0.20199999999999999
OG1008,0.214
OG1009,-0.5479999999999999
OG101,-0.581
OG1010,0.244
OG1011,0.046
OG1012,-0.838
OG1013,0.369
OG1014,0.122
OG1015,0.111
OG1016,-0.047
OG1017,-0.177
OG1018,-1.1320000000000001
OG1019,-0.07400000000000001
OG102,0.757
OG1020,0.052000000000000005
OG1021,-0.6609999999999999
OG1022,-1.249
OG1023,-0.107
OG1024,0.09
OG1025,-1.5619999999999998
OG1026,0.245
OG1027,-0.217
OG1028,0.028999999999999998
OG1029,2.031
OG103,0.457
OG1030,0.995
OG1031,0.5920000000000001
OG1032,-2.74
OG1033,0.063
OG1034,-2.097
OG1035,0.552
OG1036,-0.467
OG1037,-3.81
OG1038,-1.0390000000000001
OG1039,-0.313
OG104,0.095
OG1040,0.22699999999999998
OG1041,-0.08
OG1042,-0.58
OG1043,-1.15
OG1044,-2.13
OG1045,0.0
OG1046,-4.5360000000000005
OG1047,0.21600000000000003
OG1048,-0.217
OG1049,0.366
OG105,-1.629
OG1050,-3.924
OG1051,1.651
OG1052,-4.948
OG1053,1.104
OG1054,0.272
OG1055,-0.062
OG1056,0.731
OG1057,-0.063
OG1058,0.0
OG1059,0.619
OG106,-0.01
OG1060,-0.488
OG1061,-0.585
OG1062,-0.218
OG1063,0.135
OG1064,-0.264
OG1065,0.456
OG1066,-2.3890000000000002
OG1067,0.032
OG1068,0.561
OG1069,-0.43200000000000005
OG107,0.065
OG1070,0.522
OG1071,0.8009999999999999
OG1072,-0.26899999999999996
OG1073,0.366
OG1074,0.8759999999999999
OG1075,-0.133
OG1076,0.064
OG1077,0.22
OG1078,0.74
OG1079,-0.374
OG108,0.573
OG1080,-5.563
OG1081,0.03
OG1082,-0.106
OG1083,0.034
OG1084,-1.112
OG1085,-0.389
OG1086,1.966
OG1087,-0.21600000000000003
OG1088,-0.303
OG1089,-0.096
OG109,-2.4090000000000003
OG1090,-0.287
OG1091,-2.479
OG1092,0.192
OG1093,0.049
OG1094,0.24100000000000002
OG1095,0.22699999999999998
OG1096,-0.201
OG1097,-0.253
OG1098,0.067
OG1099,0.261
OG11,-2.283
OG110,0.174
OG1100,0.33299999999999996
OG1101,0.68
OG1102,-0.363
OG1103,0.608
OG1104,-1.143
OG1105,0.331
OG1106,-0.736
OG1107,-0.46399999999999997
OG1108,-0.36200000000000004
OG1109,-1.653
OG111,0.61
OG1110,0.66
OG1111,0.287
OG1112,0.35200000000000004
OG1113,-0.209
OG1114,-0.069
OG1115,-1.287
OG1116,-0.61
OG1117,0.3
OG1118,0.341
OG1119,-0.259
OG112,0.358
OG1120,-0.675
OG1121,0.084
OG1122,0.09
OG1123,0.52
OG1124,0.07400000000000001
OG1125,0.075
OG1126,-0.17
OG1127,0.337
OG1128,0.41100000000000003
OG1129,-0.413
OG113,-0.221
OG1130,0.226
OG1131,0.109
OG1132,0.138
OG1133,-0.726
OG1134,-0.589
OG1135,0.214
OG1136,0.218
OG1137,0.17800000000000002
OG1138,-0.308
OG1139,0.507
OG114,-0.17300000000000001
OG1140,0.611
OG1141,-0.024
OG1142,-0.883
OG1143,0.091
OG1144,0.281
OG1145,0.309
OG1146,0.526
OG1147,0.22399999999999998
OG1148,-0.515
OG1149,-0.11900000000000001
OG115,-1.3090000000000002
OG1150,-0.165
OG1151,0.39899999999999997
OG1152,0.318
OG1153,1.081
OG1154,-0.28600000000000003
OG1155,0.654
OG1156,0.821
OG1157,0.785
OG1158,-0.46399999999999997
OG1159,-0.998
OG116,0.983
OG1160,0.14300000000000002
OG1161,0.04
OG1162,0.278
OG1163,-0.051
OG1164,-0.33799999999999997
OG1165,-0.077
OG1166,0.315
OG1167,0.486
OG1168,-0.11900000000000001
OG1169,-0.22
OG117,-1.351
OG1170,0.26899999999999996
OG1171,-0.48100000000000004
OG1172,-0.19
OG1173,0.226
OG1174,0.35700000000000004
OG1175,0.001
OG1176,0.14800000000000002
OG1177,-0.086
OG1178,-0.35
OG1179,0.05
OG118,0.233
OG1180,-0.214
OG1181,0.018000000000000002
OG1182,-0.077
OG1183,0.14800000000000002
OG1184,0.139
OG1185,-0.46799999999999997
OG1186,0.203
OG1187,0.35700000000000004
OG1188,0.223
OG1189,0.535
OG119,0.562
OG1190,-0.25
OG1191,0.233
OG1192,0.59
OG1193,0.165
OG1194,-0.036000000000000004
OG1195,-0.293
OG1196,0.9009999999999999
OG1197,1.2409999999999999
OG1198,-0.264
OG1199,0.9079999999999999
OG12,-1.232
OG120,0.212
OG1200,0.153
OG1201,0.311
OG1202,0.20199999999999999
OG1203,0.10099999999999999
OG1204,0.105
OG1205,0.138
OG1206,0.045
OG1207,-0.6990000000000001
OG1208,0.25
OG1209,-0.054000000000000006
OG121,-0.32799999999999996
OG1210,-0.415
OG1211,0.599
OG1212,-0.6679999999999999
OG1213,-1.3619999999999999
OG1214,-0.52
OG1215,-0.017
OG1216,0.191
OG1217,0.502
OG1218,-0.077
OG1219,0.297
OG122,0.9059999999999999
OG1220,0.765
OG1221,0.39299999999999996
OG1222,0.46799999999999997
OG1223,-0.22899999999999998
OG1224,0.002
OG1225,-0.17
OG1226,0.449
OG1227,0.069
OG1228,0.065
OG1229,-0.20800000000000002
OG123,-3.2680000000000002
OG1230,-0.327
OG1231,0.18
OG1232,-0.201
OG1233,0.155
OG1234,0.253
OG1235,0.397
OG1236,0.11900000000000001
OG1237,0.478
OG1238,0.032
OG1239,0.255
OG124,-0.5670000000000001
OG1240,0.32799999999999996
OG1241,0.175
OG1242,0.23
OG1243,0.324
OG1244,0.33
OG1245,-0.059000000000000004
OG1246,0.16399999999999998
OG1247,0.368
OG1248,0.284
OG1249,-0.16399999999999998
OG125,-1.736
OG1250,-0.573
OG1251,-0.16
OG1252,-0.057
OG1253,-0.498
OG1254,0.33
OG1255,0.644
OG1256,-0.376
OG1257,0.19399999999999998
OG1258,0.33399999999999996
OG1259,0.371
OG126,-3.958
OG1260,0.331
OG1261,0.391
OG1262,-0.381
OG1263,-0.025
OG1264,0.221
OG1265,0.43200000000000005
OG1266,0.40399999999999997
OG1267,-0.145
OG1268,0.374
OG1269,-0.037000000000000005
OG127,-6.928
OG1270,-0.284
OG1271,0.41100000000000003
OG1272,0.166
OG1273,-0.284
OG1274,-0.18100000000000002
OG1275,0.16399999999999998
OG1276,0.303
OG1277,0.35700000000000004
OG1278,0.473
OG1279,0.258
OG128,-0.16399999999999998
OG1280,0.256
OG1281,-0.33299999999999996
OG1282,-0.325
OG1283,0.682
OG1284,0.207
OG1285,0.313
OG1286,0.14800000000000002
OG1287,0.18899999999999997
OG1288,-0.29
