Id,log2FoldChange.minus6086vsAll
OG1265,0.21600000000000003
OG1266,-0.23399999999999999
OG1267,0.03
OG1268,0.242
OG1269,0.1
OG127,0.774
OG1270,0.081
OG1271,0.018000000000000002
OG1272,0.019
OG1273,-0.017
OG1274,0.154
OG1275,0.406
OG1276,-0.46299999999999997
OG1277,-0.028999999999999998
OG1278,-0.055999999999999994
OG1279,0.552
OG128,-0.27899999999999997
OG1280,0.11800000000000001
OG1281,0.259
OG1282,0.426
OG1283,0.07
OG1284,0.17
OG1285,-0.402
OG1286,0.034
OG1287,0.266
OG1288,0.6970000000000001
OG1289,0.192
OG129,-0.8079999999999999
OG1290,0.19
OG1291,0.214
OG1292,0.128
OG1293,0.105
OG1294,0.516
OG1295,-0.298
OG1296,0.332
OG1297,0.263
OG1298,0.053
OG1299,0.457
OG13,
OG130,-5.867999999999999
OG1300,0.209
OG1301,-0.12300000000000001
OG1302,0.133
OG1303,0.305
OG1304,0.19699999999999998
OG1305,-0.831
OG1306,-0.713
OG1307,-0.621
OG1308,-0.268
OG1309,-0.7140000000000001
OG131,-0.46399999999999997
OG1310,-0.611
OG1311,-0.33899999999999997
OG1312,0.07200000000000001
OG1313,0.627
OG1314,0.018000000000000002
OG1315,0.077
OG1316,0.046
OG1317,-0.43799999999999994
OG1318,0.633
OG1319,-0.073
OG132,0.028999999999999998
OG1320,0.018000000000000002
OG1321,-0.195
OG1322,0.006999999999999999
OG1323,-0.067
OG1324,-0.163
OG1325,-0.29600000000000004
OG1326,0.198
OG1327,-0.092
OG1328,-0.325
OG1329,0.07400000000000001
OG133,0.159
OG1330,-0.065
OG1331,0.022000000000000002
OG1332,0.13
OG1333,-0.085
OG1334,0.22899999999999998
OG1335,0.21600000000000003
OG1336,0.251
OG1337,0.726
OG1338,0.278
OG1339,0.098
OG134,-0.046
OG1340,-0.353
OG1341,0.335
OG1342,-0.38
OG1343,0.078
OG1344,0.039
OG1345,-0.19699999999999998
OG1346,0.546
OG1347,0.247
OG1348,-0.036000000000000004
OG1349,-0.07200000000000001
OG135,-0.068
OG1350,0.113
OG1351,-0.177
OG1352,0.055
OG1353,-0.059000000000000004
OG1354,-0.17
OG1355,0.28300000000000003
OG1356,0.062
OG1357,0.08800000000000001
OG1358,0.081
OG1359,-0.017
OG136,-1.7930000000000001
OG1360,0.098
OG1361,0.273
OG1362,0.47
OG1363,-0.098
OG1364,-0.006
OG1365,0.07
OG1366,-0.33299999999999996
OG1367,-0.006
OG1368,0.239
OG1369,0.129
OG137,0.669
OG1370,-0.08199999999999999
OG1371,-0.20199999999999999
OG1372,0.115
OG1373,-0.16899999999999998
OG1374,0.075
OG1375,-0.11
OG1376,0.127
OG1377,-0.109
OG1378,-0.027999999999999997
OG1379,0.06
OG138,-3.806
OG1380,0.275
OG1381,0.22
OG1382,-1.025
OG1383,0.156
OG1384,0.266
OG1385,0.179
OG1386,0.20800000000000002
OG1387,0.10400000000000001
OG1388,0.187
OG1389,0.154
OG139,-4.447
OG1390,-0.295
OG1391,0.145
OG1392,-0.242
OG1393,0.092
OG1394,-0.2
OG1395,0.462
OG1396,0.22
OG1397,0.233
OG1398,0.49200000000000005
OG1399,0.22
OG14,0.309
OG140,-0.841
OG1400,0.369
OG1401,0.573
OG1402,0.331
OG1403,-0.085
OG1404,-0.20600000000000002
OG1405,0.147
OG1406,0.7340000000000001
OG1407,0.025
OG1408,0.033
OG1409,-0.126
OG141,0.677
OG1410,0.225
OG1411,-0.096
OG1412,0.27
OG1413,0.063
OG1414,0.166
OG1415,-0.027000000000000003
OG1416,0.14
OG1417,0.259
OG1418,0.514
OG1419,0.289
OG142,0.22699999999999998
OG1420,0.182
OG1421,0.205
OG1422,-0.096
OG1423,0.33
OG1424,0.335
OG1425,0.217
OG1426,0.207
OG1427,0.182
OG1428,0.19899999999999998
OG1429,0.32299999999999995
OG143,
OG1430,0.012
OG1431,0.063
OG1432,-0.14
OG1433,-0.162
OG1434,0.281
OG1435,-0.293
OG1436,-0.389
OG1437,0.264
OG1438,-0.109
OG1439,-0.055
OG144,-4.485
OG1440,0.32
OG1441,0.271
OG1442,0.22
OG1443,-0.397
OG1444,0.131
OG1445,0.021
OG1446,0.15
OG1447,-0.066
OG1448,0.24600000000000002
OG1449,0.358
OG145,0.848
OG1450,0.34600000000000003
OG1451,-0.022000000000000002
OG1452,0.19699999999999998
OG1453,-0.14800000000000002
OG1454,0.171
OG1455,0.134
OG1456,0.036000000000000004
OG1457,-0.10400000000000001
OG1458,-0.096
OG1459,-0.17800000000000002
OG146,-0.055
OG1460,0.209
OG1461,0.08900000000000001
OG1462,-0.06
OG1463,-0.308
OG1464,0.182
OG1465,0.17800000000000002
OG1466,0.193
OG1467,0.266
OG1468,0.37
OG1469,0.345
OG147,0.36700000000000005
OG1470,0.102
OG1471,0.085
OG1472,0.14300000000000002
OG1473,0.562
OG1474,0.22699999999999998
OG1475,0.08199999999999999
OG1476,0.027000000000000003
OG1477,0.263
OG1478,0.344
OG1479,0.156
OG148,-0.758
OG1480,0.297
OG1481,0.147
OG1482,0.027000000000000003
OG1483,-0.196
OG1484,0.35600000000000004
OG1485,0.059000000000000004
OG1486,0.031
OG1487,0.109
OG1488,0.14
OG1489,-0.083
OG149,0.5329999999999999
OG1490,0.231
OG1491,0.42700000000000005
OG1492,-0.494
OG1493,0.129
OG1494,0.375
OG1495,0.573
OG1496,0.8440000000000001
OG1497,0.27699999999999997
OG1498,0.8590000000000001
OG1499,0.165
OG15,-0.42100000000000004
OG150,0.0
OG1500,0.081
OG1501,-0.818
OG1502,0.256
OG1503,0.297
OG1504,0.536
OG1505,-0.135
OG1506,-0.024
OG1507,0.247
OG1508,0.154
OG1509,-0.09
OG151,0.51
OG1510,0.239
OG1511,-0.099
OG1512,0.017
OG1513,0.312
OG1514,0.146
OG1515,0.154
OG1516,-0.008
OG1517,0.039
OG1518,0.092
OG1519,0.221
OG152,-3.0010000000000003
OG1520,0.187
OG1521,0.154
OG1522,0.243
OG1523,-0.09300000000000001
OG1524,0.122
OG1525,0.036000000000000004
OG1526,0.16699999999999998
OG1527,0.031
OG1528,0.171
OG1529,0.11
OG153,-0.758
OG1530,0.049
OG1531,0.049
OG1532,0.129
OG1533,0.038
OG1534,0.38799999999999996
OG1535,0.18899999999999997
OG1536,0.085
OG1537,0.365
OG1538,-0.1
OG1539,-0.142
OG154,0.626
OG1540,0.358
OG1541,-0.185
OG1542,0.405
OG1543,-0.012
OG1544,0.474
OG1545,0.051
OG1546,-0.048
OG1547,0.235
OG1548,0.41200000000000003
OG1549,-0.006
OG155,-0.222
OG1550,0.09699999999999999
OG1551,0.085
OG1552,0.114
OG1553,0.982
OG1554,0.225
OG1555,0.16399999999999998
OG1556,0.444
OG1557,-0.258
OG1558,0.28600000000000003
OG1559,0.306
OG156,0.19699999999999998
OG1560,0.109
OG1561,0.364
OG1562,0.713
OG1563,0.055999999999999994
OG1564,0.27699999999999997
OG1565,0.467
OG1566,0.105
OG1567,0.28800000000000003
OG1568,0.22399999999999998
OG1569,0.009000000000000001
OG157,-0.73
OG1570,-0.156
OG1571,0.129
OG1572,-0.115
OG1573,0.157
OG1574,-0.07
OG1575,0.16
OG1576,0.18100000000000002
OG1577,0.057
OG1578,0.221
OG1579,-0.17800000000000002
OG158,0.145
OG1580,0.319
OG1581,0.205
OG1582,-0.011000000000000001
OG1583,-0.005
OG1584,0.038
OG1585,0.09
OG1586,0.12
OG1587,0.293
OG1588,0.379
OG1589,-0.166
OG159,0.7290000000000001
OG1590,0.325
OG1591,-0.07
OG1592,0.384
OG1593,0.081
OG1594,0.364
OG1595,0.107
OG1596,0.252
OG1597,0.136
OG1598,0.163
OG1599,0.071
OG16,-0.6709999999999999
OG160,0.402
OG1600,0.19899999999999998
OG1601,-0.021
OG1602,0.217
OG1603,0.13699999999999998
OG1604,0.287
OG1605,0.01
OG1606,0.516
OG1607,0.38299999999999995
OG1608,0.324
OG1609,0.141
OG161,-1.3519999999999999
OG1610,0.322
OG1611,-0.07400000000000001
OG1612,-0.11199999999999999
OG1613,-0.21100000000000002
OG1614,0.158
OG1615,0.439
OG1616,0.306
OG1617,0.711
OG1618,-0.076
OG1619,0.115
OG162,-0.259
OG1620,0.42200000000000004
OG1621,-0.17800000000000002
OG1622,-0.035
OG1623,0.609
OG1624,0.09699999999999999
OG1625,0.003
OG1626,0.41
OG1627,-0.146
OG1628,0.038
OG1629,-0.138
OG163,-3.384
OG1630,0.131
OG1631,0.529
OG1632,-0.203
OG1633,0.17600000000000002
OG1634,0.391
OG1635,-0.156
OG1636,0.006
OG1637,0.073
OG1638,-0.013000000000000001
OG1639,0.067
OG164,0.0
OG1640,0.183
OG1641,0.319
OG1642,0.26899999999999996
OG1643,0.039
OG1644,0.079
OG1645,-0.166
OG1646,0.292
OG1647,0.024
OG1648,-0.12300000000000001
OG1649,0.115
OG165,-0.213
OG1650,0.973
OG1651,-0.149
OG1652,-0.23199999999999998
OG1653,-0.021
OG1654,0.48200000000000004
OG1655,-0.129
OG1656,0.253
OG1657,-0.049
OG1658,0.142
OG1659,-1.045
OG166,-0.039
OG1660,0.7809999999999999
OG1661,0.196
OG1662,-1.395
OG1663,-0.053
OG1664,0.146
OG1665,0.11800000000000001
OG1666,0.06
OG1667,0.39299999999999996
OG1668,0.071
OG1669,-0.004
OG167,0.21899999999999997
OG1670,0.309
OG1671,0.555
OG1672,0.179
OG1673,-0.147
OG1674,0.081
OG1675,0.217
OG1676,0.087
OG1677,0.305
OG1678,0.19399999999999998
OG1679,0.478
OG168,-0.664
OG1680,-0.10800000000000001
OG1681,0.457
OG1682,0.32799999999999996
OG1683,-0.1
OG1684,-0.019
OG1685,-0.004
OG1686,0.14300000000000002
OG1687,-0.028999999999999998
OG1688,-0.344
OG1689,-0.382
OG169,0.295
OG1690,0.114
OG1691,0.541
OG1692,0.42200000000000004
OG1693,-0.073
OG1694,0.065
OG1695,0.151
OG1696,0.091
OG1697,0.528
OG1698,0.48700000000000004
OG1699,0.757
OG17,
OG170,-0.544
OG1700,0.6709999999999999
OG1701,-0.14300000000000002
OG1702,0.375
OG1703,-0.325
OG1704,0.518
OG1705,-0.057999999999999996
OG1706,-0.073
OG1707,0.685
OG1708,0.11
OG1709,0.08900000000000001
OG171,-3.091
OG1710,0.36
OG1711,-0.11900000000000001
OG1712,-0.187
OG1713,0.003
OG1714,-0.016
OG1715,0.331
OG1716,-0.537
OG1717,0.006
OG1718,-0.12
OG1719,0.293
OG172,0.401
OG1720,0.44
OG1721,-0.23
OG1722,0.149
OG1723,0.33799999999999997
OG1724,0.34700000000000003
OG1725,-0.03
OG1726,0.207
OG1727,0.7809999999999999
OG1728,0.79
OG1729,-0.13
OG173,0.095
OG1730,0.66
OG1731,0.063
OG1732,0.32299999999999995
OG1733,-0.943
OG1734,0.11800000000000001
OG1735,0.128
OG1736,0.331
OG1737,-0.023
OG1738,0.223
OG1739,0.408
OG174,-1.651
OG1740,-0.262
OG1741,0.539
OG1742,-0.231
OG1743,-0.069
OG1744,0.10400000000000001
OG1745,0.28800000000000003
OG1746,0.308
OG1747,0.02
OG1748,0.493
OG1749,0.20600000000000002
OG175,-0.201
OG1750,0.121
OG1751,0.401
OG1752,1.1440000000000001
OG1753,0.023
OG1754,0.19899999999999998
OG1755,0.10400000000000001
OG1756,-0.36
OG1757,0.065
OG1758,-0.415
OG1759,0.083
OG176,-1.89
OG1760,0.5720000000000001
OG1761,0.151
OG1762,0.24100000000000002
OG1763,1.031
OG1764,0.006999999999999999
OG1765,0.222
OG1766,0.536
OG1767,-1.324
OG1768,0.036000000000000004
OG1769,0.06
OG177,-2.737
OG1770,0.522
OG1771,0.038
OG1772,0.021
OG1773,-0.172
OG1774,0.792
OG1775,-0.368
OG1776,-1.071
OG1777,0.179
OG1778,0.036000000000000004
OG1779,0.076
OG178,-0.593
OG1780,-0.344
OG1781,0.065
OG1782,-0.256
OG1783,
OG1784,-0.758
OG1785,1.642
OG1786,-1.558
OG1787,0.32799999999999996
OG1788,-1.6680000000000001
OG1789,0.08
OG179,0.083
OG1790,0.205
OG1791,0.174
OG1792,-1.057
OG1793,0.746
OG1794,-0.893
OG1795,0.05
OG1796,-0.611
OG1797,1.6
OG1798,0.39899999999999997
OG1799,0.5770000000000001
OG18,0.132
OG180,0.0
OG1800,0.5479999999999999
OG1801,-0.031
OG1802,0.011000000000000001
OG1803,0.451
OG1804,0.648
OG1805,0.002
OG1806,-0.758
OG1807,-1.162
OG1808,0.319
OG1809,-1.18
OG181,0.627
OG1810,-0.586
OG1811,0.737
OG1812,-0.8420000000000001
OG1813,2.803
OG1814,0.061
OG1815,-0.23
OG1816,0.39
OG1817,0.413
OG1818,-0.35600000000000004
OG1819,0.044000000000000004
OG182,1.167
OG1820,-0.062
OG1821,0.027000000000000003
OG1822,0.111
OG1823,-0.059000000000000004
OG1824,-0.187
OG1825,0.728
OG1826,0.12
OG1827,0.294
OG1828,-0.9570000000000001
OG1829,1.253
OG183,-1.776
OG1830,1.011
OG1831,-0.079
OG1832,-0.284
OG1833,0.307
OG1834,-0.017
OG1835,-0.381
OG1836,0.203
OG1837,0.804
OG1838,0.052000000000000005
OG1839,-2.345
OG184,-0.004
OG1840,-0.758
OG1841,0.953
OG1842,-0.171
OG1843,0.142
OG1844,0.7
OG1845,0.0
OG1846,-0.525
OG1847,-0.175
OG1848,-0.06
OG1849,0.7959999999999999
OG185,0.11800000000000001
OG1850,0.064
OG1851,-0.136
OG1852,0.5660000000000001
OG1853,-0.893
OG1854,0.11
OG1855,0.963
OG1856,0.727
OG1857,1.131
OG1858,0.43700000000000006
OG1859,0.753
OG186,-0.5329999999999999
OG1860,0.9540000000000001
OG1861,0.581
OG1862,0.053
OG1863,1.1
OG1864,0.242
OG1865,-0.038
OG1866,-0.713
OG1867,0.174
OG1868,-0.39399999999999996
OG1869,0.0
OG187,0.289
OG1870,1.224
OG1871,0.812
OG1872,-0.501
OG1873,0.0
OG1874,-0.031
OG1875,0.5
OG1876,2.041
OG1877,-5.127000000000001
OG1878,-1.315
OG1879,0.257
OG188,0.17600000000000002
OG1880,0.44
OG1881,-1.0
OG1882,
OG1883,3.0980000000000003
OG1884,0.591
OG1885,0.8759999999999999
OG1886,0.752
OG1887,0.8170000000000001
OG1888,0.0
OG1889,0.491
OG189,-0.27899999999999997
OG1890,-0.128
OG1891,0.035
OG1892,0.836
OG1893,-2.385
OG1894,-1.003
OG1895,0.987
OG1896,0.204
OG1897,0.071
OG1898,-0.703
OG1899,0.013000000000000001
OG19,-5.803999999999999
OG190,-0.441
OG1900,0.308
OG1901,-0.109
OG1902,0.522
OG1903,-0.18899999999999997
OG1904,0.111
OG1905,0.818
OG1906,2.334
OG1907,1.131
OG1908,0.253
OG1909,0.638
OG191,-1.111
OG1910,0.0
OG1911,-2.8989999999999996
OG1912,
OG1913,0.064
OG1914,-1.868
OG1915,-5.332000000000001
OG1916,-0.22699999999999998
OG1917,0.064
OG1918,-0.62
OG1919,0.637
OG192,0.616
OG1920,-0.6579999999999999
OG1921,0.584
OG1922,0.175
OG1923,0.043
OG1924,0.852
OG1925,-0.317
OG1926,-0.7290000000000001
OG1927,-1.999
OG1928,0.365
OG1929,0.748
OG193,1.217
OG1930,1.224
OG1931,0.162
OG1932,-4.425
OG1933,-2.084
OG1934,-2.295
OG1935,0.18600000000000003
OG1936,0.08199999999999999
OG1937,1.4080000000000001
OG1938,0.34
OG1939,-1.1159999999999999
OG194,0.434
OG1940,0.652
OG1941,0.636
OG1942,
OG1943,0.0
OG1944,
OG1945,-0.758
OG1946,-2.335
OG1947,
OG1948,
OG1949,
OG195,-0.267
OG1950,
OG1951,
OG1952,1.224
OG1953,
OG1954,-3.255
OG1955,-0.087
OG1956,-1.761
OG1957,0.74
OG1958,-0.8140000000000001
OG1959,0.0
OG196,-0.336
OG1960,-1.8719999999999999
OG1961,0.956
OG1962,0.917
OG1963,-0.758
OG1964,0.489
OG1965,
OG1966,0.183
OG1967,1.857
OG1968,0.0
OG1969,-0.758
OG197,-2.251
OG1970,-0.231
OG1971,1.393
OG1972,1.2819999999999998
OG1973,-1.125
OG1974,-0.7
OG1975,-0.22699999999999998
OG1976,0.735
OG1977,0.0
OG1978,0.49700000000000005
OG1979,-0.611
OG198,
OG1980,-0.993
OG1981,0.695
OG1982,0.882
OG1983,1.036
OG1984,-0.349
OG1985,0.005
OG1986,0.711
OG1987,
OG1988,-1.409
OG1989,0.08800000000000001
OG199,1.264
OG1990,1.9680000000000002
OG1991,0.435
OG1992,
OG1993,
OG1994,1.376
OG1995,1.264
OG1996,
OG1997,
OG1998,-0.537
OG1999,0.22399999999999998
OG2,0.508
OG20,0.0
OG200,-0.157
OG2000,0.563
OG2001,-1.151
OG2002,-0.11599999999999999
OG2003,0.0
OG2004,1.131
OG2005,0.0
OG2006,0.0
OG2007,
OG2008,-4.1819999999999995
OG2009,1.62
OG201,-1.423
OG2010,0.295
OG2011,
OG2012,-1.324
OG2013,0.451
OG2014,0.73
OG2015,-0.46399999999999997
OG2016,1.224
OG2017,0.259
OG2018,0.27
OG2019,
OG202,1.9669999999999999
OG2020,0.22699999999999998
OG2021,-0.179
OG2022,0.465
OG2023,0.23600000000000002
OG2024,0.292
OG2025,-3.9210000000000003
OG2026,-0.758
OG2027,-0.758
OG2028,0.7909999999999999
OG2029,-0.71
OG203,0.391
OG2030,-0.6779999999999999
OG2031,-0.562
OG2032,-1.6469999999999998
OG2033,0.36
OG2034,0.301
OG2035,2.0540000000000003
OG2036,0.736
OG2037,0.612
OG2038,0.574
OG2039,0.5660000000000001
OG204,-0.233
OG2040,-0.996
OG2041,-2.463
OG2042,0.349
OG2043,0.726
OG2044,-1.344
OG2045,-0.674
OG2046,-1.28
OG2047,-2.977
OG2048,-0.08199999999999999
OG2049,
OG205,-0.113
OG2050,-0.62
OG2051,0.7090000000000001
OG2052,1.1340000000000001
OG2053,-0.262
OG2054,-0.449
OG2055,0.39299999999999996
OG2056,1.425
OG2057,-1.04
OG2058,1.291
OG2059,-0.486
OG206,0.067
OG2060,0.081
OG2061,-0.758
OG2062,0.537
OG2063,0.113
OG2064,-0.054000000000000006
OG2065,-0.24
OG2066,0.14800000000000002
OG2067,0.276
OG2068,0.5479999999999999
OG2069,0.20199999999999999
OG207,-0.836
OG2070,0.114
OG2071,-0.045
OG2072,-2.198
OG2073,0.09699999999999999
OG2074,0.79
OG2075,0.153
OG2076,0.7070000000000001
OG2077,0.256
OG2078,-0.161
OG2079,0.149
OG208,-0.708
OG2080,0.375
OG2081,
OG2082,0.34299999999999997
OG2083,0.754
OG2084,0.20800000000000002
OG2085,-0.344
OG2086,-0.414
OG2087,-0.059000000000000004
OG2088,0.7490000000000001
OG2089,-1.617
OG209,-0.201
OG2090,-0.166
OG2091,-1.639
OG2092,-0.027999999999999997
OG2093,-0.528
OG2094,-1.3159999999999998
OG2095,0.413
OG2096,0.20199999999999999
OG2097,-0.184
OG2098,0.008
OG2099,-0.24
OG21,-0.862
OG210,0.428
OG2100,-0.254
OG2101,-0.35700000000000004
OG2102,-0.34299999999999997
OG2103,-0.267
OG2104,-0.48
OG2105,-0.93
OG2106,-0.446
OG2107,-0.506
OG2108,-1.125
OG2109,0.752
OG211,-0.732
OG2110,-0.47100000000000003
OG2111,0.396
OG2112,0.547
OG2113,0.048
OG2114,-3.167
OG2115,0.222
OG2116,-1.601
OG2117,-3.528
OG2118,-1.063
OG2119,0.721
OG212,-0.7340000000000001
OG2120,0.225
OG2121,-1.311
OG2122,-1.194
OG2123,-0.405
OG2124,-1.298
OG2125,-0.377
OG2126,-0.215
OG2127,1.4580000000000002
OG2128,
OG2129,-2.9139999999999997
OG213,0.22399999999999998
OG2130,
OG2131,0.8140000000000001
OG2132,0.527
OG2133,
OG2134,
OG2135,
OG2136,
OG2137,
OG2138,
OG2139,
OG214,2.3369999999999997
OG2140,
OG2141,
OG2142,
OG2143,
OG2144,
OG2145,
OG2146,
OG2147,
OG2148,
OG2149,-0.758
OG215,-0.23199999999999998
OG2150,-0.16
OG2151,-1.966
OG2152,0.0
OG2153,-0.797
OG2154,0.0
OG2155,0.486
OG2156,0.25
OG2157,0.33299999999999996
OG2158,1.057
OG2159,0.077
OG216,-1.996
OG2160,-0.08
OG2161,0.49200000000000005
OG2162,0.287
OG2163,0.36
OG2164,-1.003
OG2165,-1.3559999999999999
OG2166,0.679
OG2167,
OG2168,0.8420000000000001
OG2169,0.18
OG217,-1.4180000000000001
OG2170,-3.273
OG2171,0.34
OG2172,-2.461
OG2173,-0.212
OG2174,0.149
OG2175,-0.415
OG2176,0.218
OG2177,-1.3119999999999998
OG2178,-0.10800000000000001
OG2179,
OG218,-0.36700000000000005
OG2180,
OG2181,0.0
OG2182,0.0
OG2183,0.478
OG2184,0.8290000000000001
OG2185,
OG2186,-0.266
OG2187,-0.40299999999999997
OG2188,-1.995
OG2189,-0.201
OG219,1.643
OG2190,0.465
OG2191,-0.604
OG2192,-0.386
