Id,log2FoldChange.minusSTvsAll
OG127,-0.2
OG1270,-0.467
OG1271,0.619
OG1272,0.385
OG1273,-0.48200000000000004
OG1274,-0.287
OG1275,0.322
OG1276,-0.22
OG1277,0.447
OG1278,0.565
OG1279,0.878
OG128,-0.716
OG1280,0.486
OG1281,-0.011000000000000001
OG1282,-0.303
OG1283,0.11599999999999999
OG1284,0.55
OG1285,4.245
OG1286,4.796
OG1287,0.396
OG1288,0.5529999999999999
OG1289,0.35600000000000004
OG129,0.639
OG1290,0.248
OG1291,-0.079
OG1292,-0.16399999999999998
OG1293,-0.059000000000000004
OG1294,-0.205
OG1295,-0.042
OG1296,0.289
OG1297,-0.034
OG1298,0.498
OG1299,-0.239
OG13,
OG130,-0.991
OG1300,1.86
OG1301,0.125
OG1302,0.887
OG1303,-0.091
OG1304,0.318
OG1305,-1.5190000000000001
OG1306,-1.5019999999999998
OG1307,-1.524
OG1308,0.36700000000000005
OG1309,-0.262
OG131,-0.616
OG1310,-1.2590000000000001
OG1311,-1.138
OG1312,0.408
OG1313,3.801
OG1314,-0.263
OG1315,-0.23
OG1316,0.204
OG1317,-0.223
OG1318,3.815
OG1319,0.465
OG132,0.33299999999999996
OG1320,-0.142
OG1321,0.32799999999999996
OG1322,0.002
OG1323,0.19399999999999998
OG1324,0.524
OG1325,-0.135
OG1326,0.6729999999999999
OG1327,-0.187
OG1328,-0.35600000000000004
OG1329,0.081
OG133,-0.17600000000000002
OG1330,-0.183
OG1331,0.373
OG1332,-0.34700000000000003
OG1333,-0.034
OG1334,0.18100000000000002
OG1335,0.039
OG1336,0.113
OG1337,1.041
OG1338,-0.12300000000000001
OG1339,-0.284
OG134,-0.221
OG1340,0.797
OG1341,0.569
OG1342,-0.036000000000000004
OG1343,0.17800000000000002
OG1344,0.009000000000000001
OG1345,0.052000000000000005
OG1346,0.39299999999999996
OG1347,0.72
OG1348,-0.16899999999999998
OG1349,0.168
OG135,-0.326
OG1350,-0.031
OG1351,-0.141
OG1352,-1.2770000000000001
OG1353,0.359
OG1354,0.13699999999999998
OG1355,0.606
OG1356,0.94
OG1357,0.111
OG1358,0.24
OG1359,0.132
OG136,-1.4480000000000002
OG1360,-0.128
OG1361,0.27399999999999997
OG1362,1.355
OG1363,0.597
OG1364,-0.303
OG1365,-0.496
OG1366,0.536
OG1367,0.055
OG1368,0.426
OG1369,-0.004
OG137,-0.843
OG1370,-0.177
OG1371,-0.281
OG1372,-0.27
OG1373,-0.37200000000000005
OG1374,-0.34700000000000003
OG1375,-0.528
OG1376,0.289
OG1377,0.057999999999999996
OG1378,0.21899999999999997
OG1379,0.083
OG138,-1.649
OG1380,0.40399999999999997
OG1381,-3.2239999999999998
OG1382,-1.1909999999999998
OG1383,0.34
OG1384,0.21899999999999997
OG1385,-0.267
OG1386,0.75
OG1387,0.25
OG1388,0.248
OG1389,0.23199999999999998
OG139,-0.97
OG1390,-0.122
OG1391,-0.385
OG1392,-0.159
OG1393,0.348
OG1394,0.133
OG1395,0.8759999999999999
OG1396,0.129
OG1397,0.177
OG1398,0.897
OG1399,0.8490000000000001
OG14,0.903
OG140,0.31
OG1400,-0.331
OG1401,0.878
OG1402,-0.353
OG1403,0.11900000000000001
OG1404,0.37799999999999995
OG1405,0.516
OG1406,0.5379999999999999
OG1407,0.196
OG1408,0.005
OG1409,0.044000000000000004
OG141,-0.515
OG1410,-0.639
OG1411,0.406
OG1412,0.092
OG1413,0.261
OG1414,-0.425
OG1415,0.28
OG1416,0.6559999999999999
OG1417,0.83
OG1418,0.8220000000000001
OG1419,-0.622
OG142,-0.10300000000000001
OG1420,0.20600000000000002
OG1421,0.14
OG1422,0.11199999999999999
OG1423,0.701
OG1424,0.64
OG1425,0.5479999999999999
OG1426,0.331
OG1427,0.024
OG1428,0.19
OG1429,-0.315
OG143,
OG1430,0.315
OG1431,-0.049
OG1432,0.6509999999999999
OG1433,0.086
OG1434,1.024
OG1435,0.08
OG1436,0.139
OG1437,-0.18899999999999997
OG1438,-0.385
OG1439,1.508
OG144,-0.893
OG1440,1.929
OG1441,-0.075
OG1442,-0.7070000000000001
OG1443,0.223
OG1444,0.293
OG1445,0.22399999999999998
OG1446,0.535
OG1447,-0.313
OG1448,0.32299999999999995
OG1449,-0.626
OG145,-0.46799999999999997
OG1450,0.079
