Id,log2FoldChange.minus10675vsAll
OG0,0.922
OG1,-0.336
OG10,1.0270000000000001
OG100,0.04
OG1000,0.28
OG1001,-0.7440000000000001
OG1002,0.087
OG1003,0.9690000000000001
OG1004,0.988
OG1005,-0.562
OG1006,-0.932
OG1007,-0.691
OG1008,-1.465
OG1009,0.782
OG101,0.066
OG1010,-0.081
OG1011,-0.278
OG1012,0.888
OG1013,-0.616
OG1014,0.638
OG1015,0.063
OG1016,0.091
OG1017,0.7070000000000001
OG1018,0.43799999999999994
OG1019,0.7659999999999999
OG102,-2.614
OG1020,-1.3
OG1021,-0.26
OG1022,0.92
OG1023,0.22699999999999998
OG1024,-0.102
OG1025,0.18600000000000003
OG1026,0.927
OG1027,0.19
OG1028,-0.956
OG1029,-2.742
OG103,-0.139
OG1030,-5.649
OG1031,-0.318
OG1032,0.6920000000000001
OG1033,-1.6580000000000001
OG1034,0.652
OG1035,-1.6680000000000001
OG1036,-0.203
OG1037,0.512
OG1038,1.2409999999999999
OG1039,-0.05
OG104,-0.87
OG1040,-0.5529999999999999
OG1041,-0.002
OG1042,-0.983
OG1043,0.326
OG1044,-0.154
OG1045,1.3530000000000002
OG1046,0.28800000000000003
OG1047,-0.165
OG1048,1.676
OG1049,-0.389
OG105,-0.139
OG1050,1.2429999999999999
OG1051,2.207
OG1052,-0.7559999999999999
OG1053,-1.719
OG1054,-0.245
OG1055,-0.7240000000000001
OG1056,-6.765
OG1057,-0.006
OG1058,0.0
OG1059,0.6609999999999999
OG106,0.555
OG1060,-0.381
OG1061,0.637
OG1062,-0.043
OG1063,0.044000000000000004
OG1064,0.39399999999999996
OG1065,-0.746
OG1066,0.163
OG1067,-0.953
OG1068,-0.38799999999999996
OG1069,1.8230000000000002
OG107,1.601
OG1070,0.303
OG1071,-2.6830000000000003
OG1072,0.159
OG1073,0.414
OG1074,-0.501
OG1075,0.425
OG1076,-0.311
OG1077,-0.429
OG1078,-0.46299999999999997
OG1079,-0.07
OG108,0.0
OG1080,1.4669999999999999
OG1081,-0.606
OG1082,-0.7290000000000001
OG1083,-0.29
OG1084,0.212
OG1085,0.015
OG1086,2.449
OG1087,0.517
OG1088,-1.818
OG1089,-0.024
OG109,-0.746
OG1090,-0.772
OG1091,1.209
OG1092,-0.255
OG1093,-2.84
OG1094,-0.733
OG1095,-0.647
OG1096,-0.027999999999999997
OG1097,0.987
OG1098,1.719
OG1099,0.263
OG11,-1.392
OG110,0.705
OG1100,0.087
OG1101,-1.345
OG1102,1.1340000000000001
OG1103,0.451
OG1104,0.285
OG1105,-0.253
OG1106,0.625
OG1107,0.366
OG1108,-0.8079999999999999
OG1109,-0.395
OG111,0.557
OG1110,-2.031
OG1111,-0.141
OG1112,0.9079999999999999
OG1113,0.032
OG1114,-0.44299999999999995
OG1115,0.076
OG1116,0.483
OG1117,0.33299999999999996
OG1118,-1.608
OG1119,-0.34700000000000003
OG112,0.752
OG1120,0.094
OG1121,-0.38299999999999995
OG1122,-1.042
OG1123,2.042
OG1124,-0.052000000000000005
OG1125,0.594
OG1126,0.449
OG1127,-0.534
OG1128,-0.304
OG1129,1.02
OG113,-0.078
OG1130,0.125
OG1131,0.46799999999999997
OG1132,0.866
OG1133,-0.015
OG1134,-0.583
OG1135,0.096
OG1136,-0.02
OG1137,-0.22399999999999998
OG1138,1.526
OG1139,0.225
OG114,0.972
OG1140,0.355
OG1141,-0.278
OG1142,0.085
OG1143,0.052000000000000005
OG1144,-0.066
OG1145,-0.051
OG1146,-0.7240000000000001
OG1147,0.28800000000000003
OG1148,0.046
OG1149,-0.45299999999999996
OG115,-1.2930000000000001
OG1150,-0.193
OG1151,-0.364
OG1152,-0.032
OG1153,-0.878
OG1154,-0.107
OG1155,-0.307
OG1156,0.765
OG1157,0.725
OG1158,-0.698
OG1159,0.7
OG116,0.039
OG1160,0.43700000000000006
OG1161,0.732
OG1162,0.595
OG1163,-0.23399999999999999
OG1164,-0.379
OG1165,-0.259
OG1166,1.67
OG1167,0.7040000000000001
OG1168,0.6679999999999999
OG1169,-0.005
OG117,0.41200000000000003
OG1170,-0.272
OG1171,-1.516
OG1172,-0.18100000000000002
OG1173,0.048
OG1174,0.981
OG1175,0.895
OG1176,-0.135
OG1177,0.34299999999999997
OG1178,0.725
OG1179,0.568
OG118,-0.884
OG1180,0.429
OG1181,-0.106
OG1182,0.21
OG1183,0.23600000000000002
OG1184,0.114
OG1185,0.97
OG1186,0.409
OG1187,0.519
OG1188,0.6920000000000001
OG1189,0.166
OG119,-0.547
OG1190,0.765
OG1191,0.616
OG1192,0.9279999999999999
OG1193,0.9079999999999999
OG1194,-1.077
OG1195,0.15
OG1196,0.124
OG1197,1.679
OG1198,0.496
OG1199,-1.281
OG12,0.599
OG120,0.09
OG1200,0.46399999999999997
OG1201,0.027000000000000003
OG1202,0.97
OG1203,0.312
OG1204,0.032
OG1205,0.9620000000000001
OG1206,0.17300000000000001
OG1207,0.503
OG1208,0.265
OG1209,0.129
OG121,-1.8130000000000002
OG1210,0.036000000000000004
OG1211,0.09
OG1212,0.114
OG1213,0.7959999999999999
OG1214,0.862
OG1215,0.075
OG1216,2.109
OG1217,0.5870000000000001
OG1218,0.457
OG1219,0.9009999999999999
OG122,-1.0490000000000002
OG1220,-0.295
OG1221,0.06
OG1222,0.21100000000000002
OG1223,-0.386
OG1224,0.289
OG1225,0.6559999999999999
OG1226,-0.14300000000000002
OG1227,-0.065
OG1228,1.044
OG1229,0.617
OG123,1.238
OG1230,-0.157
OG1231,-0.136
OG1232,0.24600000000000002
OG1233,0.5429999999999999
OG1234,0.07
OG1235,0.515
OG1236,0.8079999999999999
OG1237,0.8340000000000001
OG1238,0.218
OG1239,0.71
OG124,0.183
OG1240,0.735
OG1241,0.512
OG1242,-0.353
OG1243,0.9640000000000001
OG1244,-1.097
OG1245,0.09300000000000001
OG1246,-0.43700000000000006
OG1247,0.608
OG1248,-0.35200000000000004
OG1249,1.3719999999999999
OG125,1.963
OG1250,0.11199999999999999
OG1251,0.449
OG1252,-0.502
OG1253,-0.243
OG1254,1.95
OG1255,-0.34
OG1256,-0.41200000000000003
OG1257,-0.033
OG1258,-0.275
OG1259,0.312
OG126,0.76
OG1260,0.6779999999999999
OG1261,-1.3619999999999999
OG1262,0.34600000000000003
OG1263,-0.113
OG1264,0.015
OG1265,1.051
OG1266,-0.42100000000000004
OG1267,-0.273
OG1268,-0.354
OG1269,0.06
OG127,0.853
OG1270,-0.603
OG1271,0.138
OG1272,-0.071
OG1273,-0.29600000000000004
OG1274,-0.9259999999999999
OG1275,-0.10800000000000001
OG1276,-0.562
OG1277,0.698
OG1278,0.495
OG1279,1.55
OG128,-2.384
OG1280,0.406
OG1281,0.128
OG1282,-0.614
OG1283,0.124
OG1284,0.6759999999999999
OG1285,0.276
OG1286,1.048
OG1287,0.7440000000000001
OG1288,1.7930000000000001
OG1289,0.685
OG129,-0.89
OG1290,0.031
OG1291,-0.02
OG1292,0.326
OG1293,-0.314
OG1294,1.215
OG1295,1.004
OG1296,0.573
OG1297,0.47700000000000004
OG1298,-0.377
OG1299,0.5589999999999999
OG13,
OG130,0.536
OG1300,1.8
OG1301,0.10099999999999999
OG1302,1.499
OG1303,0.33799999999999997
OG1304,0.851
OG1305,-1.588
OG1306,-1.571
OG1307,-1.2
OG1308,0.139
OG1309,0.545
OG131,0.996
OG1310,-0.9309999999999999
OG1311,-0.469
OG1312,0.025
OG1313,1.19
OG1314,-0.115
OG1315,-0.158
OG1316,0.634
OG1317,0.41
OG1318,1.117
OG1319,0.439
OG132,-1.6909999999999998
OG1320,-0.361
OG1321,0.287
OG1322,-0.099
OG1323,-0.597
OG1324,0.37200000000000005
OG1325,0.772
OG1326,0.36200000000000004
OG1327,-0.47
OG1328,-0.706
OG1329,-0.349
OG133,-4.579
OG1330,-0.345
OG1331,-0.054000000000000006
OG1332,-0.17300000000000001
OG1333,0.409
OG1334,-0.24
OG1335,0.166
OG1336,0.16
OG1337,1.117
OG1338,0.503
OG1339,-0.038
OG134,-0.217
OG1340,0.485
OG1341,0.9309999999999999
OG1342,0.18600000000000003
OG1343,0.701
OG1344,0.308
OG1345,0.57
OG1346,1.0979999999999999
OG1347,0.965
OG1348,-0.831
OG1349,-0.063
OG135,-1.044
OG1350,-0.131
OG1351,0.574
OG1352,-1.068
OG1353,-0.552
OG1354,-0.747
OG1355,0.491
OG1356,-0.024
OG1357,-0.22399999999999998
OG1358,0.282
OG1359,-0.332
OG136,-0.88
OG1360,-0.336
OG1361,0.006999999999999999
OG1362,0.064
OG1363,0.366
OG1364,-0.17600000000000002
OG1365,-0.228
OG1366,-0.863
OG1367,-1.156
OG1368,0.441
OG1369,0.098
OG137,1.207
OG1370,-0.7509999999999999
OG1371,-0.484
OG1372,-0.57
OG1373,-1.083
OG1374,-0.557
OG1375,-0.606
OG1376,0.523
OG1377,0.004
OG1378,-0.17800000000000002
OG1379,0.081
OG138,-0.259
OG1380,0.35600000000000004
OG1381,-1.185
OG1382,-0.10300000000000001
OG1383,0.23199999999999998
OG1384,0.092
OG1385,-0.381
OG1386,0.518
OG1387,-0.541
OG1388,0.142
OG1389,0.08
OG139,0.409
OG1390,0.327
OG1391,-0.39299999999999996
OG1392,-0.69
OG1393,-0.425
OG1394,-0.355
OG1395,0.993
OG1396,0.031
OG1397,0.284
OG1398,1.331
OG1399,1.204
OG14,0.504
OG140,0.09300000000000001
OG1400,-0.193
OG1401,0.988
OG1402,0.07200000000000001
OG1403,-0.264
OG1404,0.17600000000000002
OG1405,0.617
OG1406,0.927
OG1407,0.46
OG1408,-0.07
OG1409,-0.79
OG141,-0.16
OG1410,-0.26899999999999996
OG1411,0.052000000000000005
OG1412,0.69
OG1413,0.46
OG1414,-0.27399999999999997
OG1415,0.145
OG1416,0.607
OG1417,0.63
OG1418,0.9390000000000001
OG1419,-0.35100000000000003
OG142,-1.111
OG1420,0.298
OG1421,0.037000000000000005
OG1422,0.207
OG1423,0.41600000000000004
OG1424,0.563
OG1425,0.695
OG1426,0.556
OG1427,0.205
OG1428,0.1
OG1429,-0.016
OG143,
OG1430,0.684
OG1431,-0.365
OG1432,-0.314
OG1433,-0.245
OG1434,1.0170000000000001
OG1435,-0.156
OG1436,-0.32899999999999996
OG1437,-0.27
OG1438,-0.604
OG1439,0.96
OG144,0.287
OG1440,1.8159999999999998
OG1441,0.7959999999999999
OG1442,-1.119
OG1443,0.35
OG1444,0.332
OG1445,0.379
OG1446,0.085
OG1447,-0.606
OG1448,0.17300000000000001
OG1449,0.22699999999999998
OG145,1.685
OG1450,0.271
OG1451,0.168
OG1452,0.166
OG1453,0.14
OG1454,0.23
OG1455,0.188
OG1456,-0.008
OG1457,-0.231
OG1458,-0.043
OG1459,-0.204
OG146,-3.8139999999999996
OG1460,0.265
OG1461,0.10300000000000001
OG1462,0.012
OG1463,0.43
OG1464,-0.406
OG1465,-0.299
OG1466,0.27899999999999997
OG1467,0.58
OG1468,0.752
OG1469,-0.154
OG147,1.136
OG1470,-0.654
OG1471,0.392
OG1472,0.365
OG1473,0.312
OG1474,0.106
OG1475,0.77
OG1476,0.272
OG1477,-0.096
OG1478,0.532
OG1479,-1.0
OG148,-0.373
OG1480,-0.365
OG1481,-0.377
OG1482,0.07400000000000001
OG1483,-0.033
OG1484,0.40700000000000003
OG1485,0.03
OG1486,-0.23600000000000002
OG1487,0.222
OG1488,-0.083
OG1489,0.524
OG149,0.423
OG1490,0.765
OG1491,0.259
OG1492,0.40700000000000003
OG1493,-0.025
OG1494,0.9179999999999999
OG1495,-1.551
OG1496,1.021
OG1497,0.715
OG1498,-0.8690000000000001
OG1499,0.33399999999999996
OG15,0.677
OG150,0.589
OG1500,0.431
OG1501,0.075
OG1502,0.7
OG1503,-0.5870000000000001
OG1504,0.597
OG1505,-0.201
OG1506,0.376
OG1507,0.017
OG1508,0.154
OG1509,0.013000000000000001
OG151,-0.382
OG1510,0.306
OG1511,0.013000000000000001
OG1512,0.45899999999999996
OG1513,0.276
OG1514,0.342
OG1515,0.6559999999999999
OG1516,0.048
OG1517,-0.679
OG1518,0.574
OG1519,0.564
OG152,-1.148
OG1520,0.29600000000000004
OG1521,0.42100000000000004
OG1522,-0.027999999999999997
OG1523,-0.32899999999999996
OG1524,-0.32899999999999996
OG1525,0.249
OG1526,1.1520000000000001
OG1527,-0.158
OG1528,-0.259
OG1529,0.439
OG153,-1.335
OG1530,0.21100000000000002
OG1531,0.23399999999999999
OG1532,0.315
OG1533,-0.218
OG1534,0.6809999999999999
OG1535,0.983
OG1536,0.046
OG1537,0.267
OG1538,-0.33399999999999996
